datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-07 11:26:20+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131003	7.0	21.7	82.3	143.3	60.3	32629	{'type': 'Polygon', 'coordinates': [[[470156.25, 3433382.8735351562], [470156.25, 3429843.75], [468338.35197106004, 3429843.75], [467520.40407340275, 3433351.721476045], [467608.0322265625, 3433350.5249023438], [469925.84228515625, 3433382.8735351562], [470156.25, 3433382.8735351562]]]}	MXRA-Z29-031313131003	467520.40407340275,3429843.75,470156.25,3433382.8735351562	7.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131003/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:20+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131012	6.9	20.0	82.4	143.3	60.3	32629	{'type': 'Polygon', 'coordinates': [[[472067.2607421875, 3433394.1650390625], [472088.31787109375, 3433394.1650390625], [472088.623046875, 3433352.05078125], [472080.38330078125, 3431441.650390625], [472069.091796875, 3430580.1391601562], [472070.3125, 3429843.75], [469843.75, 3429843.75], [469843.75, 3433381.9580078125], [471031.494140625, 3433379.2114257812], [471268.310546875, 3433390.1977539062], [472067.2607421875, 3433394.1650390625]]]}	MXRA-Z29-031313131012	469843.75,3429843.75,472088.623046875,3433394.1650390625	7.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131012/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:20+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131021	6.9	21.1	82.4	143.3	60.3	32629	{'type': 'Polygon', 'coordinates': [[[470156.25, 3430156.25], [470156.25, 3424843.75], [469504.193687908, 3424843.75], [468265.486863757, 3430156.25], [470156.25, 3430156.25]]]}	MXRA-Z29-031313131021	468265.486863757,3424843.75,470156.25,3430156.25	6.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131021/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:20+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131030	6.8	18.9	82.5	143.3	60.3	32629	{'type': 'Polygon', 'coordinates': [[[469843.75, 3430156.25], [469843.75, 3424843.75], [472060.85205078125, 3424843.75], [472074.27978515625, 3428587.3413085938], [472070.00732421875, 3430156.25], [469843.75, 3430156.25]]]}	MXRA-Z29-031313131030	469843.75,3424843.75,472074.27978515625,3430156.25	11.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131030/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:21+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131023	6.9	20.4	82.5	143.2	60.3	32629	{'type': 'Polygon', 'coordinates': [[[470156.25, 3425156.25], [470156.25, 3422047.2455403083], [469431.328580605, 3425156.25], [470156.25, 3425156.25]]]}	MXRA-Z29-031313131023	469431.328580605,3422047.2455403083,470156.25,3425156.25	1.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131023/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:21+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131032	6.8	18.2	82.6	143.2	60.3	32629	{'type': 'Polygon', 'coordinates': [[[469843.75, 3425156.25], [472063.29345703125, 3425156.25], [472046.81396484375, 3419843.75], [470670.035404756, 3419843.75], [469843.75, 3423387.478933418], [469843.75, 3425156.25]]]}	MXRA-Z29-031313131032	469843.75,3419843.75,472063.29345703125,3425156.25	10.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131032/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:22+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131203	6.7	18.9	82.6	143.2	60.4	32629	{'type': 'Polygon', 'coordinates': [[[470156.25, 3409843.75], [469876.41496287537, 3409843.75], [470156.25, 3410515.952607203], [470156.25, 3409843.75]]]}	MXRA-Z29-031313131203	469876.41496287537,3409843.75,470156.25,3410515.952607203	0.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131203/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:22+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131210	6.7	17.4	82.7	143.2	60.3	32629	{'type': 'Polygon', 'coordinates': [[[472048.64501953125, 3420156.25], [472034.60693359375, 3414843.75], [471835.877121604, 3414843.75], [470597.170297453, 3420156.25], [472048.64501953125, 3420156.25]]]}	MXRA-Z29-031313131210	470597.170297453,3414843.75,472048.64501953125,3420156.25	4.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131210/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:22+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131212	6.6	16.6	82.7	143.2	60.4	32629	{'type': 'Polygon', 'coordinates': [[[472035.5224609375, 3415156.25], [472024.23095703125, 3409843.75], [469876.41496287537, 3409843.75], [471879.68296238297, 3414655.8778379993], [471763.01201430097, 3415156.25], [472035.5224609375, 3415156.25]]]}	MXRA-Z29-031313131212	469876.41496287537,3409843.75,472035.5224609375,3415156.25	5.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131212/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:23+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131221	6.6	18.1	82.7	143.2	60.5	32629	{'type': 'Polygon', 'coordinates': [[[470156.25, 3410156.25], [470156.25, 3404843.75], [467794.9365951472, 3404843.75], [470006.5073608584, 3410156.25], [470156.25, 3410156.25]]]}	MXRA-Z29-031313131221	467794.9365951472,3404843.75,470156.25,3410156.25	6.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131221/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:23+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131230	6.5	15.8	82.8	143.2	60.5	32629	{'type': 'Polygon', 'coordinates': [[[472023.92578125, 3410156.25], [472016.6015625, 3404843.75], [469843.75, 3404843.75], [469843.75, 3409765.284224468], [470006.5073608584, 3410156.25], [472023.92578125, 3410156.25]]]}	MXRA-Z29-031313131230	469843.75,3404843.75,472023.92578125,3410156.25	11.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131230/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:24+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131223	6.6	17.8	82.7	143.2	60.5	32629	{'type': 'Polygon', 'coordinates': [[[470156.25, 3405156.25], [470156.25, 3404171.142578125], [469625.8544921875, 3404182.4340820312], [469164.4287109375, 3404180.6030273438], [469013.0615234375, 3404173.2788085938], [468606.5673828125, 3404181.5185546875], [467877.8076171875, 3404174.4995117188], [467517.1698244627, 3404176.515655913], [467925.0289931302, 3405156.25], [470156.25, 3405156.25]]]}	MXRA-Z29-031313131223	467517.1698244627,3404171.142578125,470156.25,3405156.25	2.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131223/2022-09-07/1040050048DC6400-visual.tif
2022-09-07 11:26:24+00:00	WV03	0.31	0.0.1	1040050048DC6400	29	031313131232	6.5	16.1	82.8	143.2	60.5	32629	{'type': 'Polygon', 'coordinates': [[[469843.75, 3405156.25], [469843.75, 3404179.6875], [472011.71875, 3404179.3823242188], [472016.6015625, 3405156.25], [469843.75, 3405156.25]]]}	MXRA-Z29-031313131232	469843.75,3404179.3823242188,472016.6015625,3405156.25	2.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313131232/2022-09-07/1040050048DC6400-visual.tif
