datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-03-16 11:26:30+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313132332	8.3	357.2	80.9	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[454202.2705078125, 3362909.2407226562], [455156.25, 3362902.2216796875], [455156.25, 3359843.75], [454193.7255859375, 3359843.75], [454202.2705078125, 3362909.2407226562]]]}	MXRA-Z29-031313132332	454193.7255859375,3359843.75,455156.25,3362909.2407226562	2.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132332/2023-03-16/104005004FDCBC00-visual.tif
2023-03-16 11:26:30+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313132333	8.3	356.5	80.9	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[454843.75, 3362905.2734375], [454843.75, 3359843.75], [460156.25, 3359843.75], [460156.25, 3362870.7885742188], [454843.75, 3362905.2734375]]]}	MXRA-Z29-031313132333	454843.75,3359843.75,460156.25,3362905.2734375	16.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132333/2023-03-16/104005004FDCBC00-visual.tif
2023-03-16 11:26:30+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313133222	8.3	353.4	80.8	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[459843.75, 3362872.314453125], [459843.75, 3359843.75], [465156.25, 3359843.75], [465156.25, 3362842.1020507812], [459843.75, 3362872.314453125]]]}	MXRA-Z29-031313133222	459843.75,3359843.75,465156.25,3362872.314453125	16.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133222/2023-03-16/104005004FDCBC00-visual.tif
2023-03-16 11:26:30+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313133223	8.4	351.5	80.8	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[464843.75, 3362843.9331054688], [464843.75, 3359843.75], [467505.18798828125, 3359843.75], [467514.6484375, 3362826.8432617188], [464843.75, 3362843.9331054688]]]}	MXRA-Z29-031313133223	464843.75,3359843.75,467514.6484375,3362843.9331054688	7.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133223/2023-03-16/104005004FDCBC00-visual.tif
2023-03-16 11:26:31+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313310110	8.3	357.1	80.9	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[454194.64111328125, 3360156.25], [455156.25, 3360156.25], [455156.25, 3354843.75], [454177.8564453125, 3354843.75], [454194.64111328125, 3360156.25]]]}	MXRA-Z29-031313310110	454177.8564453125,3354843.75,455156.25,3360156.25	5.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313310110/2023-03-16/104005004FDCBC00-visual.tif
2023-03-16 11:26:31+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313310111	8.3	355.9	80.9	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[454843.75, 3360156.25], [454843.75, 3354843.75], [460156.25, 3354843.75], [460156.25, 3360156.25], [454843.75, 3360156.25]]]}	MXRA-Z29-031313310111	454843.75,3354843.75,460156.25,3360156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313310111/2023-03-16/104005004FDCBC00-visual.tif
2023-03-16 11:26:31+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313311000	8.3	352.8	80.9	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[459843.75, 3360156.25], [459843.75, 3354843.75], [465156.25, 3354843.75], [465156.25, 3360156.25], [459843.75, 3360156.25]]]}	MXRA-Z29-031313311000	459843.75,3354843.75,465156.25,3360156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311000/2023-03-16/104005004FDCBC00-visual.tif
2023-03-16 11:26:31+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313311001	8.4	350.6	80.8	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[464843.75, 3360156.25], [464843.75, 3354843.75], [467488.09814453125, 3354843.75], [467506.103515625, 3360156.25], [464843.75, 3360156.25]]]}	MXRA-Z29-031313311001	464843.75,3354843.75,467506.103515625,3360156.25	14.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311001/2023-03-16/104005004FDCBC00-visual.tif
2023-03-16 11:26:32+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313310112	8.2	356.3	80.9	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[454178.77197265625, 3355156.25], [455156.25, 3355156.25], [455156.25, 3349843.75], [454159.5458984375, 3349843.75], [454178.77197265625, 3355156.25]]]}	MXRA-Z29-031313310112	454159.5458984375,3349843.75,455156.25,3355156.25	5.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313310112/2023-03-16/104005004FDCBC00-visual.tif
2023-03-16 11:26:32+00:00	WV03	0.32	0.0.1	104005004FDCBC00	29	031313310113	8.3	355.1	80.9	145.6	52.9	32629	{'type': 'Polygon', 'coordinates': [[[454843.75, 3355156.25], [454843.75, 3349843.75], [460156.25, 3349843.75], [460156.25, 3355156.25], [454843.75, 3355156.25]]]}	MXRA-Z29-031313310113	454843.75,3349843.75,460156.25,3355156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313310113/2023-03-16/104005004FDCBC00-visual.tif
