datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2017-01-20 11:13:33+00:00	GE01	0.49	0.0.1	1050010007D50700	29	120202031130	24.4	38.1	62.7	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[649843.75, 3430156.25], [649843.75, 3427488.4033203125], [650223.0834960938, 3427540.5883789062], [652499.0844726562, 3427806.7016601562], [653549.1943359375, 3427955.9326171875], [653937.98828125, 3427985.5346679688], [654474.4873046875, 3428071.5942382812], [655156.25, 3428160.400390625], [655156.25, 3430156.25], [649843.75, 3430156.25]]]}	MXRA-Z29-120202031130	649843.75,3427488.4033203125,655156.25,3430156.25	12.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031130/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:34+00:00	GE01	0.49	0.0.1	1050010007D50700	29	120202031031	24.8	39.6	62.3	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[639881.2866210938, 3430156.25], [640156.25, 3430156.25], [640156.25, 3426301.26953125], [640085.1440429688, 3426294.2504882812], [640021.3623046875, 3426285.7055664062], [639885.8642578125, 3426264.6484375], [639884.033203125, 3426264.6484375], [639882.8125, 3426297.3022460938], [639882.2021484375, 3426370.5444335938], [639887.3901367188, 3426536.2548828125], [639887.3901367188, 3426591.1865234375], [639882.8125, 3426651.611328125], [639866.3330078125, 3426802.978515625], [639867.2485351562, 3426866.1499023438], [639873.9624023438, 3426958.6181640625], [639878.2348632812, 3427044.9829101562], [639878.2348632812, 3427114.2578125], [639872.1313476562, 3427280.5786132812], [639873.046875, 3427425.8422851562], [639871.826171875, 3427495.1171875], [639867.2485351562, 3427584.5336914062], [639859.9243164062, 3427673.0346679688], [639858.7036132812, 3427726.7456054688], [639859.9243164062, 3427768.5546875], [639868.7744140625, 3427888.4887695312], [639872.4365234375, 3428006.2866210938], [639872.7416992188, 3428102.1118164062], [639868.7744140625, 3428213.1958007812], [639868.1640625, 3428279.1137695312], [639876.0986328125, 3428457.6416015625], [639873.3520507812, 3428771.6674804688], [639875.7934570312, 3428906.5551757812], [639871.2158203125, 3428943.1762695312], [639856.8725585938, 3428995.361328125], [639850.4638671875, 3429024.658203125], [639848.0224609375, 3429053.6499023438], [639849.5483398438, 3429090.2709960938], [639862.060546875, 3429173.8891601562], [639865.4174804688, 3429206.54296875], [639865.72265625, 3429306.9458007812], [639870.60546875, 3429413.7573242188], [639872.1313476562, 3429544.677734375], [639879.4555664062, 3429710.9985351562], [639876.708984375, 3429831.8481445312], [639876.708984375, 3429903.564453125], [639881.2866210938, 3430156.25]]]}	MXRA-Z29-120202031031	639848.0224609375,3426264.6484375,640156.25,3430156.25	1.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031031/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:34+00:00	GE01	0.48	0.0.1	1050010007D50700	29	120202031112	24.0	38.8	63.2	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[649843.75, 3435156.25], [649843.75, 3429843.75], [655156.25, 3429843.75], [655156.25, 3435156.25], [649843.75, 3435156.25]]]}	MXRA-Z29-120202031112	649843.75,3429843.75,655156.25,3435156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031112/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:34+00:00	GE01	0.48	0.0.1	1050010007D50700	29	120202031113	23.9	38.2	63.3	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[654843.75, 3435156.25], [654843.75, 3429843.75], [657772.216796875, 3429843.75], [657724.3041992188, 3431846.3134765625], [657689.208984375, 3432500.9155273438], [657663.57421875, 3434032.8979492188], [657630.615234375, 3434679.8706054688], [657630.3100585938, 3435156.25], [654843.75, 3435156.25]]]}	MXRA-Z29-120202031113	654843.75,3429843.75,657772.216796875,3435156.25	15.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031113/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:34+00:00	GE01	0.49	0.0.1	1050010007D50700	29	120202031120	24.8	39.4	62.3	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[639881.2866210938, 3430156.25], [645156.25, 3430156.25], [645156.25, 3426867.0654296875], [639884.033203125, 3426264.6484375], [639881.2866210938, 3430156.25]]]}	MXRA-Z29-120202031120	639881.2866210938,3426264.6484375,645156.25,3430156.25	18.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031120/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:34+00:00	GE01	0.49	0.0.1	1050010007D50700	29	120202031121	24.7	38.8	62.5	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[644843.75, 3430156.25], [644843.75, 3426839.599609375], [650156.25, 3427531.1279296875], [650156.25, 3430156.25], [644843.75, 3430156.25]]]}	MXRA-Z29-120202031121	644843.75,3426839.599609375,650156.25,3430156.25	15.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031121/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:34+00:00	GE01	0.49	0.0.1	1050010007D50700	29	120202031131	24.2	37.8	63.0	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[654843.75, 3430156.25], [654843.75, 3428119.2016601562], [655139.16015625, 3428157.3486328125], [655313.4155273438, 3428189.3920898438], [655795.2880859375, 3428241.8823242188], [656063.232421875, 3428286.4379882812], [656211.2426757812, 3428301.3916015625], [656566.7724609375, 3428358.4594726562], [656784.66796875, 3428381.34765625], [657265.3198242188, 3428453.369140625], [657807.0068359375, 3428519.5922851562], [657790.8325195312, 3429112.8540039062], [657778.3203125, 3429321.5942382812], [657778.3203125, 3429626.1596679688], [657759.3994140625, 3430156.25], [654843.75, 3430156.25]]]}	MXRA-Z29-120202031131	654843.75,3428119.2016601562,657807.0068359375,3430156.25	5.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031131/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:35+00:00	GE01	0.49	0.0.1	1050010007D50700	29	120202031013	24.3	40.6	62.8	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[639841.9189453125, 3435156.25], [640156.25, 3435156.25], [640156.25, 3429843.75], [639876.708984375, 3429843.75], [639888.6108398438, 3430519.7143554688], [639877.9296875, 3431236.2670898438], [639885.25390625, 3431427.9174804688], [639876.708984375, 3431749.267578125], [639852.9052734375, 3432165.8325195312], [639862.3657226562, 3433298.9501953125], [639851.9897460938, 3433667.6025390625], [639856.5673828125, 3433896.484375], [639839.4775390625, 3434277.9541015625], [639833.0688476562, 3434663.3911132812], [639821.1669921875, 3434808.6547851562], [639841.9189453125, 3435156.25]]]}	MXRA-Z29-120202031013	639821.1669921875,3429843.75,640156.25,3435156.25	1.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031013/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:35+00:00	GE01	0.49	0.0.1	1050010007D50700	29	120202031102	24.3	40.3	62.8	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[639843.75, 3435156.25], [645156.25, 3435156.25], [645156.25, 3429843.75], [639876.708984375, 3429843.75], [639843.75, 3435156.25]]]}	MXRA-Z29-120202031102	639843.75,3429843.75,645156.25,3435156.25	28.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031102/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:35+00:00	GE01	0.49	0.0.1	1050010007D50700	29	120202031103	24.2	39.6	63.0	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[644843.75, 3435156.25], [644843.75, 3429843.75], [650156.25, 3429843.75], [650156.25, 3435156.25], [644843.75, 3435156.25]]]}	MXRA-Z29-120202031103	644843.75,3429843.75,650156.25,3435156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031103/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:35+00:00	GE01	0.48	0.0.1	1050010007D50700	29	120202031110	23.3	40.0	64.0	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[649843.75, 3440156.25], [649843.75, 3434843.75], [655156.25, 3434843.75], [655156.25, 3440156.25], [649843.75, 3440156.25]]]}	MXRA-Z29-120202031110	649843.75,3434843.75,655156.25,3440156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031110/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:35+00:00	GE01	0.48	0.0.1	1050010007D50700	29	120202031111	23.2	39.4	64.1	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[654843.75, 3440156.25], [654843.75, 3434843.75], [657629.6997070312, 3434843.75], [657628.173828125, 3435873.1079101562], [657567.138671875, 3437542.1142578125], [657546.9970703125, 3439659.7290039062], [657509.1552734375, 3440156.25], [654843.75, 3440156.25]]]}	MXRA-Z29-120202031111	654843.75,3434843.75,657629.6997070312,3440156.25	14.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031111/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:36+00:00	GE01	0.48	0.0.1	1050010007D50700	29	120202013332	22.6	41.3	64.7	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[649843.75, 3445156.25], [649843.75, 3439843.75], [655156.25, 3439843.75], [655156.25, 3445156.25], [649843.75, 3445156.25]]]}	MXRA-Z29-120202013332	649843.75,3439843.75,655156.25,3445156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013332/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:36+00:00	GE01	0.47	0.0.1	1050010007D50700	29	120202013333	22.5	40.7	64.9	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[654843.75, 3445156.25], [654843.75, 3439843.75], [657536.3159179688, 3439843.75], [657496.9482421875, 3441328.7353515625], [657569.2749023438, 3442671.8139648438], [657387.6953125, 3444760.4370117188], [657419.7387695312, 3445156.25], [654843.75, 3445156.25]]]}	MXRA-Z29-120202013333	654843.75,3439843.75,657569.2749023438,3445156.25	14.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013333/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:36+00:00	GE01	0.49	0.0.1	1050010007D50700	29	120202031011	23.7	41.8	63.6	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[639771.4233398438, 3440156.25], [640156.25, 3440156.25], [640156.25, 3434843.75], [639821.4721679688, 3434843.75], [639844.970703125, 3435245.0561523438], [639851.07421875, 3436041.5649414062], [639893.4936523438, 3436615.2954101562], [639925.537109375, 3436873.779296875], [639928.2836914062, 3437175.29296875], [639924.31640625, 3437273.2543945312], [639871.826171875, 3437702.9418945312], [639858.3984375, 3437901.3061523438], [639836.7309570312, 3438449.4018554688], [639852.6000976562, 3438878.7841796875], [639849.853515625, 3439058.2275390625], [639834.8999023438, 3439343.26171875], [639788.5131835938, 3439681.0913085938], [639771.4233398438, 3440156.25]]]}	MXRA-Z29-120202031011	639771.4233398438,3434843.75,640156.25,3440156.25	1.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031011/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:36+00:00	GE01	0.48	0.0.1	1050010007D50700	29	120202031100	23.7	41.6	63.6	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[639843.75, 3440156.25], [645156.25, 3440156.25], [645156.25, 3434843.75], [639843.75, 3434843.75], [639851.07421875, 3436041.5649414062], [639928.2836914062, 3437034.3017578125], [639926.4526367188, 3437246.7041015625], [639871.2158203125, 3437709.6557617188], [639845.5810546875, 3438251.3427734375], [639843.75, 3440156.25]]]}	MXRA-Z29-120202031100	639843.75,3434843.75,645156.25,3440156.25	28.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031100/2017-01-20/1050010007D50700-visual.tif
2017-01-20 11:13:36+00:00	GE01	0.48	0.0.1	1050010007D50700	29	120202031101	23.5	40.8	63.8	154.8	35.0	32629	{'type': 'Polygon', 'coordinates': [[[644843.75, 3440156.25], [644843.75, 3434843.75], [650156.25, 3434843.75], [650156.25, 3440156.25], [644843.75, 3440156.25]]]}	MXRA-Z29-120202031101	644843.75,3434843.75,650156.25,3440156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031101/2017-01-20/1050010007D50700-visual.tif
