datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-08-17 11:17:42+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021232	16.7	140.1	71.5	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[549843.75, 3405156.25], [549843.75, 3402829.8950195312], [551156.9213867188, 3402799.3774414062], [555156.25, 3402675.78125], [555156.25, 3405156.25], [549843.75, 3405156.25]]]}	MXRA-Z29-120202021232	549843.75,3402675.78125,555156.25,3405156.25	12.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021232/2022-08-17/105005002DDEDB00-visual.tif
2022-08-17 11:17:42+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021233	16.4	141.2	71.8	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[554843.75, 3405156.25], [554843.75, 3402685.546875], [560156.25, 3402500.3051757812], [560156.25, 3405156.25], [554843.75, 3405156.25]]]}	MXRA-Z29-120202021233	554843.75,3402500.3051757812,560156.25,3405156.25	13.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021233/2022-08-17/105005002DDEDB00-visual.tif
2022-08-17 11:17:42+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021322	16.2	142.3	72.1	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[559843.75, 3405156.25], [559843.75, 3402513.1225585938], [563414.9169921875, 3402401.123046875], [564251.4038085938, 3402361.4501953125], [564892.2729492188, 3402364.1967773438], [565156.25, 3402346.8017578125], [565156.25, 3405156.25], [559843.75, 3405156.25]]]}	MXRA-Z29-120202021322	559843.75,3402346.8017578125,565156.25,3405156.25	14.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021322/2022-08-17/105005002DDEDB00-visual.tif
2022-08-17 11:17:43+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021221	17.2	141.3	70.9	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[549323.4252929688, 3410156.25], [550156.25, 3410156.25], [550156.25, 3404843.75], [549296.875, 3404843.75], [549317.0166015625, 3405362.8540039062], [549320.6787109375, 3406035.15625], [549304.19921875, 3406614.0747070312], [549330.4443359375, 3407320.8618164062], [549319.4580078125, 3408062.1337890625], [549324.951171875, 3408335.5712890625], [549359.7412109375, 3408682.861328125], [549320.3735351562, 3409220.5810546875], [549353.3325195312, 3409847.7172851562], [549323.4252929688, 3410156.25]]]}	MXRA-Z29-120202021221	549296.875,3404843.75,550156.25,3410156.25	4.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021221/2022-08-17/105005002DDEDB00-visual.tif
2022-08-17 11:17:43+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021223	16.8	140.1	71.4	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[549305.1147460938, 3405156.25], [550156.25, 3405156.25], [550156.25, 3402823.486328125], [549450.0732421875, 3402834.7778320312], [549317.0166015625, 3402843.9331054688], [549322.2045898438, 3402969.6655273438], [549310.302734375, 3403149.7192382812], [549305.419921875, 3403552.8564453125], [549313.96484375, 3404055.7861328125], [549303.8940429688, 3404248.9624023438], [549307.2509765625, 3404572.1435546875], [549296.875, 3404819.0307617188], [549305.1147460938, 3405156.25]]]}	MXRA-Z29-120202021223	549296.875,3402823.486328125,550156.25,3405156.25	1.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021223/2022-08-17/105005002DDEDB00-visual.tif
2022-08-17 11:17:43+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021230	17.1	141.7	71.0	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[549843.75, 3410156.25], [549843.75, 3404843.75], [555156.25, 3404843.75], [555156.25, 3410156.25], [549843.75, 3410156.25]]]}	MXRA-Z29-120202021230	549843.75,3404843.75,555156.25,3410156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021230/2022-08-17/105005002DDEDB00-visual.tif
2022-08-17 11:17:43+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021231	16.9	142.9	71.3	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[554843.75, 3410156.25], [554843.75, 3404843.75], [560156.25, 3404843.75], [560156.25, 3410156.25], [554843.75, 3410156.25]]]}	MXRA-Z29-120202021231	554843.75,3404843.75,560156.25,3410156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021231/2022-08-17/105005002DDEDB00-visual.tif
2022-08-17 11:17:43+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021320	16.7	144.2	71.5	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[559843.75, 3410156.25], [559843.75, 3404843.75], [565156.25, 3404843.75], [565156.25, 3410156.25], [559843.75, 3410156.25]]]}	MXRA-Z29-120202021320	559843.75,3404843.75,565156.25,3410156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021320/2022-08-17/105005002DDEDB00-visual.tif
2022-08-17 11:17:43+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021323	16.2	142.9	72.0	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[564843.75, 3405156.25], [564843.75, 3402364.1967773438], [565584.1064453125, 3402327.880859375], [565587.7685546875, 3402576.5991210938], [565570.9838867188, 3402800.29296875], [565568.2373046875, 3403411.5600585938], [565570.3735351562, 3403732.91015625], [565582.5805664062, 3403986.5112304688], [565578.9184570312, 3404130.2490234375], [565602.1118164062, 3404756.7749023438], [565603.02734375, 3404940.7958984375], [565588.37890625, 3405156.25], [564843.75, 3405156.25]]]}	MXRA-Z29-120202021323	564843.75,3402327.880859375,565603.02734375,3405156.25	2.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021323/2022-08-17/105005002DDEDB00-visual.tif
2022-08-17 11:17:44+00:00	GE01	0.44	0.0.1	105005002DDEDB00	29	120202021321	16.6	144.5	71.6	128.8	64.7	32629	{'type': 'Polygon', 'coordinates': [[[564843.75, 3410156.25], [564843.75, 3404843.75], [565602.4169921875, 3404843.75], [565582.8857421875, 3405361.9384765625], [565595.0927734375, 3405659.7900390625], [565587.4633789062, 3405940.8569335938], [565612.1826171875, 3406285.400390625], [565597.5341796875, 3406940.6127929688], [565610.0463867188, 3407261.6577148438], [565602.4169921875, 3407791.748046875], [565612.1826171875, 3408129.8828125], [565645.4467773438, 3408737.79296875], [565661.3159179688, 3409375.3051757812], [565629.2724609375, 3410156.25], [564843.75, 3410156.25]]]}	MXRA-Z29-120202021321	564843.75,3404843.75,565661.3159179688,3410156.25	4.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202021321/2022-08-17/105005002DDEDB00-visual.tif
