datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-03 11:33:54+00:00	GE01	0.49	0.0.1	1050050032DEAD00	29	120202031002	24.7	302.3	62.4	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[624025.2685546875, 3435156.25], [625156.25, 3435156.25], [625156.25, 3429843.75], [623987.1215820312, 3429843.75], [623980.4077148438, 3430629.5776367188], [623988.3422851562, 3430833.740234375], [623980.712890625, 3431120.3002929688], [623995.361328125, 3431401.3671875], [624040.8325195312, 3431779.78515625], [624043.2739257812, 3431935.4248046875], [624034.1186523438, 3432083.1298828125], [624063.1103515625, 3432262.2680664062], [624073.7915039062, 3432735.9008789062], [624071.9604492188, 3433009.033203125], [624058.5327148438, 3433159.7900390625], [624071.044921875, 3433427.4291992188], [624053.3447265625, 3433640.4418945312], [624057.6171875, 3433857.1166992188], [624045.41015625, 3434118.9575195312], [624025.2685546875, 3435156.25]]]}	MXRA-Z29-120202031002	623980.4077148438,3429843.75,625156.25,3435156.25	5.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031002/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:54+00:00	GE01	0.49	0.0.1	1050050032DEAD00	29	120202031003	24.8	302.0	62.3	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[624843.75, 3435156.25], [624843.75, 3429843.75], [630156.25, 3429843.75], [630156.25, 3435156.25], [624843.75, 3435156.25]]]}	MXRA-Z29-120202031003	624843.75,3429843.75,630156.25,3435156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031003/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:54+00:00	GE01	0.49	0.0.1	1050050032DEAD00	29	120202031020	24.9	303.0	62.2	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[623985.9008789062, 3430156.25], [625156.25, 3430156.25], [625156.25, 3428203.4301757812], [625009.4604492188, 3428219.6044921875], [624459.8388671875, 3428290.1000976562], [624341.1254882812, 3428301.0864257812], [624220.2758789062, 3428307.4951171875], [624028.6254882812, 3428329.1625976562], [624028.0151367188, 3428366.0888671875], [624016.4184570312, 3428489.6850585938], [624010.3149414062, 3428584.8999023438], [624010.009765625, 3428646.8505859375], [624014.2822265625, 3428743.2861328125], [624007.2631835938, 3428841.8579101562], [624006.6528320312, 3428904.4189453125], [624013.0615234375, 3429024.3530273438], [624013.671875, 3429150.0854492188], [624004.2114257812, 3429290.4663085938], [623996.58203125, 3429469.9096679688], [623995.361328125, 3429656.6772460938], [623988.9526367188, 3429775.6958007812], [623985.2905273438, 3429889.5263671875], [623985.2905273438, 3430007.9345703125], [623987.4267578125, 3430069.2749023438], [623985.9008789062, 3430156.25]]]}	MXRA-Z29-120202031020	623985.2905273438,3428203.4301757812,625156.25,3430156.25	2.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031020/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:54+00:00	GE01	0.49	0.0.1	1050050032DEAD00	29	120202031021	25.0	303.1	62.1	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[624843.75, 3430156.25], [624844.0551757812, 3428240.3564453125], [630156.25, 3427675.4760742188], [630156.25, 3430156.25], [624843.75, 3430156.25]]]}	MXRA-Z29-120202031021	624843.75,3427675.4760742188,630156.25,3430156.25	11.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031021/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:54+00:00	GE01	0.49	0.0.1	1050050032DEAD00	29	120202031030	25.3	302.8	61.7	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[629843.75, 3430156.25], [629843.75, 3427707.8247070312], [635156.25, 3427133.4838867188], [635156.25, 3430156.25], [629843.75, 3430156.25]]]}	MXRA-Z29-120202031030	629843.75,3427133.4838867188,635156.25,3430156.25	14.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031030/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:54+00:00	GE01	0.5	0.0.1	1050050032DEAD00	29	120202031031	25.6	302.3	61.4	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[634843.75, 3430156.25], [634843.75, 3427170.41015625], [640156.25, 3426567.0776367188], [640156.25, 3430156.25], [634843.75, 3430156.25]]]}	MXRA-Z29-120202031031	634843.75,3426567.0776367188,640156.25,3430156.25	17.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031031/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:54+00:00	GE01	0.5	0.0.1	1050050032DEAD00	29	120202031120	25.8	301.9	61.2	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[639843.75, 3430156.25], [639843.75, 3426602.4780273438], [643186.6455078125, 3426219.7875976562], [643204.6508789062, 3426940.0024414062], [643190.6127929688, 3427108.4594726562], [643230.2856445312, 3427468.5668945312], [643187.255859375, 3427673.0346679688], [643175.6591796875, 3427915.0390625], [643160.400390625, 3428650.5126953125], [643170.7763671875, 3428818.0541992188], [643154.296875, 3428995.9716796875], [643154.296875, 3429697.8759765625], [643136.9018554688, 3430156.25], [639843.75, 3430156.25]]]}	MXRA-Z29-120202031120	639843.75,3426219.7875976562,643230.2856445312,3430156.25	12.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031120/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:55+00:00	GE01	0.48	0.0.1	1050050032DEAD00	29	120202031000	24.4	300.3	62.7	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[623501.2817382812, 3440156.25], [625156.25, 3440156.25], [625156.25, 3434843.75], [624031.982421875, 3434843.75], [624024.0478515625, 3435617.3706054688], [624010.3149414062, 3435929.2602539062], [623975.2197265625, 3436243.896484375], [623977.05078125, 3436472.16796875], [623910.5224609375, 3436902.4658203125], [623906.5551757812, 3437276.0009765625], [623856.8115234375, 3437648.92578125], [623867.7978515625, 3437821.3500976562], [623919.0673828125, 3438019.7143554688], [623942.87109375, 3438308.4106445312], [623882.7514648438, 3438622.7416992188], [623635.5590820312, 3439543.7622070312], [623501.2817382812, 3440156.25]]]}	MXRA-Z29-120202031000	623501.2817382812,3434843.75,625156.25,3440156.25	6.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031000/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:55+00:00	GE01	0.49	0.0.1	1050050032DEAD00	29	120202031012	25.1	301.4	62.0	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[629843.75, 3435156.25], [629843.75, 3429843.75], [635156.25, 3429843.75], [635156.25, 3435156.25], [629843.75, 3435156.25]]]}	MXRA-Z29-120202031012	629843.75,3429843.75,635156.25,3435156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031012/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:55+00:00	GE01	0.49	0.0.1	1050050032DEAD00	29	120202031013	25.4	300.9	61.7	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[634843.75, 3435156.25], [634843.75, 3429843.75], [640156.25, 3429843.75], [640156.25, 3435156.25], [634843.75, 3435156.25]]]}	MXRA-Z29-120202031013	634843.75,3429843.75,640156.25,3435156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031013/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:55+00:00	GE01	0.5	0.0.1	1050050032DEAD00	29	120202031102	25.6	300.4	61.4	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[639843.75, 3435156.25], [639843.75, 3429843.75], [643146.0571289062, 3429843.75], [643132.32421875, 3430734.2529296875], [643145.4467773438, 3431097.1069335938], [643120.1171875, 3431394.9584960938], [643150.9399414062, 3431698.3032226562], [643107.6049804688, 3431991.2719726562], [643103.3325195312, 3432242.7368164062], [643119.2016601562, 3432415.4663085938], [643095.0927734375, 3432985.83984375], [643131.103515625, 3433405.76171875], [643098.14453125, 3433941.3452148438], [643069.1528320312, 3435156.25], [639843.75, 3435156.25]]]}	MXRA-Z29-120202031102	639843.75,3429843.75,643150.9399414062,3435156.25	17.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031102/2022-09-03/1050050032DEAD00-visual.tif
2022-09-03 11:33:56+00:00	GE01	0.49	0.0.1	1050050032DEAD00	29	120202031001	24.5	299.9	62.6	148.0	63.2	32629	{'type': 'Polygon', 'coordinates': [[[624843.75, 3440156.25], [624843.75, 3434843.75], [630156.25, 3434843.75], [630156.25, 3440156.25], [624843.75, 3440156.25]]]}	MXRA-Z29-120202031001	624843.75,3434843.75,630156.25,3440156.25	28.2	1.2	4	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202031001/2022-09-03/1050050032DEAD00-visual.tif
