datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-02-09 11:31:35+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012100	25.2	235.0	61.8	156.0	40.8	32629	{'type': 'Polygon', 'coordinates': [[[604909.0576171875, 3479719.23828125], [605156.25, 3479719.23828125], [605156.25, 3474843.75], [599843.75, 3474843.75], [599843.75, 3479698.486328125], [604909.0576171875, 3479719.23828125]]]}	MXRA-Z29-120202012100	599843.75,3474843.75,605156.25,3479719.23828125	25.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012100/2023-02-09/1050050044DEB300-visual.tif
2023-02-09 11:31:35+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012101	25.2	236.1	61.9	156.0	40.8	32629	{'type': 'Polygon', 'coordinates': [[[609096.0693359375, 3479734.1918945312], [609209.8999023438, 3479733.2763671875], [608663.0249023438, 3474844.0551757812], [604843.75, 3474843.75], [604843.75, 3479718.3227539062], [609096.0693359375, 3479734.1918945312]]]}	MXRA-Z29-120202012101	604843.75,3474843.75,609209.8999023438,3479734.1918945312	19.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012101/2023-02-09/1050050044DEB300-visual.tif
2023-02-09 11:31:35+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012102	25.0	235.7	62.1	156.0	40.8	32629	{'type': 'Polygon', 'coordinates': [[[599843.75, 3475156.25], [599843.75, 3469843.75], [605156.25, 3469843.75], [605156.25, 3475156.25], [599843.75, 3475156.25]]]}	MXRA-Z29-120202012102	599843.75,3469843.75,605156.25,3475156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012102/2023-02-09/1050050044DEB300-visual.tif
2023-02-09 11:31:35+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012103	25.0	236.8	62.1	156.0	40.8	32629	{'type': 'Polygon', 'coordinates': [[[604843.75, 3475156.25], [604843.75, 3469843.75], [608088.37890625, 3469843.75], [608135.3759765625, 3470343.017578125], [608396.3012695312, 3472488.4033203125], [608699.6459960938, 3475156.25], [604843.75, 3475156.25]]]}	MXRA-Z29-120202012103	604843.75,3469843.75,608699.6459960938,3475156.25	18.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012103/2023-02-09/1050050044DEB300-visual.tif
2023-02-09 11:31:35+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012120	24.8	236.6	62.3	156.0	40.8	32629	{'type': 'Polygon', 'coordinates': [[[599843.75, 3470156.25], [599843.75, 3464843.75], [605156.25, 3464843.75], [605156.25, 3470156.25], [599843.75, 3470156.25]]]}	MXRA-Z29-120202012120	599843.75,3464843.75,605156.25,3470156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012120/2023-02-09/1050050044DEB300-visual.tif
2023-02-09 11:31:35+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012121	24.8	237.5	62.4	156.0	40.8	32629	{'type': 'Polygon', 'coordinates': [[[604843.75, 3470156.25], [604843.75, 3464843.75], [607297.36328125, 3464843.75], [607417.6025390625, 3465343.6279296875], [607456.0546875, 3465578.61328125], [607535.0952148438, 3465868.2250976562], [607744.7509765625, 3467097.7783203125], [607900.390625, 3468244.3237304688], [608118.2861328125, 3470156.25], [604843.75, 3470156.25]]]}	MXRA-Z29-120202012121	604843.75,3464843.75,608118.2861328125,3470156.25	15.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012121/2023-02-09/1050050044DEB300-visual.tif
2023-02-09 11:31:35+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012122	24.6	237.3	62.5	156.0	40.8	32629	{'type': 'Polygon', 'coordinates': [[[599843.75, 3465156.25], [599843.75, 3461632.9956054688], [600286.2548828125, 3461616.5161132812], [600834.3505859375, 3461633.30078125], [601703.7963867188, 3461620.4833984375], [602562.5610351562, 3461694.3359375], [603184.5092773438, 3461634.2163085938], [603603.8208007812, 3461655.2734375], [605156.25, 3461650.6958007812], [605156.25, 3465156.25], [599843.75, 3465156.25]]]}	MXRA-Z29-120202012122	599843.75,3461616.5161132812,605156.25,3465156.25	18.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012122/2023-02-09/1050050044DEB300-visual.tif
2023-02-09 11:31:35+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012123	24.6	237.9	62.5	156.0	40.8	32629	{'type': 'Polygon', 'coordinates': [[[604843.75, 3465156.25], [604843.75, 3461655.5786132812], [606935.4248046875, 3461667.7856445312], [606915.5883789062, 3461936.3403320312], [607133.7890625, 3462942.1997070312], [607371.2158203125, 3465156.25], [604843.75, 3465156.25]]]}	MXRA-Z29-120202012123	604843.75,3461655.5786132812,607371.2158203125,3465156.25	8.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012123/2023-02-09/1050050044DEB300-visual.tif
2023-02-09 11:31:36+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012011	25.3	233.6	61.7	155.9	40.8	32629	{'type': 'Polygon', 'coordinates': [[[600022.2778320312, 3479700.0122070312], [600156.25, 3479699.70703125], [600156.25, 3474843.75], [594843.75, 3474843.75], [594843.75, 3479695.4345703125], [600022.2778320312, 3479700.0122070312]]]}	MXRA-Z29-120202012011	594843.75,3474843.75,600156.25,3479700.0122070312	25.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012011/2023-02-09/1050050044DEB300-visual.tif
2023-02-09 11:31:36+00:00	GE01	0.49	0.0.1	1050050044DEB300	29	120202012013	25.1	234.4	62.0	155.9	40.8	32629	{'type': 'Polygon', 'coordinates': [[[594843.75, 3475156.25], [594843.75, 3469843.75], [600156.25, 3469843.75], [600156.25, 3475156.25], [594843.75, 3475156.25]]]}	MXRA-Z29-120202012013	594843.75,3469843.75,600156.25,3475156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202012013/2023-02-09/1050050044DEB300-visual.tif
