datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-05-16 11:15:15+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313310311	20.3	94.9	67.5	117.0	69.1	32629	{'type': 'Polygon', 'coordinates': [[[460156.25, 3340156.25], [460156.25, 3336351.2949106228], [457630.36528061726, 3335152.201529794], [457624.06345007697, 3335163.14172761], [457650.45166015625, 3340156.25], [460156.25, 3340156.25]]]}	MXRA-Z29-031313310311	457624.06345007697,3335152.201529794,460156.25,3340156.25	11.0	0.1	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313310311/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:15+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313311200	20.0	95.0	67.7	117.0	69.1	32629	{'type': 'Polygon', 'coordinates': [[[459843.75, 3340156.25], [465156.25, 3340156.25], [465156.25, 3338724.905573903], [459843.75, 3336202.944244168], [459843.75, 3340156.25]]]}	MXRA-Z29-031313311200	459843.75,3336202.944244168,465156.25,3340156.25	14.3	3.8	26	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311200/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:15+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313311201	19.7	95.2	68.1	117.0	69.1	32629	{'type': 'Polygon', 'coordinates': [[[464843.75, 3340156.25], [468171.3704834053, 3340156.25], [464843.75, 3338576.5549074477], [464843.75, 3340156.25]]]}	MXRA-Z29-031313311201	464843.75,3338576.5549074477,468171.3704834053,3340156.25	2.6	2.4	94	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311201/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:16+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313310133	20.2	97.7	67.5	117.0	69.1	32629	{'type': 'Polygon', 'coordinates': [[[457669.37255859375, 3345156.25], [460156.25, 3345156.25], [460156.25, 3339843.75], [457649.5361328125, 3339843.75], [457669.37255859375, 3345156.25]]]}	MXRA-Z29-031313310133	457649.5361328125,3339843.75,460156.25,3345156.25	13.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313310133/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:16+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313311022	20.0	97.9	67.7	117.0	69.1	32629	{'type': 'Polygon', 'coordinates': [[[459843.75, 3345156.25], [459843.75, 3339843.75], [465156.25, 3339843.75], [465156.25, 3345156.25], [459843.75, 3345156.25]]]}	MXRA-Z29-031313311022	459843.75,3339843.75,465156.25,3345156.25	28.2	4.6	16	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311022/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:16+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313311023	19.7	98.1	68.1	117.0	69.1	32629	{'type': 'Polygon', 'coordinates': [[[464843.75, 3339843.75], [464843.75, 3345156.25], [470156.25, 3345156.25], [470156.25, 3341098.516237183], [467513.0906634787, 3339843.75], [464843.75, 3339843.75]]]}	MXRA-Z29-031313311023	464843.75,3339843.75,470156.25,3345156.25	26.5	8.6	32	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311023/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:16+00:00	GE01	0.45	0.0.1	1050050051DEC600	29	031313311032	19.3	98.3	68.5	117.2	69.1	32629	{'type': 'Polygon', 'coordinates': [[[469843.75, 3345156.25], [475156.25, 3345156.25], [475156.25, 3343472.1269004634], [469843.75, 3340950.165570728], [469843.75, 3345156.25]]]}	MXRA-Z29-031313311032	469843.75,3340950.165570728,475156.25,3345156.25	15.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311032/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:16+00:00	GE01	0.45	0.0.1	1050050051DEC600	29	031313311033	19.2	98.5	68.7	117.2	69.1	32629	{'type': 'Polygon', 'coordinates': [[[474843.75, 3345156.25], [475498.96240234375, 3345156.25], [475497.74169921875, 3344346.3134765625], [475499.267578125, 3344154.6630859375], [475497.74169921875, 3343778.9916992188], [475498.1757684942, 3343634.4466304933], [474843.75, 3343323.7762340084], [474843.75, 3345156.25]]]}	MXRA-Z29-031313311033	474843.75,3343323.7762340084,475499.267578125,3345156.25	1.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311033/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:17+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313310131	20.3	100.5	67.4	117.2	69.1	32629	{'type': 'Polygon', 'coordinates': [[[457687.68310546875, 3350156.25], [460156.25, 3350156.25], [460156.25, 3344843.75], [457667.8466796875, 3344843.75], [457687.68310546875, 3350156.25]]]}	MXRA-Z29-031313310131	457667.8466796875,3344843.75,460156.25,3350156.25	13.1	0.5	4	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313310131/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:17+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313311020	20.0	100.7	67.7	117.2	69.1	32629	{'type': 'Polygon', 'coordinates': [[[459843.75, 3350156.25], [459843.75, 3344843.75], [465156.25, 3344843.75], [465156.25, 3350156.25], [459843.75, 3350156.25]]]}	MXRA-Z29-031313311020	459843.75,3344843.75,465156.25,3350156.25	28.2	1.6	5	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311020/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:17+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313311021	19.7	101.1	68.1	117.2	69.1	32629	{'type': 'Polygon', 'coordinates': [[[464843.75, 3350156.25], [464843.75, 3344843.75], [470156.25, 3344843.75], [470156.25, 3350156.25], [464843.75, 3350156.25]]]}	MXRA-Z29-031313311021	464843.75,3344843.75,470156.25,3350156.25	28.2	6.0	21	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311021/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:17+00:00	GE01	0.46	0.0.1	1050050051DEC600	29	031313311030	19.3	101.4	68.5	117.2	69.1	32629	{'type': 'Polygon', 'coordinates': [[[469843.75, 3350156.25], [469843.75, 3344843.75], [475156.25, 3344843.75], [475156.25, 3350156.25], [469843.75, 3350156.25]]]}	MXRA-Z29-031313311030	469843.75,3344843.75,475156.25,3350156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311030/2023-05-16/1050050051DEC600-visual.tif
2023-05-16 11:15:17+00:00	GE01	0.45	0.0.1	1050050051DEC600	29	031313311031	19.2	101.5	68.6	117.2	69.1	32629	{'type': 'Polygon', 'coordinates': [[[474843.75, 3350156.25], [474843.75, 3344843.75], [475498.6572265625, 3344843.75], [475501.40380859375, 3350156.25], [474843.75, 3350156.25]]]}	MXRA-Z29-031313311031	474843.75,3344843.75,475501.40380859375,3350156.25	3.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311031/2023-05-16/1050050051DEC600-visual.tif
