datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2019-11-10 11:09:04+00:00	GE01	0.48	0.0.1	105005007BDD8F00	29	120200232123	24.4	79.1	62.8	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[604843.75, 3545156.25], [604843.75, 3539843.75], [610156.25, 3539843.75], [610156.25, 3545156.25], [604843.75, 3545156.25]]]}	MXRA-Z29-120200232123	604843.75,3539843.75,610156.25,3545156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232123/2019-11-10/105005007BDD8F00-visual.tif
2019-11-10 11:09:04+00:00	GE01	0.48	0.0.1	105005007BDD8F00	29	120200232132	24.2	78.9	63.0	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[609843.75, 3545156.25], [609843.75, 3539843.75], [612542.724609375, 3539843.75], [612433.4716796875, 3545156.25], [609843.75, 3545156.25]]]}	MXRA-Z29-120200232132	609843.75,3539843.75,612542.724609375,3545156.25	14.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232132/2019-11-10/105005007BDD8F00-visual.tif
2019-11-10 11:09:04+00:00	GE01	0.49	0.0.1	105005007BDD8F00	29	120200232210	25.3	78.6	61.8	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[593235.7788085938, 3540156.25], [595156.25, 3540156.25], [595156.25, 3537978.515625], [593251.6479492188, 3537868.9575195312], [593235.7788085938, 3540156.25]]]}	MXRA-Z29-120200232210	593235.7788085938,3537868.9575195312,595156.25,3540156.25	4.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232210/2019-11-10/105005007BDD8F00-visual.tif
2019-11-10 11:09:04+00:00	GE01	0.49	0.0.1	105005007BDD8F00	29	120200232211	25.2	78.3	61.9	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[594843.75, 3540156.25], [594843.75, 3537960.205078125], [600156.25, 3538266.6015625], [600156.25, 3540156.25], [594843.75, 3540156.25]]]}	MXRA-Z29-120200232211	594843.75,3537960.205078125,600156.25,3540156.25	10.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232211/2019-11-10/105005007BDD8F00-visual.tif
2019-11-10 11:09:04+00:00	GE01	0.49	0.0.1	105005007BDD8F00	29	120200232300	24.8	78.2	62.3	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[599843.75, 3540156.25], [599843.75, 3538248.9013671875], [605156.25, 3538554.0771484375], [605156.25, 3540156.25], [599843.75, 3540156.25]]]}	MXRA-Z29-120200232300	599843.75,3538248.9013671875,605156.25,3540156.25	9.3	0.4	4	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232300/2019-11-10/105005007BDD8F00-visual.tif
2019-11-10 11:09:04+00:00	GE01	0.48	0.0.1	105005007BDD8F00	29	120200232301	24.5	78.1	62.7	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[604843.75, 3540156.25], [604843.75, 3538536.0717773438], [610156.25, 3538841.8579101562], [610156.25, 3540156.25], [604843.75, 3540156.25]]]}	MXRA-Z29-120200232301	604843.75,3538536.0717773438,610156.25,3540156.25	7.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232301/2019-11-10/105005007BDD8F00-visual.tif
2019-11-10 11:09:04+00:00	GE01	0.48	0.0.1	105005007BDD8F00	29	120200232310	24.3	78.2	62.9	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[609843.75, 3540156.25], [609843.75, 3538823.8525390625], [612561.03515625, 3538981.3232421875], [612535.0952148438, 3540156.25], [609843.75, 3540156.25]]]}	MXRA-Z29-120200232310	609843.75,3538823.8525390625,612561.03515625,3540156.25	3.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232310/2019-11-10/105005007BDD8F00-visual.tif
2019-11-10 11:09:05+00:00	GE01	0.49	0.0.1	105005007BDD8F00	29	120200232032	25.2	79.6	61.9	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[593209.228515625, 3545156.25], [595156.25, 3545156.25], [595156.25, 3539843.75], [593236.3891601562, 3539843.75], [593209.228515625, 3545156.25]]]}	MXRA-Z29-120200232032	593209.228515625,3539843.75,595156.25,3545156.25	10.2	0.1	1	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232032/2019-11-10/105005007BDD8F00-visual.tif
2019-11-10 11:09:05+00:00	GE01	0.49	0.0.1	105005007BDD8F00	29	120200232033	25.0	79.5	62.1	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[594843.75, 3545156.25], [594843.75, 3539843.75], [600156.25, 3539843.75], [600156.25, 3545156.25], [594843.75, 3545156.25]]]}	MXRA-Z29-120200232033	594843.75,3539843.75,600156.25,3545156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232033/2019-11-10/105005007BDD8F00-visual.tif
2019-11-10 11:09:05+00:00	GE01	0.49	0.0.1	105005007BDD8F00	29	120200232122	24.7	79.3	62.4	159.6	38.5	32629	{'type': 'Polygon', 'coordinates': [[[599843.75, 3545156.25], [599843.75, 3539843.75], [605156.25, 3539843.75], [605156.25, 3545156.25], [599843.75, 3545156.25]]]}	MXRA-Z29-120200232122	599843.75,3539843.75,605156.25,3545156.25	28.2	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232122/2019-11-10/105005007BDD8F00-visual.tif
