datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2021-09-22 11:29:48+00:00	GE01	0.48	0.0.1	10500500F3DD9500	29	120202013013	24.3	320.0	62.9	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[639540.1000976562, 3475156.25], [640156.25, 3475156.25], [640156.25, 3473360.9008789062], [640064.0869140625, 3473382.2631835938], [639981.3842773438, 3473393.2495117188], [639947.2045898438, 3473399.9633789062], [639895.01953125, 3473414.6118164062], [639745.7885742188, 3473467.1020507812], [639695.7397460938, 3473481.4453125], [639664.9169921875, 3473487.548828125], [639632.2631835938, 3473491.2109375], [639582.51953125, 3473493.65234375], [639458.0078125, 3473490.6005859375], [639475.7080078125, 3473580.0170898438], [639488.525390625, 3473664.8559570312], [639506.2255859375, 3473751.5258789062], [639513.8549804688, 3473806.4575195312], [639524.2309570312, 3473923.0346679688], [639525.7568359375, 3474046.630859375], [639529.7241210938, 3474123.53515625], [639535.5224609375, 3474183.0444335938], [639550.1708984375, 3474268.4936523438], [639555.0537109375, 3474328.9184570312], [639556.884765625, 3474414.6728515625], [639554.1381835938, 3474465.6372070312], [639545.8984375, 3474548.6450195312], [639531.25, 3474641.7236328125], [639528.1982421875, 3474670.41015625], [639526.0620117188, 3474717.4072265625], [639525.7568359375, 3474754.638671875], [639531.8603515625, 3474871.2158203125], [639540.1000976562, 3475156.25]]]}	MXRA-Z29-120202013013	639458.0078125,3473360.9008789062,640156.25,3475156.25	1.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013013/2021-09-22/10500500F3DD9500-visual.tif
2021-09-22 11:29:48+00:00	GE01	0.49	0.0.1	10500500F3DD9500	29	120202013102	24.4	320.1	62.8	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[639843.75, 3475156.25], [639844.0551757812, 3473432.6171875], [640177.001953125, 3473355.712890625], [640722.0458984375, 3473186.03515625], [640840.7592773438, 3473166.8090820312], [640986.328125, 3473181.7626953125], [641264.6484375, 3473162.5366210938], [641442.2607421875, 3473208.6181640625], [641754.150390625, 3473201.5991210938], [642119.4458007812, 3473256.5307617188], [642319.9462890625, 3473237.9150390625], [642724.3041992188, 3473111.2670898438], [643010.25390625, 3473063.6596679688], [643555.6030273438, 3473052.0629882812], [643963.0126953125, 3473062.744140625], [644460.44921875, 3473098.14453125], [645014.9536132812, 3473081.3598632812], [645156.25, 3473093.5668945312], [645156.25, 3475156.25], [639843.75, 3475156.25]]]}	MXRA-Z29-120202013102	639843.75,3473052.0629882812,645156.25,3475156.25	10.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013102/2021-09-22/10500500F3DD9500-visual.tif
2021-09-22 11:29:48+00:00	GE01	0.49	0.0.1	10500500F3DD9500	29	120202013103	24.6	319.5	62.5	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[644843.75, 3475156.25], [644843.75, 3473085.9375], [645170.5932617188, 3473093.5668945312], [645459.8999023438, 3473075.2563476562], [645937.1948242188, 3473095.0927734375], [646348.5717773438, 3473033.447265625], [646720.8862304688, 3473081.9702148438], [647293.0908203125, 3473115.234375], [647463.6840820312, 3473093.5668945312], [648066.1010742188, 3472961.7309570312], [648417.96875, 3472937.6220703125], [648523.8647460938, 3472910.7666015625], [648809.5092773438, 3472798.1567382812], [648987.1215820312, 3472781.982421875], [649297.7905273438, 3472708.740234375], [649967.3461914062, 3472619.62890625], [650156.25, 3472569.8852539062], [650156.25, 3475156.25], [644843.75, 3475156.25]]]}	MXRA-Z29-120202013103	644843.75,3472569.8852539062,650156.25,3475156.25	11.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013103/2021-09-22/10500500F3DD9500-visual.tif
2021-09-22 11:29:48+00:00	GE01	0.49	0.0.1	10500500F3DD9500	29	120202013112	24.8	318.8	62.3	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[651851.5014648438, 3472277.2216796875], [651509.0942382812, 3472332.763671875], [651161.1938476562, 3472331.8481445312], [650619.5068359375, 3472470.0927734375], [650317.0776367188, 3472516.4794921875], [650041.8090820312, 3472604.98046875], [649843.75, 3472635.1928710938], [649843.75, 3475156.25], [654077.031347884, 3475156.25], [652647.3600673528, 3472260.6119670775], [651851.5014648438, 3472277.2216796875]]]}	MXRA-Z29-120202013112	649843.75,3472260.6119670775,654077.031347884,3475156.25	9.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013112/2021-09-22/10500500F3DD9500-visual.tif
2021-09-22 11:29:49+00:00	GE01	0.48	0.0.1	10500500F3DD9500	29	120202013011	24.1	319.5	63.2	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[639528.1982421875, 3480156.25], [640156.25, 3480156.25], [640156.25, 3474843.75], [639530.6396484375, 3474843.75], [639585.8764648438, 3476432.4951171875], [639582.2143554688, 3476562.5], [639537.9638671875, 3476871.9482421875], [639556.5795898438, 3477080.078125], [639541.3208007812, 3477646.7895507812], [639548.6450195312, 3477941.5893554688], [639527.587890625, 3478373.1079101562], [639545.2880859375, 3478740.8447265625], [639517.2119140625, 3479309.6923828125], [639536.7431640625, 3479541.015625], [639528.1982421875, 3480156.25]]]}	MXRA-Z29-120202013011	639517.2119140625,3474843.75,640156.25,3480156.25	3.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013011/2021-09-22/10500500F3DD9500-visual.tif
2021-09-22 11:29:49+00:00	GE01	0.48	0.0.1	10500500F3DD9500	29	120202013100	24.1	319.2	63.1	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[639843.75, 3480156.25], [639843.75, 3474843.75], [645156.25, 3474843.75], [645156.25, 3480156.25], [639843.75, 3480156.25]]]}	MXRA-Z29-120202013100	639843.75,3474843.75,645156.25,3480156.25	28.2	1.4	5	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013100/2021-09-22/10500500F3DD9500-visual.tif
2021-09-22 11:29:49+00:00	GE01	0.49	0.0.1	10500500F3DD9500	29	120202013101	24.3	318.5	62.9	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[644843.75, 3480156.25], [644843.75, 3474843.75], [650156.25, 3474843.75], [650156.25, 3480156.25], [644843.75, 3480156.25]]]}	MXRA-Z29-120202013101	644843.75,3474843.75,650156.25,3480156.25	28.2	0.7	2	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013101/2021-09-22/10500500F3DD9500-visual.tif
2021-09-22 11:29:49+00:00	GE01	0.49	0.0.1	10500500F3DD9500	29	120202013110	24.5	317.7	62.6	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[649843.75, 3474843.75], [649843.75, 3480156.25], [655156.25, 3480156.25], [655156.25, 3477342.0857354323], [653922.7398687397, 3474843.75], [649843.75, 3474843.75]]]}	MXRA-Z29-120202013110	649843.75,3474843.75,655156.25,3480156.25	26.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013110/2021-09-22/10500500F3DD9500-visual.tif
2021-09-22 11:29:49+00:00	GE01	0.49	0.0.1	10500500F3DD9500	29	120202013111	24.6	317.2	62.5	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[654843.75, 3480156.25], [656545.6950141923, 3480156.25], [654843.75, 3476709.1522089564], [654843.75, 3480156.25]]]}	MXRA-Z29-120202013111	654843.75,3476709.1522089564,656545.6950141923,3480156.25	2.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202013111/2021-09-22/10500500F3DD9500-visual.tif
2021-09-22 11:29:50+00:00	GE01	0.48	0.0.1	10500500F3DD9500	29	120202011231	23.1	316.1	64.3	155.7	56.5	32629	{'type': 'Polygon', 'coordinates': [[[639316.1010742188, 3489403.6865234375], [640156.25, 3489347.5341796875], [640156.25, 3484843.75], [639434.2041015625, 3484843.75], [639395.1416015625, 3485388.7939453125], [639409.1796875, 3485783.69140625], [639386.9018554688, 3486583.5571289062], [639398.4985351562, 3486888.1225585938], [639352.4169921875, 3488722.2290039062], [639316.1010742188, 3489403.6865234375]]]}	MXRA-Z29-120202011231	639316.1010742188,3484843.75,640156.25,3489403.6865234375	3.5	0.0	2	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202011231/2021-09-22/10500500F3DD9500-visual.tif
