datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2018-09-01 11:41:13+00:00	WV04	0.36	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001320	24.6	222.4	62.8	149.8	63.9	32629	{'type': 'Polygon', 'coordinates': [[[562928.466796875, 3490156.25], [565156.25, 3490156.25], [565156.25, 3484843.75], [562988.8916015625, 3484843.75], [562928.466796875, 3490156.25]]]}	MXRA-Z29-120202001320	562928.466796875,3484843.75,565156.25,3490156.25	11.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001320/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
2018-09-01 11:41:13+00:00	WV04	0.37	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001321	24.7	222.9	62.7	149.8	63.9	32629	{'type': 'Polygon', 'coordinates': [[[564843.75, 3490156.25], [564843.75, 3484843.75], [570156.25, 3484843.75], [570156.25, 3490156.25], [564843.75, 3490156.25]]]}	MXRA-Z29-120202001321	564843.75,3484843.75,570156.25,3490156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001321/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
2018-09-01 11:41:13+00:00	WV04	0.36	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001322	24.4	222.9	63.0	149.8	63.9	32629	{'type': 'Polygon', 'coordinates': [[[562984.3139648438, 3485156.25], [565156.25, 3485156.25], [565156.25, 3483838.5009765625], [563000.48828125, 3483575.1342773438], [562984.3139648438, 3485156.25]]]}	MXRA-Z29-120202001322	562984.3139648438,3483575.1342773438,565156.25,3485156.25	3.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001322/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
2018-09-01 11:41:13+00:00	WV04	0.36	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001323	24.5	223.3	62.9	149.8	63.9	32629	{'type': 'Polygon', 'coordinates': [[[564843.75, 3485156.25], [564843.75, 3483801.26953125], [565090.33203125, 3483832.0922851562], [565206.9091796875, 3483843.0786132812], [565324.70703125, 3483858.0322265625], [565464.7827148438, 3483873.5961914062], [565780.029296875, 3483916.015625], [565909.7290039062, 3483930.6640625], [566067.8100585938, 3483952.63671875], [566427.3071289062, 3483995.361328125], [566599.7314453125, 3484018.2495117188], [566955.56640625, 3484060.6689453125], [567043.45703125, 3484069.82421875], [567601.9287109375, 3484141.2353515625], [567974.5483398438, 3484185.1806640625], [568074.6459960938, 3484198.9135742188], [568163.1469726562, 3484208.3740234375], [568470.7641601562, 3484246.5209960938], [568579.1015625, 3484258.1176757812], [568820.1904296875, 3484288.0249023438], [568885.498046875, 3484297.4853515625], [569194.0307617188, 3484333.1909179688], [569443.9697265625, 3484365.234375], [570156.25, 3484449.7680664062], [570156.25, 3485156.25], [564843.75, 3485156.25]]]}	MXRA-Z29-120202001323	564843.75,3483801.26953125,570156.25,3485156.25	5.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001323/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
2018-09-01 11:41:13+00:00	WV04	0.37	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001330	24.9	223.7	62.4	149.8	63.9	32629	{'type': 'Polygon', 'coordinates': [[[569843.75, 3490156.25], [569843.75, 3484843.75], [573397.216796875, 3484843.75], [575156.25, 3485058.59375], [575156.25, 3490156.25], [569843.75, 3490156.25]]]}	MXRA-Z29-120202001330	569843.75,3484843.75,575156.25,3490156.25	28.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001330/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
2018-09-01 11:41:13+00:00	WV04	0.37	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001331	25.1	224.3	62.2	149.8	63.9	32629	{'type': 'Polygon', 'coordinates': [[[574843.75, 3490156.25], [574843.75, 3485021.0571289062], [578426.513671875, 3485454.4067382812], [578454.2846679688, 3490156.25], [574843.75, 3490156.25]]]}	MXRA-Z29-120202001331	574843.75,3485021.0571289062,578454.2846679688,3490156.25	17.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001331/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
2018-09-01 11:41:13+00:00	WV04	0.37	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001332	24.8	224.0	62.6	149.8	63.9	32629	{'type': 'Polygon', 'coordinates': [[[569843.75, 3485156.25], [569843.75, 3484412.841796875], [575156.25, 3485058.59375], [575156.25, 3485156.25], [569843.75, 3485156.25]]]}	MXRA-Z29-120202001332	569843.75,3484412.841796875,575156.25,3485156.25	2.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001332/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
2018-09-01 11:41:14+00:00	WV04	0.37	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001302	25.2	221.3	62.2	149.8	63.9	32629	{'type': 'Polygon', 'coordinates': [[[562865.9057617188, 3495156.25], [565156.25, 3495156.25], [565156.25, 3489843.75], [562931.8237304688, 3489843.75], [562865.9057617188, 3495156.25]]]}	MXRA-Z29-120202001302	562865.9057617188,3489843.75,565156.25,3495156.25	11.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001302/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
2018-09-01 11:41:14+00:00	WV04	0.37	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001303	25.3	221.8	62.1	149.8	63.9	32629	{'type': 'Polygon', 'coordinates': [[[564843.75, 3495156.25], [564843.75, 3489843.75], [570156.25, 3489843.75], [570156.25, 3495156.25], [564843.75, 3495156.25]]]}	MXRA-Z29-120202001303	564843.75,3489843.75,570156.25,3495156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001303/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
2018-09-01 11:41:14+00:00	WV04	0.38	0.0.1	5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv	29	120202001311	26.2	222.2	61.0	149.8	63.8	32629	{'type': 'Polygon', 'coordinates': [[[574843.75, 3500156.25], [574843.75, 3494843.75], [578482.0556640625, 3494843.75], [578512.2680664062, 3500156.25], [574843.75, 3500156.25]]]}	MXRA-Z29-120202001311	574843.75,3494843.75,578512.2680664062,3500156.25	19.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001311/2018-09-01/5fa18121-a9c3-4fe8-99f7-101ca5b15ad0-inv-visual.tif
