datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2018-10-02 11:34:51+00:00	WV04	0.33	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313311121	15.4	32.2	73.0	158.1	54.1	32629	{'type': 'Polygon', 'coordinates': [[[489236.32472105656, 3350156.25], [488145.60560662573, 3349638.461495869], [488148.193359375, 3350156.25], [489236.32472105656, 3350156.25]]]}	MXRA-Z29-031313311121	488145.60560662573,3349638.461495869,489236.32472105656,3350156.25	0.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311121/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:52+00:00	WV04	0.33	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313311101	13.9	35.6	74.8	158.1	54.0	32629	{'type': 'Polygon', 'coordinates': [[[488199.462890625, 3360156.25], [490156.25, 3360156.25], [490156.25, 3354843.75], [488172.30224609375, 3354843.75], [488199.462890625, 3360156.25]]]}	MXRA-Z29-031313311101	488172.30224609375,3354843.75,490156.25,3360156.25	10.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311101/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:52+00:00	WV04	0.33	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313311103	14.6	33.8	73.9	158.1	54.1	32629	{'type': 'Polygon', 'coordinates': [[[490156.25, 3355156.25], [490156.25, 3350592.9588903044], [488578.04490112996, 3349843.75], [488146.66748046875, 3349843.75], [488173.52294921875, 3355156.25], [490156.25, 3355156.25]]]}	MXRA-Z29-031313311103	488146.66748046875,3349843.75,490156.25,3355156.25	10.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311103/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:52+00:00	WV04	0.33	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313311110	13.7	34.7	74.9	158.1	54.0	32629	{'type': 'Polygon', 'coordinates': [[[489843.75, 3360156.25], [489843.75, 3354843.75], [495156.25, 3354843.75], [495156.25, 3360156.25], [489843.75, 3360156.25]]]}	MXRA-Z29-031313311110	489843.75,3354843.75,495156.25,3360156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311110/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:52+00:00	WV04	0.32	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313311111	13.5	33.1	75.2	158.1	54.0	32629	{'type': 'Polygon', 'coordinates': [[[494843.75, 3354843.75], [494843.75, 3360156.25], [500156.25, 3360156.25], [500156.25, 3355340.1802168647], [499110.5220199556, 3354843.75], [494843.75, 3354843.75]]]}	MXRA-Z29-031313311111	494843.75,3354843.75,500156.25,3360156.25	27.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311111/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:52+00:00	WV04	0.33	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313311112	14.5	32.9	74.0	158.1	54.1	32629	{'type': 'Polygon', 'coordinates': [[[489843.75, 3355156.25], [495156.25, 3355156.25], [495156.25, 3352966.5695535843], [489843.75, 3350444.6082238494], [489843.75, 3355156.25]]]}	MXRA-Z29-031313311112	489843.75,3350444.6082238494,495156.25,3355156.25	18.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311112/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:52+00:00	WV04	0.33	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313311113	14.3	31.4	74.3	158.1	54.1	32629	{'type': 'Polygon', 'coordinates': [[[494843.75, 3355156.25], [499768.8018398822, 3355156.25], [494843.75, 3352818.2188871293], [494843.75, 3355156.25]]]}	MXRA-Z29-031313311113	494843.75,3352818.2188871293,499768.8018398822,3355156.25	5.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311113/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:52+00:00	WV04	0.32	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	120202200000	13.4	32.1	75.3	158.1	54.0	32629	{'type': 'Polygon', 'coordinates': [[[499843.75, 3360156.25], [501848.44970703125, 3360156.25], [501873.27184874786, 3356155.288490719], [499843.75, 3355191.8295504097], [499843.75, 3360156.25]]]}	MXRA-Z29-120202200000	499843.75,3355191.8295504097,501873.27184874786,3360156.25	9.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202200000/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:53+00:00	WV04	0.32	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313133323	13.1	37.6	75.6	158.1	54.0	32629	{'type': 'Polygon', 'coordinates': [[[488223.876953125, 3365156.25], [490156.25, 3365156.25], [490156.25, 3359843.75], [488197.6318359375, 3359843.75], [488223.876953125, 3365156.25]]]}	MXRA-Z29-031313133323	488197.6318359375,3359843.75,490156.25,3365156.25	10.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133323/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:53+00:00	WV04	0.32	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313133332	13.0	36.7	75.8	158.1	54.0	32629	{'type': 'Polygon', 'coordinates': [[[489843.75, 3365156.25], [489843.75, 3359843.75], [495156.25, 3359843.75], [495156.25, 3365156.25], [489843.75, 3365156.25]]]}	MXRA-Z29-031313133332	489843.75,3359843.75,495156.25,3365156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133332/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:53+00:00	WV04	0.32	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313133333	12.7	35.0	76.0	158.1	54.0	32629	{'type': 'Polygon', 'coordinates': [[[494843.75, 3365156.25], [494843.75, 3359843.75], [500156.25, 3359843.75], [500156.25, 3365156.25], [494843.75, 3365156.25]]]}	MXRA-Z29-031313133333	494843.75,3359843.75,500156.25,3365156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133333/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:53+00:00	WV04	0.32	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	120202022222	12.6	34.0	76.2	158.1	54.0	32629	{'type': 'Polygon', 'coordinates': [[[499843.75, 3365156.25], [499843.75, 3359843.75], [501850.28076171875, 3359843.75], [501821.2890625, 3365156.25], [499843.75, 3365156.25]]]}	MXRA-Z29-120202022222	499843.75,3359843.75,501850.28076171875,3365156.25	10.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022222/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:54+00:00	WV04	0.32	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313133321	12.3	39.9	76.5	158.2	54.0	32629	{'type': 'Polygon', 'coordinates': [[[488245.849609375, 3370156.25], [490156.25, 3370156.25], [490156.25, 3364843.75], [488222.35107421875, 3364843.75], [488245.849609375, 3370156.25]]]}	MXRA-Z29-031313133321	488222.35107421875,3364843.75,490156.25,3370156.25	10.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133321/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
2018-10-02 11:34:54+00:00	WV04	0.32	0.0.1	d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv	29	031313133330	12.2	38.9	76.6	158.2	54.0	32629	{'type': 'Polygon', 'coordinates': [[[489843.75, 3370156.25], [489843.75, 3364843.75], [495156.25, 3364843.75], [495156.25, 3370156.25], [489843.75, 3370156.25]]]}	MXRA-Z29-031313133330	489843.75,3364843.75,495156.25,3370156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133330/2018-10-02/d0235025-c5a6-488f-8d8c-3ac317f92a6b-inv-visual.tif
