datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2018-08-26 11:44:38+00:00	WV04	0.35	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202001321	22.2	300.3	65.5	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[565496.5209960938, 3490156.25], [570156.25, 3490156.25], [570156.25, 3484981.689453125], [565497.7416992188, 3485340.2709960938], [565496.5209960938, 3490156.25]]]}	MXRA-Z29-120202001321	565496.5209960938,3484981.689453125,570156.25,3490156.25	23.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001321/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
2018-08-26 11:44:38+00:00	WV04	0.35	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202001323	22.3	300.6	65.4	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[567877.5024414062, 3485156.25], [569130.859375, 3485058.8989257812], [570156.25, 3484981.689453125], [570156.25, 3485156.25], [567877.5024414062, 3485156.25]]]}	MXRA-Z29-120202001323	567877.5024414062,3484981.689453125,570156.25,3485156.25	0.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001323/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
2018-08-26 11:44:38+00:00	WV04	0.36	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202001330	22.5	299.8	65.2	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[569843.75, 3490156.25], [569843.75, 3485005.1879882812], [571943.359375, 3484843.75], [575156.25, 3484843.75], [575156.25, 3490156.25], [569843.75, 3490156.25]]]}	MXRA-Z29-120202001330	569843.75,3484843.75,575156.25,3490156.25	28.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001330/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
2018-08-26 11:44:38+00:00	WV04	0.36	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202001331	22.9	299.3	64.8	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[574843.75, 3490156.25], [574843.75, 3484843.75], [580156.25, 3484843.75], [580156.25, 3490156.25], [574843.75, 3490156.25]]]}	MXRA-Z29-120202001331	574843.75,3484843.75,580156.25,3490156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001331/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
2018-08-26 11:44:38+00:00	WV04	0.36	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202001332	22.6	300.3	65.1	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[569843.75, 3485156.25], [569843.75, 3485005.1879882812], [575156.25, 3484598.0834960938], [575156.25, 3485156.25], [569843.75, 3485156.25]]]}	MXRA-Z29-120202001332	569843.75,3484598.0834960938,575156.25,3485156.25	1.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001332/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
2018-08-26 11:44:38+00:00	WV04	0.36	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202001333	22.9	299.9	64.7	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[574843.75, 3485156.25], [574843.75, 3484621.58203125], [580156.25, 3484219.3603515625], [580156.25, 3485156.25], [574843.75, 3485156.25]]]}	MXRA-Z29-120202001333	574843.75,3484219.3603515625,580156.25,3485156.25	3.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001333/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
2018-08-26 11:44:38+00:00	WV04	0.36	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202010220	23.0	299.0	64.7	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[579843.75, 3490156.25], [579843.75, 3484843.75], [580913.3911132812, 3484843.75], [580908.8134765625, 3486650.0854492188], [580914.306640625, 3487523.193359375], [580897.216796875, 3490156.25], [579843.75, 3490156.25]]]}	MXRA-Z29-120202010220	579843.75,3484843.75,580914.306640625,3490156.25	5.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010220/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
2018-08-26 11:44:38+00:00	WV04	0.36	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202010222	23.0	299.5	64.6	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[579843.75, 3485156.25], [579843.75, 3484241.0278320312], [580004.8828125, 3484230.6518554688], [580572.2045898438, 3484188.5375976562], [580719.6044921875, 3484179.0771484375], [580909.7290039062, 3484169.3115234375], [580905.4565429688, 3484214.1723632812], [580903.9306640625, 3484272.1557617188], [580909.7290039062, 3484356.3842773438], [580911.5600585938, 3484406.73828125], [580914.0014648438, 3485066.5283203125], [580915.52734375, 3485156.25], [579843.75, 3485156.25]]]}	MXRA-Z29-120202010222	579843.75,3484169.3115234375,580915.52734375,3485156.25	1.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010222/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
2018-08-26 11:44:39+00:00	WV04	0.35	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202001303	21.9	298.3	65.8	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[565491.6381835938, 3495156.25], [570156.25, 3495156.25], [570156.25, 3489843.75], [565496.826171875, 3489843.75], [565491.6381835938, 3495156.25]]]}	MXRA-Z29-120202001303	565491.6381835938,3489843.75,570156.25,3495156.25	24.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001303/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
2018-08-26 11:44:39+00:00	WV04	0.35	0.0.1	f9e104a1-aab0-400b-a938-66897c77e7d3-inv	29	120202001312	22.2	297.8	65.5	148.4	66.0	32629	{'type': 'Polygon', 'coordinates': [[[569843.75, 3495156.25], [569843.75, 3489843.75], [575156.25, 3489843.75], [575156.25, 3495156.25], [569843.75, 3495156.25]]]}	MXRA-Z29-120202001312	569843.75,3489843.75,575156.25,3495156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001312/2018-08-26/f9e104a1-aab0-400b-a938-66897c77e7d3-inv-visual.tif
