datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-08-15 19:09:17+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031201	18.6	207.2	69.5	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[630155.6396484375, 6936424.560546875], [630156.25, 6934843.75], [627481.3842773438, 6934843.75], [627429.5043945312, 6936155.700683594], [630155.6396484375, 6936424.560546875]]]}	MXRA-Z11-102020031201	627429.5043945312,6934843.75,630156.25,6936424.560546875	3.9	3.5	90	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031201/2023-08-15/104001008892B200-visual.tif
2023-08-15 19:09:17+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031210	18.7	207.9	69.4	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[635155.3344726562, 6936918.029785156], [635156.25, 6934843.75], [629843.75, 6934843.75], [629843.75, 6936390.380859375], [635155.3344726562, 6936918.029785156]]]}	MXRA-Z11-102020031210	629843.75,6934843.75,635156.25,6936918.029785156	9.6	9.1	95	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031210/2023-08-15/104001008892B200-visual.tif
2023-08-15 19:09:17+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031211	18.9	209.2	69.2	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[640154.4189453125, 6937414.245605469], [640156.25, 6934843.75], [634843.75, 6934843.75], [634843.75, 6936886.5966796875], [635547.1801757812, 6936960.44921875], [636221.3134765625, 6937018.4326171875], [637381.2866210938, 6937145.3857421875], [638367.919921875, 6937239.685058594], [638767.3950195312, 6937289.4287109375], [640154.4189453125, 6937414.245605469]]]}	MXRA-Z11-102020031211	634843.75,6934843.75,640156.25,6937414.245605469	12.2	12.2	99	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031211/2023-08-15/104001008892B200-visual.tif
2023-08-15 19:09:17+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031300	19.0	209.7	69.0	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[641603.0883789062, 6937565.3076171875], [641719.3603515625, 6934843.75], [639843.75, 6934843.75], [639843.75, 6937383.728027344], [641603.0883789062, 6937565.3076171875]]]}	MXRA-Z11-102020031300	639843.75,6934843.75,641719.3603515625,6937565.3076171875	4.7	4.7	99	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031300/2023-08-15/104001008892B200-visual.tif
2023-08-15 19:09:18+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031203	18.6	207.2	69.5	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[627468.26171875, 6935156.25], [627679.443359375, 6929843.75], [630156.25, 6929843.75], [630156.25, 6935156.25], [627468.26171875, 6935156.25]]]}	MXRA-Z11-102020031203	627468.26171875,6929843.75,630156.25,6935156.25	13.7	13.5	98	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031203/2023-08-15/104001008892B200-visual.tif
2023-08-15 19:09:18+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031212	18.7	208.1	69.4	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[629843.75, 6935156.25], [629843.75, 6929843.75], [635156.25, 6929843.75], [635156.25, 6935156.25], [629843.75, 6935156.25]]]}	MXRA-Z11-102020031212	629843.75,6929843.75,635156.25,6935156.25	28.2	28.2	99	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031212/2023-08-15/104001008892B200-visual.tif
2023-08-15 19:09:18+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031213	18.9	209.4	69.1	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[634843.75, 6935156.25], [634843.75, 6929843.75], [640156.25, 6929843.75], [640156.25, 6935156.25], [634843.75, 6935156.25]]]}	MXRA-Z11-102020031213	634843.75,6929843.75,640156.25,6935156.25	28.2	28.0	99	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031213/2023-08-15/104001008892B200-visual.tif
2023-08-15 19:09:18+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031221	18.6	207.6	69.5	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[627667.5415039062, 6930156.25], [627875.6713867188, 6924843.75], [630156.25, 6924843.75], [630156.25, 6930156.25], [627667.5415039062, 6930156.25]]]}	MXRA-Z11-102020031221	627667.5415039062,6924843.75,630156.25,6930156.25	12.6	3.8	30	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031221/2023-08-15/104001008892B200-visual.tif
2023-08-15 19:09:18+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031230	18.8	208.5	69.3	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[629843.75, 6930156.25], [629843.75, 6924843.75], [635156.25, 6924843.75], [635156.25, 6930156.25], [629843.75, 6930156.25]]]}	MXRA-Z11-102020031230	629843.75,6924843.75,635156.25,6930156.25	28.2	9.3	33	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031230/2023-08-15/104001008892B200-visual.tif
2023-08-15 19:09:18+00:00	WV03	0.34	0.0.1	104001008892B200	11	102020031231	19.0	209.8	69.1	169.4	41.3	32611	{'type': 'Polygon', 'coordinates': [[[634843.75, 6930156.25], [634843.75, 6924843.75], [640156.25, 6924843.75], [640156.25, 6930156.25], [634843.75, 6930156.25]]]}	MXRA-Z11-102020031231	634843.75,6924843.75,640156.25,6930156.25	28.2	14.4	51	https://maxar-opendata.s3.amazonaws.com/events/NWT-Canada-Aug-23/ard/11/102020031231/2023-08-15/104001008892B200-visual.tif
