datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual	ms_analytic	pan_analytic	data-mask
2014-12-04 05:32:05+00:00	WV02	0.5	0.0.1	103001003B39FB00	44	120220010110	17.2	201.0	70.7	165.6	37.7	32644	MXRA-Z44-120220010110	610844.5491143976,3194843.75,615156.25,3196584.3755161706	7.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010110/2014-12-04/103001003B39FB00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010110/2014-12-04/103001003B39FB00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010110/2014-12-04/103001003B39FB00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010110/2014-12-04/103001003B39FB00-data-mask.gpkg
2014-12-04 05:32:05+00:00	WV02	0.5	0.0.1	103001003B39FB00	44	120220010111	17.3	201.9	70.5	165.6	37.7	32644	MXRA-Z44-120220010111	614843.75,3194843.75,620156.25,3196634.473315978	9.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010111/2014-12-04/103001003B39FB00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010111/2014-12-04/103001003B39FB00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010111/2014-12-04/103001003B39FB00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010111/2014-12-04/103001003B39FB00-data-mask.gpkg
2014-12-04 05:32:05+00:00	WV02	0.5	0.0.1	103001003B39FB00	44	120220010112	17.1	201.3	70.8	165.6	37.7	32644	MXRA-Z44-120220010112	610864.8351736064,3189843.75,615156.25,3195156.25	22.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010112/2014-12-04/103001003B39FB00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010112/2014-12-04/103001003B39FB00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010112/2014-12-04/103001003B39FB00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010112/2014-12-04/103001003B39FB00-data-mask.gpkg
2014-12-04 05:32:05+00:00	WV02	0.5	0.0.1	103001003B39FB00	44	120220011000	17.4	203.1	70.4	165.6	37.7	32644	MXRA-Z44-120220011000	619843.75,3194843.75,620857.0250177295,3196641.306786972	1.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011000/2014-12-04/103001003B39FB00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011000/2014-12-04/103001003B39FB00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011000/2014-12-04/103001003B39FB00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011000/2014-12-04/103001003B39FB00-data-mask.gpkg
2014-12-04 05:32:06+00:00	WV02	0.5	0.0.1	103001003B39FB00	44	120220010113	17.2	202.3	70.6	165.6	37.7	32644	MXRA-Z44-120220010113	614843.75,3189843.75,620156.25,3195156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010113/2014-12-04/103001003B39FB00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010113/2014-12-04/103001003B39FB00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010113/2014-12-04/103001003B39FB00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010113/2014-12-04/103001003B39FB00-data-mask.gpkg
2014-12-04 05:32:06+00:00	WV02	0.5	0.0.1	103001003B39FB00	44	120220010130	17.0	201.6	70.9	165.6	37.8	32644	MXRA-Z44-120220010130	610960.5845694877,3186589.3349957024,615156.25,3190156.25	14.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010130/2014-12-04/103001003B39FB00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010130/2014-12-04/103001003B39FB00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010130/2014-12-04/103001003B39FB00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010130/2014-12-04/103001003B39FB00-data-mask.gpkg
2014-12-04 05:32:06+00:00	WV02	0.5	0.0.1	103001003B39FB00	44	120220010131	17.1	202.6	70.8	165.6	37.8	32644	MXRA-Z44-120220010131	614843.75,3186626.845379535,620156.25,3190156.25	18.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010131/2014-12-04/103001003B39FB00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010131/2014-12-04/103001003B39FB00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010131/2014-12-04/103001003B39FB00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010131/2014-12-04/103001003B39FB00-data-mask.gpkg
2014-12-04 05:32:06+00:00	WV02	0.5	0.0.1	103001003B39FB00	44	120220011002	17.3	203.4	70.5	165.6	37.7	32644	MXRA-Z44-120220011002	619843.75,3189843.75,620909.212335082,3195156.25	5.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011002/2014-12-04/103001003B39FB00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011002/2014-12-04/103001003B39FB00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011002/2014-12-04/103001003B39FB00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011002/2014-12-04/103001003B39FB00-data-mask.gpkg
2014-12-04 05:32:06+00:00	WV02	0.5	0.0.1	103001003B39FB00	44	120220011020	17.2	203.7	70.6	165.6	37.8	32644	MXRA-Z44-120220011020	619843.75,3186676.800495272,620942.1527123841,3190156.25	3.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011020/2014-12-04/103001003B39FB00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011020/2014-12-04/103001003B39FB00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011020/2014-12-04/103001003B39FB00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220011020/2014-12-04/103001003B39FB00-data-mask.gpkg
2023-11-08 05:41:30+00:00	WV02	0.73	0.0.1	10300100EF116000	44	120220010113	37.7	254.3	46.7	169.0	44.2	32644	MXRA-Z44-120220010113	616920.7763671875,3189843.75,620156.25,3192710.8764648438	8.0	0.0	1	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010113/2023-11-08/10300100EF116000-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010113/2023-11-08/10300100EF116000-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010113/2023-11-08/10300100EF116000-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Nepal-Earthquake-Nov-2023/ard/44/120220010113/2023-11-08/10300100EF116000-data-mask.gpkg
