datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual	ms_analytic	pan_analytic	data-mask
2021-07-31 17:39:11+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133032331	6.6	80.0	82.6	133.6	66.1	32614	MXRA-Z14-031133032331	297178.64990234375,4004843.75,300156.25,4006820.9838867188	5.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133032331/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133032331/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133032331/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133032331/2021-07-31/10300100C33E2200-data-mask.gpkg
2021-07-31 17:39:11+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133032333	6.7	47.6	82.5	133.6	66.1	32614	MXRA-Z14-031133032333	297066.34521484375,3999843.75,300156.25,4005156.25	16.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133032333/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133032333/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133032333/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133032333/2021-07-31/10300100C33E2200-data-mask.gpkg
2021-07-31 17:39:11+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133033220	6.6	283.2	82.6	133.6	66.1	32614	MXRA-Z14-031133033220	299843.75,4004843.75,305156.25,4006759.3383789062	9.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033220/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033220/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033220/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033220/2021-07-31/10300100C33E2200-data-mask.gpkg
2021-07-31 17:39:11+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133033221	6.6	355.7	82.6	133.6	66.1	32614	MXRA-Z14-031133033221	304843.75,4004843.75,310156.25,4006644.5922851562	9.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033221/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033221/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033221/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033221/2021-07-31/10300100C33E2200-data-mask.gpkg
2021-07-31 17:39:11+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133033222	6.7	308.1	82.5	133.6	66.1	32614	MXRA-Z14-031133033222	299843.75,3999843.75,305156.25,4005156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033222/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033222/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033222/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033222/2021-07-31/10300100C33E2200-data-mask.gpkg
2021-07-31 17:39:11+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133033223	6.7	355.4	82.5	133.6	66.1	32614	MXRA-Z14-031133033223	304843.75,3999843.75,310156.25,4005156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033223/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033223/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033223/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033223/2021-07-31/10300100C33E2200-data-mask.gpkg
2021-07-31 17:39:11+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133033230	6.7	353.1	82.5	133.6	66.1	32614	MXRA-Z14-031133033230	309843.75,4004843.75,313695.98388671875,4006528.0151367188	6.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033230/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033230/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033230/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033230/2021-07-31/10300100C33E2200-data-mask.gpkg
2021-07-31 17:39:11+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133033232	6.7	352.8	82.5	133.6	66.1	32614	MXRA-Z14-031133033232	309843.75,3999843.75,313668.51806640625,4005156.25	20.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033232/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033232/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033232/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133033232/2021-07-31/10300100C33E2200-data-mask.gpkg
2021-07-31 17:39:12+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133210111	6.8	140.7	82.4	133.6	66.1	32614	MXRA-Z14-031133210111	296952.20947265625,3994843.75,300156.25,4000156.25	16.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133210111/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133210111/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133210111/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133210111/2021-07-31/10300100C33E2200-data-mask.gpkg
2021-07-31 17:39:12+00:00	WV02	0.47	0.0.1	10300100C33E2200	14	031133210113	6.9	226.5	82.3	133.5	66.2	32614	MXRA-Z14-031133210113	296837.7685546875,3989843.75,300156.25,3995156.25	17.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133210113/2021-07-31/10300100C33E2200-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133210113/2021-07-31/10300100C33E2200-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133210113/2021-07-31/10300100C33E2200-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/SmokeHouseCreek-Wildfires-Texas-Mar24/ard/14/031133210113/2021-07-31/10300100C33E2200-data-mask.gpkg
