datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-03-23 08:58:30+00:00	GE01	0.44	0.0.1	105001002A97E200	34	122200132001	17.0	53.2	71.1	109.9	64.6	32634	{'type': 'Polygon', 'coordinates': [[[750156.25, 1160156.25], [750156.25, 1159956.970210552], [747838.8821810001, 1159939.958522169], [747837.3192643278, 1160156.25], [750156.25, 1160156.25]]]}	MXRA-Z34-122200132001	747837.3192643278,1159939.958522169,750156.25,1160156.25	0.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200132001/2022-03-23/105001002A97E200-visual.tif
2022-03-23 08:58:30+00:00	GE01	0.44	0.0.1	105001002A97E200	34	122200132010	16.8	52.4	71.4	109.9	64.6	32634	{'type': 'Polygon', 'coordinates': [[[749843.75, 1160156.25], [753293.7622070312, 1160156.25], [753296.384168594, 1159980.0217880874], [749843.75, 1159954.6761627207], [749843.75, 1160156.25]]]}	MXRA-Z34-122200132010	749843.75,1159954.6761627207,753296.384168594,1160156.25	0.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200132010/2022-03-23/105001002A97E200-visual.tif
2022-03-23 08:58:31+00:00	GE01	0.43	0.0.1	105001002A97E200	34	122200130223	16.3	55.9	71.9	110.0	64.6	32634	{'type': 'Polygon', 'coordinates': [[[750156.25, 1165156.25], [750156.25, 1159956.970210552], [747838.8821810001, 1159939.958522169], [747801.1893925462, 1165156.25], [750156.25, 1165156.25]]]}	MXRA-Z34-122200130223	747801.1893925462,1159939.958522169,750156.25,1165156.25	12.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200130223/2022-03-23/105001002A97E200-visual.tif
2022-03-23 08:58:31+00:00	GE01	0.43	0.0.1	105001002A97E200	34	122200130232	16.1	55.1	72.1	110.0	64.6	32634	{'type': 'Polygon', 'coordinates': [[[749843.75, 1165156.25], [753221.7407226562, 1165156.25], [753296.9696203055, 1159980.0260858608], [749843.75, 1159954.6761627207], [749843.75, 1165156.25]]]}	MXRA-Z34-122200130232	749843.75,1159954.6761627207,753296.9696203055,1165156.25	17.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200130232/2022-03-23/105001002A97E200-visual.tif
2022-03-23 08:58:32+00:00	GE01	0.43	0.0.1	105001002A97E200	34	122200130230	15.4	58.1	72.9	110.2	64.5	32634	{'type': 'Polygon', 'coordinates': [[[753226.6235351562, 1164843.75], [749843.75, 1164843.75], [749843.75, 1169889.6674269282], [753157.0097626672, 1169914.1958221272], [753226.6235351562, 1164843.75]]]}	MXRA-Z34-122200130230	749843.75,1164843.75,753226.6235351562,1169914.1958221272	16.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200130230/2022-03-23/105001002A97E200-visual.tif
2022-03-23 08:58:33+00:00	GE01	0.43	0.0.1	105001002A97E200	34	122200130221	15.7	58.8	72.6	110.2	64.5	32634	{'type': 'Polygon', 'coordinates': [[[750156.25, 1164843.75], [747803.4475095326, 1164843.75], [747767.0969293575, 1169874.2937554212], [750156.25, 1169891.9808958527], [750156.25, 1164843.75]]]}	MXRA-Z34-122200130221	747767.0969293575,1164843.75,750156.25,1169891.9808958527	11.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200130221/2022-03-23/105001002A97E200-visual.tif
2022-03-24 08:59:06+00:00	WV03	0.35	0.0.1	104001007487BA00	34	122200130230	22.2	33.8	65.5	109.6	65.0	32634	{'type': 'Polygon', 'coordinates': [[[755156.25, 1164843.75], [750731.5063476562, 1164843.75], [750691.455644265, 1169895.9430770564], [755156.25, 1169928.9963986445], [755156.25, 1164843.75]]]}	MXRA-Z34-122200130230	750691.455644265,1164843.75,755156.25,1169928.9963986445	22.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200130230/2022-03-24/104001007487BA00-visual.tif
2022-03-24 08:59:06+00:00	WV03	0.35	0.0.1	104001007487BA00	34	122200130231	22.0	33.0	65.7	109.6	65.0	32634	{'type': 'Polygon', 'coordinates': [[[754843.75, 1164843.75], [754843.75, 1169926.68292972], [757777.0478884125, 1169948.3984289558], [757815.4250731368, 1164843.75], [754843.75, 1164843.75]]]}	MXRA-Z34-122200130231	754843.75,1164843.75,757815.4250731368,1169948.3984289558	15.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200130231/2022-03-24/104001007487BA00-visual.tif
2022-03-24 08:59:06+00:00	WV03	0.35	0.0.1	104001007487BA00	34	122200130232	22.2	33.6	65.5	109.5	65.0	32634	{'type': 'Polygon', 'coordinates': [[[755156.25, 1165156.25], [755156.25, 1159993.6749758546], [750772.9517679196, 1159961.4973892828], [750729.98046875, 1165156.25], [755156.25, 1165156.25]]]}	MXRA-Z34-122200130232	750729.98046875,1159961.4973892828,755156.25,1165156.25	22.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200130232/2022-03-24/104001007487BA00-visual.tif
2022-03-24 08:59:06+00:00	WV03	0.35	0.0.1	104001007487BA00	34	122200130233	22.0	32.8	65.8	109.5	65.0	32634	{'type': 'Polygon', 'coordinates': [[[754843.75, 1165156.25], [757813.0756713331, 1165156.25], [757851.739589328, 1160013.4624384048], [754843.75, 1159991.380928023], [754843.75, 1165156.25]]]}	MXRA-Z34-122200130233	754843.75,1159991.380928023,757851.739589328,1165156.25	15.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200130233/2022-03-24/104001007487BA00-visual.tif
2022-03-24 08:59:07+00:00	WV03	0.35	0.0.1	104001007487BA00	34	122200132010	22.2	33.4	65.6	109.4	65.0	32634	{'type': 'Polygon', 'coordinates': [[[755156.25, 1160156.25], [755156.25, 1159993.6749758546], [750773.4005285823, 1159961.5006836136], [750771.7895507812, 1160156.25], [755156.25, 1160156.25]]]}	MXRA-Z34-122200132010	750771.7895507812,1159961.5006836136,755156.25,1160156.25	0.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200132010/2022-03-24/104001007487BA00-visual.tif
2022-03-24 08:59:07+00:00	WV03	0.35	0.0.1	104001007487BA00	34	122200132011	21.9	32.6	65.8	109.4	65.0	32634	{'type': 'Polygon', 'coordinates': [[[754843.75, 1160156.25], [757850.6661001927, 1160156.25], [757851.739589328, 1160013.4624384048], [754843.75, 1159991.380928023], [754843.75, 1160156.25]]]}	MXRA-Z34-122200132011	754843.75,1159991.380928023,757851.739589328,1160156.25	0.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/34/122200132011/2022-03-24/104001007487BA00-visual.tif
2022-07-07 08:25:45+00:00	WV03	0.39	0.0.1	104001007ABC4D00	37	033131202110	28.7	252.2	58.3	64.8	71.2	32637	{'type': 'Polygon', 'coordinates': [[[215156.25, 1714843.75], [213911.75574584826, 1714843.75], [213925.48953151447, 1715949.9857106602], [215155.35504699126, 1715934.9417957533], [215156.25, 1714843.75]]]}	MXRA-Z37-033131202110	213911.75574584826,1714843.75,215156.25,1715949.9857106602	1.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/37/033131202110/2022-07-07/104001007ABC4D00-visual.tif
2022-07-07 08:25:45+00:00	WV03	0.39	0.0.1	104001007ABC4D00	37	033131202111	29.0	252.4	57.9	64.7	71.2	32637	{'type': 'Polygon', 'coordinates': [[[220156.25, 1714843.75], [214843.75, 1714843.75], [214843.83208413757, 1715938.7523952748], [220155.89691335705, 1715873.7743547778], [220156.25, 1714843.75]]]}	MXRA-Z37-033131202111	214843.75,1714843.75,220156.25,1715938.7523952748	5.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/37/033131202111/2022-07-07/104001007ABC4D00-visual.tif
2022-07-07 08:25:45+00:00	WV03	0.39	0.0.1	104001007ABC4D00	37	033131202112	28.7	252.3	58.2	64.7	71.2	32637	{'type': 'Polygon', 'coordinates': [[[215156.25, 1715156.25], [215156.25, 1709843.75], [213849.68133650732, 1709843.75], [213915.63539643207, 1715156.25], [215156.25, 1715156.25]]]}	MXRA-Z37-033131202112	213849.68133650732,1709843.75,215156.25,1715156.25	6.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Sudan-flooding-8-22-2022/ard/37/033131202112/2022-07-07/104001007ABC4D00-visual.tif
