datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-06-27 06:08:57+00:00	WV02	0.5	0.0.1	10300100D5B4AB00	42	120200023321	15.6	147.9	72.5	115.9	70.9	32642	{'type': 'Polygon', 'coordinates': [[[566601.2573242188, 3686457.2143554688], [567835.3881835938, 3686421.5087890625], [568345.0317382812, 3686408.3862304688], [568850.4028320312, 3686390.380859375], [570155.6396484375, 3686350.4028320312], [570156.25, 3684843.75], [566614.3798828125, 3684843.75], [566608.88671875, 3685205.6884765625], [566601.2573242188, 3686457.2143554688]]]}	MXRA-Z42-120200023321	566601.2573242188,3684843.75,570156.25,3686457.2143554688	5.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200023321/2022-06-27/10300100D5B4AB00-visual.tif
2022-06-27 06:08:57+00:00	WV02	0.5	0.0.1	10300100D5B4AB00	42	120200023323	15.5	147.8	72.5	115.9	70.9	32642	{'type': 'Polygon', 'coordinates': [[[566609.4970703125, 3685156.25], [570156.25, 3685156.25], [570156.25, 3679843.75], [566683.0444335938, 3679843.75], [566609.4970703125, 3685156.25]]]}	MXRA-Z42-120200023323	566609.4970703125,3679843.75,570156.25,3685156.25	18.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200023323/2022-06-27/10300100D5B4AB00-visual.tif
2022-06-27 06:08:57+00:00	WV02	0.5	0.0.1	10300100D5B4AB00	42	120200023330	15.4	148.8	72.6	115.9	70.9	32642	{'type': 'Polygon', 'coordinates': [[[569843.75, 3686359.86328125], [569843.75, 3684843.75], [575156.25, 3684843.75], [575156.25, 3686196.2890625], [569843.75, 3686359.86328125]]]}	MXRA-Z42-120200023330	569843.75,3684843.75,575156.25,3686359.86328125	7.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200023330/2022-06-27/10300100D5B4AB00-visual.tif
2022-06-27 06:08:57+00:00	WV02	0.49	0.0.1	10300100D5B4AB00	42	120200023331	15.3	149.9	72.8	115.9	70.9	32642	{'type': 'Polygon', 'coordinates': [[[574843.75, 3686205.7495117188], [574843.75, 3684843.75], [580156.25, 3684843.75], [580156.25, 3686046.4477539062], [579509.27734375, 3686067.5048828125], [579393.0053710938, 3686069.9462890625], [578943.7866210938, 3686084.5947265625], [578826.5991210938, 3686086.7309570312], [578565.9790039062, 3686096.19140625], [578332.51953125, 3686101.9897460938], [577917.7856445312, 3686116.0278320312], [577344.970703125, 3686131.591796875], [577199.70703125, 3686138.0004882812], [574843.75, 3686205.7495117188]]]}	MXRA-Z42-120200023331	574843.75,3684843.75,580156.25,3686205.7495117188	6.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200023331/2022-06-27/10300100D5B4AB00-visual.tif
2022-06-27 06:08:57+00:00	WV02	0.5	0.0.1	10300100D5B4AB00	42	120200023332	15.4	148.7	72.7	115.9	70.9	32642	{'type': 'Polygon', 'coordinates': [[[569843.75, 3685156.25], [569843.75, 3679843.75], [575156.25, 3679843.75], [575156.25, 3685156.25], [569843.75, 3685156.25]]]}	MXRA-Z42-120200023332	569843.75,3679843.75,575156.25,3685156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200023332/2022-06-27/10300100D5B4AB00-visual.tif
2022-06-27 06:08:57+00:00	WV02	0.49	0.0.1	10300100D5B4AB00	42	120200023333	15.2	149.9	72.9	115.9	70.9	32642	{'type': 'Polygon', 'coordinates': [[[574843.75, 3685156.25], [574843.75, 3679843.75], [580156.25, 3679843.75], [580156.25, 3685156.25], [574843.75, 3685156.25]]]}	MXRA-Z42-120200023333	574843.75,3679843.75,580156.25,3685156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200023333/2022-06-27/10300100D5B4AB00-visual.tif
2022-06-27 06:08:57+00:00	WV02	0.49	0.0.1	10300100D5B4AB00	42	120200032220	15.1	150.9	73.0	115.9	70.9	32642	{'type': 'Polygon', 'coordinates': [[[579843.75, 3686056.2133789062], [579843.75, 3684843.75], [583815.91796875, 3684843.75], [583806.15234375, 3685933.2275390625], [579843.75, 3686056.2133789062]]]}	MXRA-Z42-120200032220	579843.75,3684843.75,583815.91796875,3686056.2133789062	4.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200032220/2022-06-27/10300100D5B4AB00-visual.tif
2022-06-27 06:08:57+00:00	WV02	0.49	0.0.1	10300100D5B4AB00	42	120200032222	15.1	150.9	73.1	115.9	70.9	32642	{'type': 'Polygon', 'coordinates': [[[579843.75, 3685156.25], [579843.75, 3679843.75], [583851.318359375, 3679843.75], [583813.4765625, 3685156.25], [579843.75, 3685156.25]]]}	MXRA-Z42-120200032222	579843.75,3679843.75,583851.318359375,3685156.25	21.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200032222/2022-06-27/10300100D5B4AB00-visual.tif
2022-06-27 06:08:58+00:00	WV02	0.49	0.0.1	10300100D5B4AB00	42	120200201101	15.4	147.7	72.7	115.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[566685.4858398438, 3680156.25], [570156.25, 3680156.25], [570156.25, 3674843.75], [566739.1967773438, 3674843.75], [566685.4858398438, 3680156.25]]]}	MXRA-Z42-120200201101	566685.4858398438,3674843.75,570156.25,3680156.25	18.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200201101/2022-06-27/10300100D5B4AB00-visual.tif
2022-06-27 06:08:58+00:00	WV02	0.49	0.0.1	10300100D5B4AB00	42	120200201103	15.3	147.8	72.8	115.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[566734.619140625, 3675156.25], [570156.25, 3675156.25], [570156.25, 3671774.90234375], [566778.8696289062, 3671871.337890625], [566734.619140625, 3675156.25]]]}	MXRA-Z42-120200201103	566734.619140625,3671774.90234375,570156.25,3675156.25	11.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/afghanistan-earthquake22/ard/42/120200201103/2022-06-27/10300100D5B4AB00-visual.tif
