datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-02-28 06:51:49+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222330102	29.5	91.4	57.0	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[761087.9516601562, 7511162.414550781], [765156.25, 7511063.8427734375], [765156.25, 7509843.75], [761060.791015625, 7509843.75], [761087.9516601562, 7511162.414550781]]]}	761060.791015625,7509843.75,765156.25,7511162.414550781	5.1	3.3	64	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222330102/2022-02-28/105001002A31C400-visual.tif
2022-02-28 06:51:49+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222330103	29.2	91.4	57.3	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[764843.75, 7511071.1669921875], [764843.75, 7509843.75], [770156.25, 7509843.75], [770156.25, 7510942.3828125], [764843.75, 7511071.1669921875]]]}	764843.75,7509843.75,770156.25,7511071.1669921875	6.1	2.5	41	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222330103/2022-02-28/105001002A31C400-visual.tif
2022-02-28 06:51:49+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222330112	28.9	91.4	57.6	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[769843.75, 7510950.3173828125], [769843.75, 7509843.75], [775156.25, 7509843.75], [775156.25, 7510821.228027344], [769843.75, 7510950.3173828125]]]}	769843.75,7509843.75,775156.25,7510950.3173828125	5.5	3.1	56	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222330112/2022-02-28/105001002A31C400-visual.tif
2022-02-28 06:51:49+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222330113	28.6	91.4	58.0	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[774843.75, 7510829.162597656], [774843.75, 7509843.75], [780156.25, 7509843.75], [780156.25, 7510699.768066406], [774843.75, 7510829.162597656]]]}	774843.75,7509843.75,780156.25,7510829.162597656	4.8	1.8	38	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222330113/2022-02-28/105001002A31C400-visual.tif
2022-02-28 06:51:49+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222330131	28.6	91.5	58.0	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[774843.75, 7510156.25], [774843.75, 7504843.75], [780156.25, 7504843.75], [780156.25, 7510156.25], [774843.75, 7510156.25]]]}	774843.75,7504843.75,780156.25,7510156.25	28.2	16.6	59	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222330131/2022-02-28/105001002A31C400-visual.tif
2022-02-28 06:51:49+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222331002	28.4	91.4	58.2	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[779843.75, 7510707.092285156], [779843.75, 7509843.75], [782304.9926757812, 7509843.75], [782294.921875, 7510069.885253906], [782305.2978515625, 7510647.888183594], [779843.75, 7510707.092285156]]]}	779843.75,7509843.75,782305.2978515625,7510707.092285156	2.0	1.1	55	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222331002/2022-02-28/105001002A31C400-visual.tif
2022-02-28 06:51:49+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222331020	28.4	91.5	58.3	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[779843.75, 7510156.25], [779843.75, 7504843.75], [782144.775390625, 7504843.75], [782185.6689453125, 7506583.251953125], [782199.0966796875, 7506905.517578125], [782225.341796875, 7507080.6884765625], [782219.5434570312, 7507322.082519531], [782279.052734375, 7508477.1728515625], [782305.2978515625, 7509870.60546875], [782296.4477539062, 7510156.25], [779843.75, 7510156.25]]]}	779843.75,7504843.75,782305.2978515625,7510156.25	12.6	7.5	59	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222331020/2022-02-28/105001002A31C400-visual.tif
2022-02-28 06:51:50+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222330120	29.4	91.5	57.1	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[761064.1479492188, 7510156.25], [765156.25, 7510156.25], [765156.25, 7504843.75], [761013.18359375, 7504843.75], [761040.0390625, 7505036.0107421875], [761034.2407226562, 7505364.685058594], [761060.791015625, 7505509.6435546875], [761014.7094726562, 7506581.115722656], [761029.052734375, 7506840.2099609375], [761022.0336914062, 7507296.447753906], [761044.921875, 7507548.522949219], [761031.494140625, 7507707.824707031], [761040.9545898438, 7508262.023925781], [761064.7583007812, 7508772.888183594], [761064.1479492188, 7510156.25]]]}	761013.18359375,7504843.75,765156.25,7510156.25	21.8	12.7	58	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222330120/2022-02-28/105001002A31C400-visual.tif
2022-02-28 06:51:50+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222330121	29.2	91.5	57.3	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[764843.75, 7510156.25], [764843.75, 7504843.75], [770156.25, 7504843.75], [770156.25, 7510156.25], [764843.75, 7510156.25]]]}	764843.75,7504843.75,770156.25,7510156.25	28.2	13.9	49	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222330121/2022-02-28/105001002A31C400-visual.tif
2022-02-28 06:51:50+00:00	GE01	0.52	0.0.1	105001002A31C400	38	300222330130	28.9	91.5	57.7	70.3	55.5	32738	{'type': 'Polygon', 'coordinates': [[[769843.75, 7510156.25], [769843.75, 7504843.75], [775156.25, 7504843.75], [775156.25, 7510156.25], [769843.75, 7510156.25]]]}	769843.75,7504843.75,775156.25,7510156.25	28.2	12.8	45	https://maxar-opendata.s3.amazonaws.com/events/cyclone-emnati22/ard/38/300222330130/2022-02-28/105001002A31C400-visual.tif
