datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-06-23 16:56:30+00:00	WV02	0.71	0.0.1	10300100D5B58B00	17	031133010321	37.0	259.4	47.6	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[290156.25, 4124843.75], [287289.30296208215, 4124843.75], [290155.29576243594, 4128223.6594518702], [290156.25, 4124843.75]]]}	MXRA-Z17-031133010321	287289.30296208215,4124843.75,290156.25,4128223.6594518702	4.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133010321/2022-06-23/10300100D5B58B00-visual.tif
2022-06-23 16:56:30+00:00	WV02	0.72	0.0.1	10300100D5B58B00	17	031133010330	37.2	259.5	47.3	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[295156.25, 4124843.75], [289843.75, 4124843.75], [289843.9638826474, 4127856.5009708595], [290993.26985669637, 4129211.8952078233], [295152.28271484375, 4129463.1958007812], [295156.25, 4124843.75]]]}	MXRA-Z17-031133010330	289843.75,4124843.75,295156.25,4129463.1958007812	22.9	2.4	10	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133010330/2022-06-23/10300100D5B58B00-visual.tif
2022-06-23 16:56:30+00:00	WV02	0.72	0.0.1	10300100D5B58B00	17	031133010331	37.4	259.6	47.0	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[300144.6533203125, 4129768.6767578125], [300156.25, 4124843.75], [294843.75, 4124843.75], [294843.75, 4129451.2939453125], [300144.6533203125, 4129768.6767578125]]]}	MXRA-Z17-031133010331	294843.75,4124843.75,300156.25,4129768.6767578125	25.2	1.3	5	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133010331/2022-06-23/10300100D5B58B00-visual.tif
2022-06-23 16:56:30+00:00	WV02	0.72	0.0.1	10300100D5B58B00	17	031133011202	37.6	259.6	46.8	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[305155.33447265625, 4130066.5283203125], [305156.25, 4129843.75], [301418.76220703125, 4129843.75], [301766.9677734375, 4129862.9760742188], [301988.22021484375, 4129883.4228515625], [302470.0927734375, 4129900.2075195312], [302859.19189453125, 4129931.3354492188], [303835.44921875, 4129978.6376953125], [304168.39599609375, 4130011.9018554688], [304564.8193359375, 4130039.3676757812], [304813.53759765625, 4130045.7763671875], [305155.33447265625, 4130066.5283203125]]]}	MXRA-Z17-031133011202	301418.76220703125,4129843.75,305156.25,4130066.5283203125	0.4	0.0	6	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133011202/2022-06-23/10300100D5B58B00-visual.tif
2022-06-23 16:56:30+00:00	WV02	0.73	0.0.1	10300100D5B58B00	17	031133011203	37.9	259.7	46.5	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[310154.4189453125, 4130372.314453125], [310156.25, 4130372.314453125], [310156.25, 4129843.75], [304843.75, 4129843.75], [304843.75, 4130047.607421875], [305679.3212890625, 4130098.2666015625], [305839.53857421875, 4130113.2202148438], [305957.94677734375, 4130120.5444335938], [306038.818359375, 4130128.7841796875], [306081.84814453125, 4130130.615234375], [306262.51220703125, 4130133.056640625], [306398.3154296875, 4130147.0947265625], [306452.0263671875, 4130150.7568359375], [306681.82373046875, 4130153.80859375], [307014.46533203125, 4130187.3779296875], [307210.99853515625, 4130195.0073242188], [307358.09326171875, 4130210.2661132812], [307486.87744140625, 4130213.623046875], [307710.87646484375, 4130228.271484375], [307933.65478515625, 4130245.9716796875], [308045.34912109375, 4130250.244140625], [308325.8056640625, 4130255.7373046875], [308460.99853515625, 4130266.4184570312], [308548.27880859375, 4130270.3857421875], [308829.65087890625, 4130297.5463867188], [308962.40234375, 4130307.3120117188], [309212.34130859375, 4130317.6879882812], [309380.79833984375, 4130330.2001953125], [309607.5439453125, 4130342.4072265625], [309690.85693359375, 4130349.12109375], [309802.55126953125, 4130351.2573242188], [310024.71923828125, 4130360.4125976562], [310105.5908203125, 4130366.8212890625], [310154.4189453125, 4130372.314453125]]]}	MXRA-Z17-031133011203	304843.75,4129843.75,310156.25,4130372.314453125	1.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133011203/2022-06-23/10300100D5B58B00-visual.tif
2022-06-23 16:56:30+00:00	WV02	0.73	0.0.1	10300100D5B58B00	17	031133011212	38.0	259.8	46.4	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[312160.94970703125, 4130484.9243164062], [312235.107421875, 4130118.7133789062], [312231.14013671875, 4130092.1630859375], [312178.955078125, 4129985.0463867188], [312160.33935546875, 4129926.1474609375], [312116.69921875, 4129843.75], [309843.75, 4129843.75], [309843.75, 4130353.0883789062], [311696.77734375, 4130468.75], [312160.94970703125, 4130484.9243164062]]]}	MXRA-Z17-031133011212	309843.75,4129843.75,312235.107421875,4130484.9243164062	1.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133011212/2022-06-23/10300100D5B58B00-visual.tif
2022-06-23 16:56:30+00:00	WV02	0.72	0.0.1	10300100D5B58B00	17	031133011220	37.7	259.7	46.8	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[305155.33447265625, 4130066.5283203125], [305156.25, 4124843.75], [299843.75, 4124843.75], [299843.75, 4129744.873046875], [305155.33447265625, 4130066.5283203125]]]}	MXRA-Z17-031133011220	299843.75,4124843.75,305156.25,4130066.5283203125	26.8	1.7	6	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133011220/2022-06-23/10300100D5B58B00-visual.tif
2022-06-23 16:56:30+00:00	WV02	0.73	0.0.1	10300100D5B58B00	17	031133011221	37.9	259.8	46.5	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[306710.8154296875, 4130156.25], [310156.25, 4130156.25], [310156.25, 4124843.75], [304843.75, 4124843.75], [304843.75, 4130047.607421875], [306710.8154296875, 4130156.25]]]}	MXRA-Z17-031133011221	304843.75,4124843.75,310156.25,4130156.25	28.1	1.1	4	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133011221/2022-06-23/10300100D5B58B00-visual.tif
2022-06-23 16:56:30+00:00	WV02	0.73	0.0.1	10300100D5B58B00	17	031133011230	38.0	259.8	46.4	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[309843.75, 4130156.25], [309843.75, 4124843.75], [312079.4677734375, 4124843.75], [312024.5361328125, 4124992.67578125], [312023.92578125, 4125049.4384765625], [312067.56591796875, 4125203.857421875], [312085.87646484375, 4125384.521484375], [312182.31201171875, 4125632.32421875], [312199.0966796875, 4125877.0751953125], [312188.1103515625, 4126053.7719726562], [312104.18701171875, 4126605.5297851562], [312149.658203125, 4126720.8862304688], [312221.6796875, 4127277.5268554688], [312150.2685546875, 4127584.5336914062], [312142.9443359375, 4128035.5834960938], [312170.41015625, 4128149.7192382812], [312277.2216796875, 4128374.3286132812], [312260.43701171875, 4128514.404296875], [312284.5458984375, 4128694.1528320312], [312277.83203125, 4128754.5776367188], [312238.46435546875, 4128840.6372070312], [312114.2578125, 4129260.5590820312], [312159.423828125, 4129429.931640625], [312146.91162109375, 4129562.98828125], [312108.7646484375, 4129697.5708007812], [312105.712890625, 4129791.259765625], [312121.27685546875, 4129855.95703125], [312230.52978515625, 4130090.6372070312], [312228.69873046875, 4130156.25], [309843.75, 4130156.25]]]}	MXRA-Z17-031133011230	309843.75,4124843.75,312284.5458984375,4130156.25	12.3	1.4	11	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133011230/2022-06-23/10300100D5B58B00-visual.tif
2022-06-23 16:56:31+00:00	WV02	0.71	0.0.1	10300100D5B58B00	17	031133010323	37.0	259.6	47.5	145.7	74.0	32617	{'type': 'Polygon', 'coordinates': [[[290156.25, 4125156.25], [290156.25, 4122548.052301688], [287065.701583648, 4124580.0534504736], [287554.2872058509, 4125156.25], [290156.25, 4125156.25]]]}	MXRA-Z17-031133010323	287065.701583648,4122548.052301688,290156.25,4125156.25	4.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133010323/2022-06-23/10300100D5B58B00-visual.tif
