datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-07-30 16:56:09+00:00	GE01	0.71	0.0.1	105001002D912700	17	031133013123	42.0	272.9	42.3	150.9	69.4	32617	{'type': 'Polygon', 'coordinates': [[[329625.55324185005, 4105156.25], [329178.03132620535, 4104097.149823074], [327142.0614255738, 4105156.25], [329625.55324185005, 4105156.25]]]}	MXRA-Z17-031133013123	327142.0614255738,4104097.149823074,329625.55324185005,4105156.25	1.3	0.9	72	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013123/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:10+00:00	GE01	0.7	0.0.1	105001002D912700	17	031133013120	41.8	272.2	42.5	150.9	69.3	32617	{'type': 'Polygon', 'coordinates': [[[325156.25, 4110156.25], [325156.25, 4106189.2580182003], [320456.6759281035, 4108633.9502159962], [320361.63330078125, 4110156.25], [325156.25, 4110156.25]]]}	MXRA-Z17-031133013120	320361.63330078125,4106189.2580182003,325156.25,4110156.25	12.9	0.2	2	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013120/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:10+00:00	GE01	0.71	0.0.1	105001002D912700	17	031133013121	42.0	272.2	42.2	150.9	69.3	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 4110156.25], [330156.25, 4110156.25], [330156.25, 4106412.1907948568], [329493.5066218175, 4104843.75], [327742.7983603878, 4104843.75], [324843.75, 4106351.818773733], [324843.75, 4110156.25]]]}	MXRA-Z17-031133013121	324843.75,4104843.75,330156.25,4110156.25	25.5	2.4	9	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013121/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:10+00:00	GE01	0.72	0.0.1	105001002D912700	17	031133013130	42.2	272.2	42.0	150.9	69.3	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 4110156.25], [331738.29916237143, 4110156.25], [329843.75, 4105672.6319180303], [329843.75, 4110156.25]]]}	MXRA-Z17-031133013130	329843.75,4105672.6319180303,331738.29916237143,4110156.25	4.2	0.3	8	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013130/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:11+00:00	GE01	0.7	0.0.1	105001002D912700	17	031133013102	41.9	271.2	42.4	151.0	69.3	32617	{'type': 'Polygon', 'coordinates': [[[320443.115234375, 4115156.25], [325156.25, 4115156.25], [325156.25, 4109843.75], [320422.66845703125, 4109843.75], [320407.40966796875, 4110088.1958007812], [320288.0859375, 4110268.8598632812], [320356.75048828125, 4110524.90234375], [320288.0859375, 4111384.8876953125], [320555.11474609375, 4112422.4853515625], [320263.97705078125, 4113871.4599609375], [320455.62744140625, 4114265.13671875], [320443.115234375, 4115156.25]]]}	MXRA-Z17-031133013102	320263.97705078125,4109843.75,325156.25,4115156.25	25.2	15.0	59	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013102/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:11+00:00	GE01	0.71	0.0.1	105001002D912700	17	031133013103	42.1	271.2	42.2	151.0	69.3	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 4115156.25], [324843.75, 4109843.75], [330156.25, 4109843.75], [330156.25, 4115156.25], [324843.75, 4115156.25]]]}	MXRA-Z17-031133013103	324843.75,4109843.75,330156.25,4115156.25	28.2	2.7	9	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013103/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:11+00:00	GE01	0.72	0.0.1	105001002D912700	17	031133013112	42.3	271.2	41.9	151.0	69.3	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 4109843.75], [329843.75, 4115156.25], [332416.0882135461, 4115156.25], [333599.9701223241, 4114562.0589093203], [331606.25254233886, 4109843.75], [329843.75, 4109843.75]]]}	MXRA-Z17-031133013112	329843.75,4109843.75,333599.9701223241,4115156.25	14.8	2.0	13	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013112/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:12+00:00	GE01	0.71	0.0.1	105001002D912700	17	031133013100	42.0	270.2	42.3	151.1	69.2	32617	{'type': 'Polygon', 'coordinates': [[[322453.9571133998, 4120156.25], [325156.25, 4118799.967463947], [325156.25, 4114843.75], [320439.453125, 4114843.75], [320322.8759765625, 4116310.4248046875], [320333.251953125, 4116779.1748046875], [320475.4638671875, 4117145.3857421875], [320491.63818359375, 4117476.806640625], [320395.20263671875, 4118103.3325195312], [320539.55078125, 4118337.0971679688], [320394.287109375, 4118985.9008789062], [320540.1611328125, 4119244.6899414062], [320524.59716796875, 4119533.69140625], [320372.9248046875, 4119918.5180664062], [320430.60302734375, 4120156.25], [322453.9571133998, 4120156.25]]]}	MXRA-Z17-031133013100	320322.8759765625,4114843.75,325156.25,4120156.25	23.3	15.5	66	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013100/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:12+00:00	GE01	0.71	0.0.1	105001002D912700	17	031133013101	42.2	270.2	42.1	151.1	69.2	32617	{'type': 'Polygon', 'coordinates': [[[330156.25, 4114843.75], [324843.75, 4114843.75], [324843.75, 4118956.811414733], [330156.25, 4116290.4642513627], [330156.25, 4114843.75]]]}	MXRA-Z17-031133013101	324843.75,4114843.75,330156.25,4118956.811414733	14.7	10.3	69	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013101/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:12+00:00	GE01	0.72	0.0.1	105001002D912700	17	031133013110	42.3	270.2	41.8	151.1	69.2	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 4114843.75], [329843.75, 4116447.3082021493], [333038.7214073052, 4114843.75], [329843.75, 4114843.75]]]}	MXRA-Z17-031133013110	329843.75,4114843.75,333038.7214073052,4116447.3082021493	2.5	0.2	8	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133013110/2022-07-30/105001002D912700-visual.tif
2022-07-30 16:56:13+00:00	GE01	0.71	0.0.1	105001002D912700	17	031133011322	42.0	269.2	42.2	151.1	69.2	32617	{'type': 'Polygon', 'coordinates': [[[320394.8974609375, 4119843.75], [320373.84033203125, 4119933.4716796875], [320419.921875, 4120048.5229492188], [320429.6875, 4120195.6176757812], [320374.755859375, 4120564.2700195312], [320429.99267578125, 4120645.4467773438], [320478.82080078125, 4120776.9775390625], [320555.419921875, 4120903.3203125], [320573.73046875, 4121022.6440429688], [320569.9116552616, 4121101.8536259704], [323076.59030715894, 4119843.75], [320394.8974609375, 4119843.75]]]}	MXRA-Z17-031133011322	320373.84033203125,4119843.75,323076.59030715894,4121101.8536259704	1.7	1.4	82	https://maxar-opendata.s3.amazonaws.com/events/kentucky-flooding-7-29-2022/ard/17/031133011322/2022-07-30/105001002D912700-visual.tif
