datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2019-11-29 06:22:38+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133213301	23.1	244.5	64.5	171.0	32.7	32643	MXRA-Z43-031133213301	327487.43862675043,3934843.75,330156.25,3935161.5355700105	0.7	0.2	34	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213301/2019-11-29/1040010055A5E300-visual.tif
2019-11-29 06:22:38+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133213303	23.1	244.6	64.5	171.0	32.7	32643	MXRA-Z43-031133213303	327487.1826171875,3929843.75,330156.25,3935156.25	11.7	5.8	49	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213303/2019-11-29/1040010055A5E300-visual.tif
2019-11-29 06:22:38+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133213310	23.3	244.8	64.3	171.0	32.7	32643	MXRA-Z43-031133213310	329843.75,3934843.75,335156.25,3935118.1996544483	1.1	0.5	49	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213310/2019-11-29/1040010055A5E300-visual.tif
2019-11-29 06:22:38+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133213311	23.6	245.2	63.9	171.0	32.7	32643	MXRA-Z43-031133213311	334843.75,3934843.75,340156.25,3935026.242547135	0.7	0.1	18	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213311/2019-11-29/1040010055A5E300-visual.tif
2019-11-29 06:22:38+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133213312	23.3	244.9	64.2	171.0	32.7	32643	MXRA-Z43-031133213312	329843.75,3929843.75,335156.25,3935118.1996544483	27.7	5.4	19	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213312/2019-11-29/1040010055A5E300-visual.tif
2019-11-29 06:22:38+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133213313	23.7	245.3	63.8	171.0	32.7	32643	MXRA-Z43-031133213313	334843.75,3929843.75,340156.25,3935026.242547135	27.2	12.7	46	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213313/2019-11-29/1040010055A5E300-visual.tif
2019-11-29 06:22:39+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133213321	23.2	244.7	64.4	171.0	32.8	32643	MXRA-Z43-031133213321	327931.5185546875,3924843.75,330156.25,3930156.25	10.0	0.2	2	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213321/2019-11-29/1040010055A5E300-visual.tif
2019-11-29 06:22:39+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133213330	23.4	245.0	64.2	171.0	32.8	32643	MXRA-Z43-031133213330	329843.75,3924843.75,335156.25,3930156.25	28.2	1.4	5	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213330/2019-11-29/1040010055A5E300-visual.tif
2019-11-29 06:22:39+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133213331	23.8	245.4	63.7	171.0	32.8	32643	MXRA-Z43-031133213331	334843.75,3924843.75,340156.25,3930156.25	28.2	7.9	28	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213331/2019-11-29/1040010055A5E300-visual.tif
2019-11-29 06:22:39+00:00	WV03	0.36	0.0.1	1040010055A5E300	43	031133302202	24.0	245.6	63.5	171.0	32.7	32643	MXRA-Z43-031133302202	339843.75,3929843.75,344529.72412109375,3934934.285439822	23.2	13.7	58	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133302202/2019-11-29/1040010055A5E300-visual.tif
