datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-15 08:44:22+00:00	WV01	0.74	0.0.1	10200100CB582800	43	031311003003	37.0	106.4	49.6	221.6	51.4	32643	{'type': 'Polygon', 'coordinates': [[[229694.3063224991, 3795156.25], [228492.98825335747, 3794018.477253712], [228521.42333984375, 3795156.25], [229694.3063224991, 3795156.25]]]}	MXRA-Z43-031311003003	228492.98825335747,3794018.477253712,229694.3063224991,3795156.25	0.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311003003/2022-09-15/10200100CB582800-visual.tif
2022-09-15 08:44:23+00:00	WV01	0.74	0.0.1	10200100CB582800	43	031311001221	37.4	109.1	49.1	221.5	51.3	32643	{'type': 'Polygon', 'coordinates': [[[228898.3154296875, 3810156.25], [230156.25, 3810156.25], [230156.25, 3804843.75], [228768.00537109375, 3804843.75], [228799.13330078125, 3806215.2099609375], [228852.84423828125, 3808043.5180664062], [228898.3154296875, 3810156.25]]]}	MXRA-Z43-031311001221	228768.00537109375,3804843.75,230156.25,3810156.25	7.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311001221/2022-09-15/10200100CB582800-visual.tif
2022-09-15 08:44:23+00:00	WV01	0.74	0.0.1	10200100CB582800	43	031311001223	37.3	108.0	49.3	221.6	51.3	32643	{'type': 'Polygon', 'coordinates': [[[228778.38134765625, 3805156.25], [230156.25, 3805156.25], [230156.25, 3799843.75], [228640.44189453125, 3799843.75], [228778.38134765625, 3805156.25]]]}	MXRA-Z43-031311001223	228640.44189453125,3799843.75,230156.25,3805156.25	7.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311001223/2022-09-15/10200100CB582800-visual.tif
2022-09-15 08:44:23+00:00	WV01	0.74	0.0.1	10200100CB582800	43	031311001230	37.3	109.3	49.3	221.5	51.3	32643	{'type': 'Polygon', 'coordinates': [[[229843.75, 3810156.25], [229843.75, 3804843.75], [235156.25, 3804843.75], [235156.25, 3810156.25], [229843.75, 3810156.25]]]}	MXRA-Z43-031311001230	229843.75,3804843.75,235156.25,3810156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311001230/2022-09-15/10200100CB582800-visual.tif
2022-09-15 08:44:23+00:00	WV01	0.73	0.0.1	10200100CB582800	43	031311001231	37.0	109.7	49.6	221.5	51.3	32643	{'type': 'Polygon', 'coordinates': [[[234843.75, 3804843.75], [234843.75, 3810156.25], [240156.25, 3810156.25], [240156.25, 3805064.795201497], [239922.85928509515, 3804843.75], [234843.75, 3804843.75]]]}	MXRA-Z43-031311001231	234843.75,3804843.75,240156.25,3810156.25	28.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311001231/2022-09-15/10200100CB582800-visual.tif
2022-09-15 08:44:23+00:00	WV01	0.74	0.0.1	10200100CB582800	43	031311001232	37.1	108.3	49.4	221.6	51.3	32643	{'type': 'Polygon', 'coordinates': [[[229843.75, 3799843.75], [229843.75, 3805156.25], [235156.25, 3805156.25], [235156.25, 3800329.2768757744], [234643.60614311008, 3799843.75], [229843.75, 3799843.75]]]}	MXRA-Z43-031311001232	229843.75,3799843.75,235156.25,3805156.25	28.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311001232/2022-09-15/10200100CB582800-visual.tif
2022-09-15 08:44:23+00:00	WV01	0.73	0.0.1	10200100CB582800	43	031311001233	36.8	108.6	49.8	221.6	51.3	32643	{'type': 'Polygon', 'coordinates': [[[234843.75, 3805156.25], [240156.25, 3805156.25], [240156.25, 3805064.795201497], [234843.75, 3800033.3069804166], [234843.75, 3805156.25]]]}	MXRA-Z43-031311001233	234843.75,3800033.3069804166,240156.25,3805156.25	13.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311001233/2022-09-15/10200100CB582800-visual.tif
2022-09-15 08:44:23+00:00	WV01	0.73	0.0.1	10200100CB582800	43	031311001320	36.7	110.0	50.0	221.5	51.3	32643	{'type': 'Polygon', 'coordinates': [[[239843.75, 3804843.75], [239843.75, 3810156.25], [245156.25, 3810156.25], [245156.25, 3809800.31352722], [239922.85928509515, 3804843.75], [239843.75, 3804843.75]]]}	MXRA-Z43-031311001320	239843.75,3804843.75,245156.25,3810156.25	15.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311001320/2022-09-15/10200100CB582800-visual.tif
2022-09-15 08:44:23+00:00	WV01	0.72	0.0.1	10200100CB582800	43	031311001321	36.3	110.4	50.3	221.5	51.3	32643	{'type': 'Polygon', 'coordinates': [[[244843.75, 3810156.25], [245532.06574845428, 3810156.25], [244843.75, 3809504.343631862], [244843.75, 3810156.25]]]}	MXRA-Z43-031311001321	244843.75,3809504.343631862,245532.06574845428,3810156.25	0.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311001321/2022-09-15/10200100CB582800-visual.tif
2022-09-15 08:44:23+00:00	WV01	0.72	0.0.1	10200100CB582800	43	031311001322	36.5	108.9	50.2	221.6	51.3	32643	{'type': 'Polygon', 'coordinates': [[[239843.75, 3805156.25], [240252.8126064692, 3805156.25], [239843.75, 3804768.8253061394], [239843.75, 3805156.25]]]}	MXRA-Z43-031311001322	239843.75,3804768.8253061394,240252.8126064692,3805156.25	0.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031311001322/2022-09-15/10200100CB582800-visual.tif
