datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-15 08:43:34+00:00	WV01	0.76	0.0.1	10200100CB8EDE00	43	031133210201	38.3	82.4	48.2	220.4	50.1	32643	{'type': 'Polygon', 'coordinates': [[[270156.25, 3974843.75], [269544.1165826039, 3974843.75], [270156.25, 3975185.1681602346], [270156.25, 3974843.75]]]}	MXRA-Z43-031133210201	269544.1165826039,3974843.75,270156.25,3975185.1681602346	0.1	0.1	98	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210201/2022-09-15/10200100CB8EDE00-visual.tif
2022-09-15 08:43:33+00:00	WV01	0.76	0.0.1	10200100CB8EDE00	43	031133210202	38.5	81.4	47.9	220.4	50.2	32643	{'type': 'Polygon', 'coordinates': [[[265156.25, 3969843.75], [264246.52099609375, 3969843.75], [264226.6845703125, 3970500.7934570312], [264254.150390625, 3970724.4873046875], [264273.0712890625, 3970807.8002929688], [264282.53173828125, 3970979.9194335938], [264311.21826171875, 3971091.0034179688], [264331.6650390625, 3971145.6298828125], [264412.2314453125, 3971233.5205078125], [264537.353515625, 3971456.298828125], [264573.05908203125, 3971482.8491210938], [264655.76171875, 3971510.6201171875], [264707.94677734375, 3971519.1650390625], [264732.36083984375, 3971532.5927734375], [264753.41796875, 3971597.5952148438], [264749.45068359375, 3971628.7231445312], [264687.19482421875, 3971739.8071289062], [264643.5546875, 3971878.662109375], [264615.17333984375, 3971937.5610351562], [264609.06982421875, 3971988.525390625], [264611.2771315847, 3972092.452779106], [265156.25, 3972396.4120612233], [265156.25, 3969843.75]]]}	MXRA-Z43-031133210202	264226.6845703125,3969843.75,265156.25,3972396.4120612233	1.7	0.3	19	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210202/2022-09-15/10200100CB8EDE00-visual.tif
2022-09-15 08:43:33+00:00	WV01	0.76	0.0.1	10200100CB8EDE00	43	031133210203	38.4	81.3	48.0	220.4	50.2	32643	{'type': 'Polygon', 'coordinates': [[[270156.25, 3975156.25], [270156.25, 3969843.75], [264843.75, 3969843.75], [264843.75, 3972222.1148050353], [270104.40222413203, 3975156.25], [270156.25, 3975156.25]]]}	MXRA-Z43-031133210203	264843.75,3969843.75,270156.25,3975156.25	20.5	16.9	82	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210203/2022-09-15/10200100CB8EDE00-visual.tif
2022-09-15 08:43:34+00:00	WV01	0.75	0.0.1	10200100CB8EDE00	43	031133210210	37.9	82.3	48.5	220.4	50.1	32643	{'type': 'Polygon', 'coordinates': [[[275156.25, 3974843.75], [269843.75, 3974843.75], [269843.75, 3975010.870904046], [275156.25, 3977973.9242592454], [275156.25, 3974843.75]]]}	MXRA-Z43-031133210210	269843.75,3974843.75,275156.25,3977973.9242592454	8.7	5.6	65	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210210/2022-09-15/10200100CB8EDE00-visual.tif
2022-09-15 08:43:34+00:00	WV01	0.75	0.0.1	10200100CB8EDE00	43	031133210211	37.6	82.2	48.9	220.4	50.1	32643	{'type': 'Polygon', 'coordinates': [[[280156.25, 3974843.75], [274843.75, 3974843.75], [274843.75, 3977799.6270030574], [275567.0872461357, 3978203.0692344178], [280156.25, 3975462.5369556015], [280156.25, 3974843.75]]]}	MXRA-Z43-031133210211	274843.75,3974843.75,280156.25,3978203.0692344178	11.4	8.3	72	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210211/2022-09-15/10200100CB8EDE00-visual.tif
2022-09-15 08:43:33+00:00	WV01	0.75	0.0.1	10200100CB8EDE00	43	031133210212	38.0	81.3	48.5	220.4	50.2	32643	{'type': 'Polygon', 'coordinates': [[[275156.25, 3975156.25], [275156.25, 3969843.75], [269843.75, 3969843.75], [269843.75, 3975010.870904046], [270104.40222413203, 3975156.25], [275156.25, 3975156.25]]]}	MXRA-Z43-031133210212	269843.75,3969843.75,275156.25,3975156.25	28.2	24.6	87	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210212/2022-09-15/10200100CB8EDE00-visual.tif
2022-09-15 08:43:33+00:00	WV01	0.75	0.0.1	10200100CB8EDE00	43	031133210213	37.7	81.2	48.8	220.4	50.2	32643	{'type': 'Polygon', 'coordinates': [[[274843.75, 3975156.25], [274843.75, 3969843.75], [280156.25, 3969843.75], [280156.25, 3975156.25], [274843.75, 3975156.25]]]}	MXRA-Z43-031133210213	274843.75,3969843.75,280156.25,3975156.25	28.2	19.4	68	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210213/2022-09-15/10200100CB8EDE00-visual.tif
2022-09-15 08:43:33+00:00	WV01	0.77	0.0.1	10200100CB8EDE00	43	031133210220	38.6	80.3	47.8	220.4	50.2	32643	{'type': 'Polygon', 'coordinates': [[[264236.14501953125, 3970156.25], [265156.25, 3970156.25], [265156.25, 3964843.75], [263865.05126953125, 3964843.75], [263940.73486328125, 3965065.91796875], [263992.919921875, 3965344.8486328125], [263995.66650390625, 3965567.9321289062], [264065.24658203125, 3966494.4458007812], [264136.04736328125, 3966725.7690429688], [264250.18310546875, 3966979.6752929688], [264244.384765625, 3967092.28515625], [264265.44189453125, 3967307.12890625], [264245.60546875, 3967362.3657226562], [264169.00634765625, 3967429.19921875], [264198.30322265625, 3967488.4033203125], [264156.18896484375, 3967543.9453125], [264128.41796875, 3967624.2065429688], [264140.93017578125, 3967878.7231445312], [264163.818359375, 3967940.673828125], [264218.44482421875, 3967993.1640625], [264492.49267578125, 3968135.986328125], [264565.4296875, 3968382.8735351562], [264656.06689453125, 3968527.83203125], [264633.7890625, 3968587.3413085938], [264512.02392578125, 3968699.6459960938], [264339.90478515625, 3968894.3481445312], [264313.3544921875, 3968946.533203125], [264305.419921875, 3969260.25390625], [264251.0986328125, 3969739.0747070312], [264236.14501953125, 3970156.25]]]}	MXRA-Z43-031133210220	263865.05126953125,3964843.75,265156.25,3970156.25	5.0	3.7	73	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210220/2022-09-15/10200100CB8EDE00-visual.tif
2022-09-15 08:43:33+00:00	WV01	0.76	0.0.1	10200100CB8EDE00	43	031133210221	38.4	80.3	48.0	220.4	50.2	32643	{'type': 'Polygon', 'coordinates': [[[264843.75, 3970156.25], [264843.75, 3964843.75], [270156.25, 3964843.75], [270156.25, 3970156.25], [264843.75, 3970156.25]]]}	MXRA-Z43-031133210221	264843.75,3964843.75,270156.25,3970156.25	28.2	18.5	65	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210221/2022-09-15/10200100CB8EDE00-visual.tif
2022-09-15 08:43:33+00:00	WV01	0.77	0.0.1	10200100CB8EDE00	43	031133210222	38.7	79.3	47.7	220.5	50.2	32643	{'type': 'Polygon', 'coordinates': [[[263951.72119140625, 3965156.25], [265156.25, 3965156.25], [265156.25, 3959843.75], [263821.71630859375, 3959843.75], [263693.2373046875, 3960092.4682617188], [263683.4716796875, 3960200.5004882812], [263695.98388671875, 3960360.4125976562], [263761.29150390625, 3960648.193359375], [263792.41943359375, 3960730.2856445312], [263890.68603515625, 3960866.0888671875], [263879.39453125, 3960896.9116210938], [263816.5283203125, 3960956.1157226562], [263772.5830078125, 3961064.1479492188], [263739.31884765625, 3961461.7919921875], [263754.57763671875, 3961712.646484375], [263871.4599609375, 3961937.8662109375], [263943.78662109375, 3962135.9252929688], [264089.35546875, 3962416.0766601562], [264117.73681640625, 3962529.9072265625], [264089.35546875, 3962588.1958007812], [263948.66943359375, 3962698.6694335938], [263861.083984375, 3962868.3471679688], [263803.40576171875, 3963390.1977539062], [263740.8447265625, 3963661.8041992188], [263766.78466796875, 3964392.3950195312], [263807.67822265625, 3964557.4951171875], [263816.83349609375, 3964671.3256835938], [263893.12744140625, 3964952.392578125], [263940.73486328125, 3965065.91796875], [263951.72119140625, 3965156.25]]]}	MXRA-Z43-031133210222	263683.4716796875,3959843.75,265156.25,3965156.25	7.0	3.5	49	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133210222/2022-09-15/10200100CB8EDE00-visual.tif
