datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-03-29 06:26:20+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031201	21.9	228.0	65.2	139.3	62.7	32642	{'type': 'Polygon', 'coordinates': [[[310156.25, 2774843.75], [305816.95556640625, 2774843.75], [305827.2080625958, 2775693.633112705], [310156.25, 2775632.672665822], [310156.25, 2774843.75]]]}	MXRA-Z42-031333031201	305816.95556640625,2774843.75,310156.25,2775693.633112705	3.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031201/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:20+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031203	21.9	228.3	65.3	139.2	62.8	32642	{'type': 'Polygon', 'coordinates': [[[305819.7021484375, 2775156.25], [310156.25, 2775156.25], [310156.25, 2769843.75], [305751.64794921875, 2769843.75], [305819.7021484375, 2775156.25]]]}	MXRA-Z42-031333031203	305751.64794921875,2769843.75,310156.25,2775156.25	23.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031203/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:20+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031210	22.2	228.5	65.0	139.3	62.7	32642	{'type': 'Polygon', 'coordinates': [[[315156.25, 2774843.75], [309843.75, 2774843.75], [309843.75, 2775637.0732098515], [315156.25, 2775562.26396135], [315156.25, 2774843.75]]]}	MXRA-Z42-031333031210	309843.75,2774843.75,315156.25,2775637.0732098515	4.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031210/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:20+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031211	22.4	229.1	64.7	139.3	62.7	32642	{'type': 'Polygon', 'coordinates': [[[320156.25, 2774843.75], [314843.75, 2774843.75], [314843.75, 2775566.6645053797], [320156.25, 2775491.855256879], [320156.25, 2774843.75]]]}	MXRA-Z42-031333031211	314843.75,2774843.75,320156.25,2775566.6645053797	3.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031211/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:20+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031212	22.1	228.9	65.0	139.2	62.8	32642	{'type': 'Polygon', 'coordinates': [[[309843.75, 2775156.25], [309843.75, 2769843.75], [315156.25, 2769843.75], [315156.25, 2775156.25], [309843.75, 2775156.25]]]}	MXRA-Z42-031333031212	309843.75,2769843.75,315156.25,2775156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031212/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:20+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031213	22.4	229.4	64.7	139.2	62.8	32642	{'type': 'Polygon', 'coordinates': [[[314843.75, 2775156.25], [314843.75, 2769843.75], [320156.25, 2769843.75], [320156.25, 2775156.25], [314843.75, 2775156.25]]]}	MXRA-Z42-031333031213	314843.75,2769843.75,320156.25,2775156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031213/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:21+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031221	21.9	228.7	65.3	139.2	62.8	32642	{'type': 'Polygon', 'coordinates': [[[305755.31005859375, 2770156.25], [310156.25, 2770156.25], [310156.25, 2764843.75], [305689.0869140625, 2764843.75], [305755.31005859375, 2770156.25]]]}	MXRA-Z42-031333031221	305689.0869140625,2764843.75,310156.25,2770156.25	23.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031221/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:21+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031223	21.8	229.1	65.4	139.2	62.8	32642	{'type': 'Polygon', 'coordinates': [[[305692.7490234375, 2765156.25], [310156.25, 2765156.25], [310156.25, 2759843.75], [305626.220703125, 2759843.75], [305692.7490234375, 2765156.25]]]}	MXRA-Z42-031333031223	305626.220703125,2759843.75,310156.25,2765156.25	23.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031223/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:21+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031230	22.1	229.2	65.1	139.2	62.8	32642	{'type': 'Polygon', 'coordinates': [[[309843.75, 2770156.25], [309843.75, 2764843.75], [315156.25, 2764843.75], [315156.25, 2770156.25], [309843.75, 2770156.25]]]}	MXRA-Z42-031333031230	309843.75,2764843.75,315156.25,2770156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031230/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:21+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031231	22.3	229.8	64.8	139.2	62.8	32642	{'type': 'Polygon', 'coordinates': [[[314843.75, 2770156.25], [314843.75, 2764843.75], [320156.25, 2764843.75], [320156.25, 2770156.25], [314843.75, 2770156.25]]]}	MXRA-Z42-031333031231	314843.75,2764843.75,320156.25,2770156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031231/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:21+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031232	22.0	229.6	65.1	139.2	62.8	32642	{'type': 'Polygon', 'coordinates': [[[309843.75, 2765156.25], [309843.75, 2759843.75], [315156.25, 2759843.75], [315156.25, 2765156.25], [309843.75, 2765156.25]]]}	MXRA-Z42-031333031232	309843.75,2759843.75,315156.25,2765156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031232/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:21+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031233	22.3	230.2	64.8	139.1	62.8	32642	{'type': 'Polygon', 'coordinates': [[[314843.75, 2765156.25], [314843.75, 2759843.75], [320156.25, 2759843.75], [320156.25, 2765156.25], [314843.75, 2765156.25]]]}	MXRA-Z42-031333031233	314843.75,2759843.75,320156.25,2765156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031233/2022-03-29/10300100CFA70700-visual.tif
2022-03-29 06:26:20+00:00	WV02	0.53	0.0.1	10300100CFA70700	42	031333031300	22.6	229.6	64.4	139.3	62.7	32642	{'type': 'Polygon', 'coordinates': [[[324718.93310546875, 2774843.75], [319843.75, 2774843.75], [319843.75, 2775496.255800908], [324725.9081373577, 2775427.5065150126], [324718.93310546875, 2774843.75]]]}	MXRA-Z42-031333031300	319843.75,2774843.75,324725.9081373577,2775496.255800908	3.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031333031300/2022-03-29/10300100CFA70700-visual.tif
