datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-08-06 06:37:03+00:00	WV02	0.8	0.0.1	10300100D820C400	42	031313012231	40.5	213.6	43.2	132.0	70.0	32642	{'type': 'Polygon', 'coordinates': [[[280156.25, 3444843.75], [276460.26611328125, 3444843.75], [276482.2679898744, 3446730.492205587], [280156.25, 3445446.343638019], [280156.25, 3444843.75]]]}	MXRA-Z42-031313012231	276460.26611328125,3444843.75,280156.25,3446730.492205587	4.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012231/2022-08-06/10300100D820C400-visual.tif
2022-08-06 06:37:03+00:00	WV02	0.79	0.0.1	10300100D820C400	42	031313012233	40.3	213.9	43.5	132.0	70.0	32642	{'type': 'Polygon', 'coordinates': [[[276419.0673828125, 3445156.25], [280156.25, 3445156.25], [280156.25, 3439843.75], [276347.35107421875, 3439843.75], [276441.34521484375, 3440797.119140625], [276299.74365234375, 3441765.7470703125], [276501.15966796875, 3443695.9838867188], [276419.0673828125, 3445156.25]]]}	MXRA-Z42-031313012233	276299.74365234375,3439843.75,280156.25,3445156.25	19.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012233/2022-08-06/10300100D820C400-visual.tif
2022-08-06 06:37:03+00:00	WV02	0.8	0.0.1	10300100D820C400	42	031313012320	40.6	214.0	43.2	132.0	70.0	32642	{'type': 'Polygon', 'coordinates': [[[279843.75, 3444843.75], [279843.75, 3445555.5702009853], [281880.2858642391, 3444843.75], [279843.75, 3444843.75]]]}	MXRA-Z42-031313012320	279843.75,3444843.75,281880.2858642391,3445555.5702009853	0.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012320/2022-08-06/10300100D820C400-visual.tif
2022-08-06 06:37:03+00:00	WV02	0.79	0.0.1	10300100D820C400	42	031313012322	40.4	214.3	43.5	132.0	70.0	32642	{'type': 'Polygon', 'coordinates': [[[285156.25, 3439843.75], [279843.75, 3439843.75], [279843.75, 3445156.25], [280986.21534377075, 3445156.25], [285156.25, 3443698.718630563], [285156.25, 3439843.75]]]}	MXRA-Z42-031313012322	279843.75,3439843.75,285156.25,3445156.25	25.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012322/2022-08-06/10300100D820C400-visual.tif
2022-08-06 06:37:03+00:00	WV02	0.8	0.0.1	10300100D820C400	42	031313012323	40.4	214.6	43.4	131.9	70.0	32642	{'type': 'Polygon', 'coordinates': [[[290156.25, 3439843.75], [284843.75, 3439843.75], [284843.75, 3443807.9451935287], [290156.25, 3441951.0936231064], [290156.25, 3439843.75]]]}	MXRA-Z42-031313012323	284843.75,3439843.75,290156.25,3443807.9451935287	16.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012323/2022-08-06/10300100D820C400-visual.tif
2022-08-06 06:37:03+00:00	WV02	0.8	0.0.1	10300100D820C400	42	031313012332	40.5	215.0	43.3	131.8	70.0	32642	{'type': 'Polygon', 'coordinates': [[[295156.25, 3439843.75], [289843.75, 3439843.75], [289843.75, 3442060.3201860725], [295156.25, 3440203.46861565], [295156.25, 3439843.75]]]}	MXRA-Z42-031313012332	289843.75,3439843.75,295156.25,3442060.3201860725	6.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012332/2022-08-06/10300100D820C400-visual.tif
2022-08-06 06:37:03+00:00	WV02	0.8	0.0.1	10300100D820C400	42	031313012333	40.6	215.4	43.2	131.8	70.0	32642	{'type': 'Polygon', 'coordinates': [[[294843.75, 3439843.75], [294843.75, 3440312.6951786163], [296185.41419173306, 3439843.75], [294843.75, 3439843.75]]]}	MXRA-Z42-031313012333	294843.75,3439843.75,296185.41419173306,3440312.6951786163	0.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012333/2022-08-06/10300100D820C400-visual.tif
2022-08-06 06:37:03+00:00	WV02	0.78	0.0.1	10300100D820C400	42	031313030011	40.1	214.2	43.8	131.9	70.0	32642	{'type': 'Polygon', 'coordinates': [[[276369.62890625, 3440156.25], [280156.25, 3440156.25], [280156.25, 3434843.75], [276090.39306640625, 3434843.75], [276119.384765625, 3435087.2802734375], [276073.91357421875, 3435804.443359375], [276124.8779296875, 3436495.361328125], [276127.3193359375, 3436946.4111328125], [276159.97314453125, 3437379.150390625], [276234.130859375, 3437666.9311523438], [276235.9619140625, 3437895.5078125], [276206.6650390625, 3438065.7958984375], [276219.482421875, 3438212.2802734375], [276196.8994140625, 3438438.720703125], [276221.00830078125, 3438609.0087890625], [276211.5478515625, 3438774.7192382812], [276220.39794921875, 3438844.9096679688], [276327.20947265625, 3439157.4096679688], [276368.408203125, 3439328.0029296875], [276333.31298828125, 3439965.5151367188], [276342.46826171875, 3440075.3784179688], [276369.62890625, 3440156.25]]]}	MXRA-Z42-031313030011	276073.91357421875,3434843.75,280156.25,3440156.25	21.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313030011/2022-08-06/10300100D820C400-visual.tif
2022-08-06 06:37:03+00:00	WV02	0.78	0.0.1	10300100D820C400	42	031313030013	39.8	214.5	44.1	131.8	70.0	32642	{'type': 'Polygon', 'coordinates': [[[276109.31396484375, 3435156.25], [280156.25, 3435156.25], [280156.25, 3429843.75], [276065.0634765625, 3429843.75], [276059.26513671875, 3430804.1381835938], [276097.71728515625, 3431156.9213867188], [276085.8154296875, 3431393.1274414062], [276096.49658203125, 3431600.341796875], [276072.3876953125, 3431905.2124023438], [276090.39306640625, 3432396.8505859375], [276065.673828125, 3434618.5302734375], [276119.07958984375, 3435061.3403320312], [276109.31396484375, 3435156.25]]]}	MXRA-Z42-031313030013	276059.26513671875,3429843.75,280156.25,3435156.25	21.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313030013/2022-08-06/10300100D820C400-visual.tif
2022-08-06 06:37:02+00:00	WV02	0.77	0.0.1	10300100D820C400	42	031313030031	39.6	214.8	44.4	131.8	70.0	32642	{'type': 'Polygon', 'coordinates': [[[276069.3359375, 3430156.25], [280156.25, 3430156.25], [280156.25, 3424843.75], [276084.89990234375, 3424843.75], [276094.66552734375, 3425790.1000976562], [276078.4912109375, 3426778.2592773438], [276091.9189453125, 3427230.224609375], [276076.0498046875, 3427890.0146484375], [276088.8671875, 3428109.130859375], [276070.556640625, 3428825.0732421875], [276090.087890625, 3429073.486328125], [276065.0634765625, 3429837.3413085938], [276069.3359375, 3430156.25]]]}	MXRA-Z42-031313030031	276065.0634765625,3424843.75,280156.25,3430156.25	21.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313030031/2022-08-06/10300100D820C400-visual.tif
