datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-10-05 06:23:48+00:00	WV02	0.57	0.0.1	10300100DA086700	43	031133223303	26.9	300.7	59.5	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[245480.65185546875, 3855156.25], [250156.25, 3855156.25], [250156.25, 3849843.75], [245574.951171875, 3849844.0551757812], [245532.53173828125, 3850920.41015625], [245409.85107421875, 3851477.05078125], [245620.1171875, 3852740.1733398438], [245480.65185546875, 3855156.25]]]}	MXRA-Z43-031133223303	245409.85107421875,3849843.75,250156.25,3855156.25	24.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223303/2022-10-05/10300100DA086700-visual.tif
2022-10-05 06:23:48+00:00	WV02	0.57	0.0.1	10300100DA086700	43	031133223312	27.1	300.3	59.3	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[249843.75, 3855156.25], [249843.75, 3849843.75], [255156.25, 3849843.75], [255156.25, 3855156.25], [249843.75, 3855156.25]]]}	MXRA-Z43-031133223312	249843.75,3849843.75,255156.25,3855156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223312/2022-10-05/10300100DA086700-visual.tif
2022-10-05 06:23:48+00:00	WV02	0.58	0.0.1	10300100DA086700	43	031133223313	27.3	299.9	59.0	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[254843.75, 3855156.25], [254843.75, 3849843.75], [260156.25, 3849843.75], [260156.25, 3855156.25], [254843.75, 3855156.25]]]}	MXRA-Z43-031133223313	254843.75,3849843.75,260156.25,3855156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223313/2022-10-05/10300100DA086700-visual.tif
2022-10-05 06:23:48+00:00	WV02	0.57	0.0.1	10300100DA086700	43	031133223321	27.1	301.4	59.3	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[245548.095703125, 3850156.25], [250156.25, 3850156.25], [250156.25, 3846524.658203125], [247166.1376953125, 3847012.6342773438], [246808.4716796875, 3847110.9008789062], [246465.14892578125, 3847141.7236328125], [245921.630859375, 3847289.4287109375], [245425.4150390625, 3847358.7036132812], [245482.177734375, 3847516.1743164062], [245475.76904296875, 3847656.25], [245514.5263671875, 3847770.99609375], [245498.96240234375, 3847889.7094726562], [245590.51513671875, 3848619.6899414062], [245579.52880859375, 3849753.41796875], [245548.095703125, 3850156.25]]]}	MXRA-Z43-031133223321	245425.4150390625,3846524.658203125,250156.25,3850156.25	14.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223321/2022-10-05/10300100DA086700-visual.tif
2022-10-05 06:23:48+00:00	WV02	0.58	0.0.1	10300100DA086700	43	031133223330	27.3	301.1	59.1	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[249843.75, 3850156.25], [249843.75, 3846573.1811523438], [252144.47021484375, 3846233.8256835938], [253194.88525390625, 3846143.798828125], [253481.4453125, 3846146.5454101562], [253746.64306640625, 3846127.3193359375], [254413.75732421875, 3845929.8706054688], [255156.25, 3845792.8466796875], [255156.25, 3850156.25], [249843.75, 3850156.25]]]}	MXRA-Z43-031133223330	249843.75,3845792.8466796875,255156.25,3850156.25	20.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223330/2022-10-05/10300100DA086700-visual.tif
2022-10-05 06:23:48+00:00	WV02	0.58	0.0.1	10300100DA086700	43	031133223331	27.5	300.8	58.8	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[254843.75, 3850156.25], [254843.75, 3845842.8955078125], [255687.56103515625, 3845707.0922851562], [256168.212890625, 3845663.4521484375], [257220.76416015625, 3845612.79296875], [257356.87255859375, 3845587.7685546875], [257546.08154296875, 3845522.1557617188], [257982.7880859375, 3845408.6303710938], [258396.30126953125, 3845321.6552734375], [259400.32958984375, 3845177.9174804688], [260156.25, 3845121.7651367188], [260156.25, 3850156.25], [254843.75, 3850156.25]]]}	MXRA-Z43-031133223331	254843.75,3845121.7651367188,260156.25,3850156.25	24.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223331/2022-10-05/10300100DA086700-visual.tif
2022-10-05 06:23:48+00:00	WV02	0.58	0.0.1	10300100DA086700	43	031133232202	27.6	299.5	58.7	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[259843.75, 3855156.25], [259843.75, 3849843.75], [265156.25, 3849843.75], [265156.25, 3855156.25], [259843.75, 3855156.25]]]}	MXRA-Z43-031133232202	259843.75,3849843.75,265156.25,3855156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133232202/2022-10-05/10300100DA086700-visual.tif
2022-10-05 06:23:48+00:00	WV02	0.58	0.0.1	10300100DA086700	43	031133232203	27.7	299.2	58.6	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[264843.75, 3855156.25], [264843.75, 3849843.75], [266336.97509765625, 3849843.75], [266428.52783203125, 3850431.8237304688], [266527.40478515625, 3850685.1196289062], [266484.06982421875, 3850915.2221679688], [266494.44580078125, 3851141.0522460938], [266517.02880859375, 3851252.1362304688], [266520.3857421875, 3851450.1953125], [266669.921875, 3851959.228515625], [266729.1259765625, 3852413.330078125], [266785.58349609375, 3854166.5649414062], [266836.5478515625, 3855156.25], [264843.75, 3855156.25]]]}	MXRA-Z43-031133232203	264843.75,3849843.75,266836.5478515625,3855156.25	9.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133232203/2022-10-05/10300100DA086700-visual.tif
2022-10-05 06:23:48+00:00	WV02	0.58	0.0.1	10300100DA086700	43	031133232220	27.8	300.5	58.5	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[259843.75, 3850156.25], [259843.75, 3845135.1928710938], [261320.1904296875, 3845030.8227539062], [262243.65234375, 3844843.75], [265156.25, 3844843.75], [265156.25, 3850156.25], [259843.75, 3850156.25]]]}	MXRA-Z43-031133232220	259843.75,3844843.75,265156.25,3850156.25	27.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133232220/2022-10-05/10300100DA086700-visual.tif
2022-10-05 06:23:48+00:00	WV02	0.58	0.0.1	10300100DA086700	43	031133232221	27.9	300.3	58.4	166.3	49.8	32643	{'type': 'Polygon', 'coordinates': [[[264843.75, 3850156.25], [264843.75, 3844843.75], [266441.34521484375, 3844843.75], [266454.4677734375, 3845136.4135742188], [266416.32080078125, 3845395.2026367188], [266365.966796875, 3845601.1962890625], [266335.14404296875, 3846274.1088867188], [266297.607421875, 3846549.9877929688], [266323.8525390625, 3846951.904296875], [266382.4462890625, 3847200.0122070312], [266386.41357421875, 3847321.77734375], [266427.6123046875, 3847573.2421875], [266408.0810546875, 3847828.369140625], [266371.76513671875, 3847970.5810546875], [266351.62353515625, 3848142.7001953125], [266345.8251953125, 3848367.0043945312], [266251.52587890625, 3848761.5966796875], [266225.28076171875, 3848989.5629882812], [266291.19873046875, 3849583.740234375], [266381.2255859375, 3850156.25], [264843.75, 3850156.25]]]}	MXRA-Z43-031133232221	264843.75,3844843.75,266454.4677734375,3850156.25	7.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133232221/2022-10-05/10300100DA086700-visual.tif
