datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-14 05:57:25+00:00	WV02	0.56	0.0.1	10300100DAB84400	43	031133223111	25.4	43.2	61.3	149.3	54.8	32643	{'type': 'Polygon', 'coordinates': [[[260155.33447265625, 3878459.1674804688], [260156.25, 3874843.75], [255111.6943359375, 3874843.75], [255199.27978515625, 3875621.0327148438], [255202.33154296875, 3875914.6118164062], [255307.0068359375, 3876689.1479492188], [255297.54638671875, 3876899.7192382812], [255335.0830078125, 3877147.5219726562], [255318.29833984375, 3877427.3681640625], [255338.7451171875, 3877784.423828125], [255331.4208984375, 3877905.2734375], [255504.150390625, 3877912.2924804688], [256046.44775390625, 3877882.9956054688], [256792.90771484375, 3877922.36328125], [257564.697265625, 3877985.83984375], [257979.736328125, 3878053.8940429688], [258246.15478515625, 3878114.6240234375], [258426.513671875, 3878120.7275390625], [258965.4541015625, 3878195.4956054688], [259503.173828125, 3878289.794921875], [259955.13916015625, 3878395.6909179688], [260155.33447265625, 3878459.1674804688]]]}	MXRA-Z43-031133223111	255111.6943359375,3874843.75,260156.25,3878459.1674804688	15.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223111/2022-09-14/10300100DAB84400-visual.tif
2022-09-14 05:57:25+00:00	WV02	0.56	0.0.1	10300100DAB84400	43	031133223113	25.4	43.0	61.2	149.3	54.8	32643	{'type': 'Polygon', 'coordinates': [[[255143.12744140625, 3875156.25], [260156.25, 3875156.25], [260156.25, 3869843.75], [255037.2314453125, 3869843.75], [255071.71630859375, 3871256.103515625], [255227.96630859375, 3872447.8149414062], [255082.70263671875, 3874279.78515625], [255143.12744140625, 3875156.25]]]}	MXRA-Z43-031133223113	255037.2314453125,3869843.75,260156.25,3875156.25	26.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223113/2022-09-14/10300100DAB84400-visual.tif
2022-09-14 05:57:25+00:00	WV02	0.56	0.0.1	10300100DAB84400	43	031133223130	25.5	42.8	61.1	149.2	54.8	32643	{'type': 'Polygon', 'coordinates': [[[255060.11962890625, 3870156.25], [255156.25, 3870156.25], [255156.25, 3864843.75], [254966.12548828125, 3864843.75], [254980.46875, 3864917.9077148438], [254995.7275390625, 3864979.8583984375], [255023.8037109375, 3865084.8388671875], [255049.74365234375, 3865173.33984375], [255086.669921875, 3865371.09375], [255111.38916015625, 3865455.0170898438], [255116.88232421875, 3865480.0415039062], [255122.37548828125, 3865512.0849609375], [255123.9013671875, 3865535.888671875], [255121.15478515625, 3865569.1528320312], [255106.8115234375, 3865626.8310546875], [255100.40283203125, 3865667.4194335938], [255096.13037109375, 3865710.7543945312], [255091.552734375, 3865798.33984375], [255060.72998046875, 3865993.65234375], [255046.08154296875, 3866121.826171875], [255032.65380859375, 3866277.1606445312], [255019.22607421875, 3866392.822265625], [255011.90185546875, 3866502.9907226562], [254993.896484375, 3866706.2377929688], [254978.94287109375, 3866843.26171875], [254975.89111328125, 3866894.53125], [254975.89111328125, 3866932.0678710938], [254978.33251953125, 3866961.0595703125], [254995.42236328125, 3867071.2280273438], [254997.55859375, 3867095.3369140625], [254996.9482421875, 3867122.4975585938], [254993.2861328125, 3867156.0668945312], [254976.50146484375, 3867241.5161132812], [254952.392578125, 3867409.3627929688], [254947.81494140625, 3867465.2099609375], [254945.37353515625, 3867546.0815429688], [254945.98388671875, 3867581.1767578125], [254948.1201171875, 3867604.98046875], [254956.6650390625, 3867663.57421875], [254960.63232421875, 3867710.8764648438], [254959.1064453125, 3867741.0888671875], [254951.47705078125, 3867802.4291992188], [254951.47705078125, 3867837.2192382812], [254961.24267578125, 3867945.8618164062], [254965.2099609375, 3868057.5561523438], [254963.68408203125, 3868132.0190429688], [254965.2099609375, 3868261.71875], [254960.3271484375, 3868312.98828125], [254949.3408203125, 3868372.4975585938], [254947.20458984375, 3868406.3720703125], [254948.42529296875, 3868431.7016601562], [254965.51513671875, 3868595.2758789062], [254980.46875, 3868832.0922851562], [254979.8583984375, 3868937.3779296875], [254988.09814453125, 3869073.7915039062], [254986.26708984375, 3869132.080078125], [254987.48779296875, 3869234.619140625], [254983.82568359375, 3869313.3544921875], [254985.65673828125, 3869414.6728515625], [254992.67578125, 3869504.6997070312], [255008.544921875, 3869617.919921875], [255022.27783203125, 3869699.70703125], [255032.958984375, 3869816.89453125], [255055.84716796875, 3869953.3081054688], [255057.373046875, 3869988.4033203125], [255054.3212890625, 3870036.62109375], [255054.01611328125, 3870069.2749023438], [255060.11962890625, 3870156.25]]]}	MXRA-Z43-031133223130	254945.37353515625,3864843.75,255156.25,3870156.25	0.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223130/2022-09-14/10300100DAB84400-visual.tif
2022-09-14 05:57:25+00:00	WV02	0.56	0.0.1	10300100DAB84400	43	031133223131	25.5	42.7	61.2	149.2	54.8	32643	{'type': 'Polygon', 'coordinates': [[[255060.11962890625, 3870156.25], [260156.25, 3870156.25], [260156.25, 3864843.75], [254966.12548828125, 3864843.75], [255123.9013671875, 3865535.888671875], [255046.08154296875, 3866121.826171875], [254978.94287109375, 3866843.5668945312], [254996.9482421875, 3867122.4975585938], [254945.37353515625, 3867546.0815429688], [254965.2099609375, 3868057.5561523438], [254965.2099609375, 3868261.71875], [254947.20458984375, 3868406.3720703125], [254980.77392578125, 3868840.33203125], [254985.65673828125, 3869414.6728515625], [255055.84716796875, 3869953.3081054688], [255060.11962890625, 3870156.25]]]}	MXRA-Z43-031133223131	254945.37353515625,3864843.75,260156.25,3870156.25	27.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133223131/2022-09-14/10300100DAB84400-visual.tif
2022-09-14 05:57:25+00:00	WV02	0.55	0.0.1	10300100DAB84400	43	031133230232	24.8	41.9	62.0	149.3	54.8	32643	{'type': 'Polygon', 'coordinates': [[[275036.0107421875, 3880095.21484375], [275037.2314453125, 3880095.21484375], [275049.74365234375, 3879972.8393554688], [275059.814453125, 3879914.2456054688], [275067.7490234375, 3879843.75], [273213.5009765625, 3879843.75], [273264.16015625, 3879855.3466796875], [273334.3505859375, 3879878.8452148438], [273381.34765625, 3879889.8315429688], [273431.396484375, 3879893.1884765625], [273521.42333984375, 3879894.4091796875], [273636.474609375, 3879905.0903320312], [273685.302734375, 3879905.7006835938], [273761.5966796875, 3879903.564453125], [273798.828125, 3879905.3955078125], [273854.67529296875, 3879911.8041992188], [273913.57421875, 3879923.4008789062], [273998.4130859375, 3879935.302734375], [274096.0693359375, 3879960.6323242188], [274208.67919921875, 3879985.9619140625], [274362.79296875, 3880033.8745117188], [274393.310546875, 3880041.8090820312], [274422.607421875, 3880047.3022460938], [274449.15771484375, 3880049.7436523438], [274554.13818359375, 3880051.8798828125], [274671.32568359375, 3880049.1333007812], [274706.4208984375, 3880049.7436523438], [274815.36865234375, 3880062.8662109375], [274900.81787109375, 3880069.8852539062], [275036.0107421875, 3880095.21484375]]]}	MXRA-Z43-031133230232	273213.5009765625,3879843.75,275067.7490234375,3880095.21484375	0.2	0.2	86	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133230232/2022-09-14/10300100DAB84400-visual.tif
2022-09-14 05:57:25+00:00	WV02	0.55	0.0.1	10300100DAB84400	43	031133230233	24.7	41.8	62.0	149.3	54.8	32643	{'type': 'Polygon', 'coordinates': [[[275036.0107421875, 3880095.21484375], [275037.2314453125, 3880095.21484375], [275043.3349609375, 3880026.85546875], [275049.74365234375, 3879972.8393554688], [275059.814453125, 3879914.2456054688], [275067.7490234375, 3879843.75], [274843.75, 3879843.75], [274843.75, 3880065.3076171875], [274875.79345703125, 3880067.4438476562], [274913.02490234375, 3880071.7163085938], [274930.11474609375, 3880074.462890625], [274984.7412109375, 3880086.0595703125], [275036.0107421875, 3880095.21484375]]]}	MXRA-Z43-031133230233	274843.75,3879843.75,275067.7490234375,3880095.21484375	0.0	0.0	85	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133230233/2022-09-14/10300100DAB84400-visual.tif
2022-09-14 05:57:25+00:00	WV02	0.56	0.0.1	10300100DAB84400	43	031133232000	25.2	42.8	61.5	149.3	54.8	32643	{'type': 'Polygon', 'coordinates': [[[265151.67236328125, 3878864.4409179688], [265156.25, 3874843.75], [259843.75, 3874843.75], [259843.75, 3878368.2250976562], [260455.9326171875, 3878528.4423828125], [261828.91845703125, 3878557.12890625], [263021.240234375, 3878817.138671875], [263826.59912109375, 3878769.2260742188], [265151.67236328125, 3878864.4409179688]]]}	MXRA-Z43-031133232000	259843.75,3874843.75,265156.25,3878864.4409179688	20.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133232000/2022-09-14/10300100DAB84400-visual.tif
2022-09-14 05:57:25+00:00	WV02	0.55	0.0.1	10300100DAB84400	43	031133232001	25.0	42.3	61.8	149.3	54.8	32643	{'type': 'Polygon', 'coordinates': [[[270155.94482421875, 3879260.8642578125], [270156.25, 3874843.75], [264843.75, 3874843.75], [264843.75, 3878843.0786132812], [264987.48779296875, 3878860.4736328125], [265944.82421875, 3878889.16015625], [266362.9150390625, 3878874.2065429688], [266568.29833984375, 3878904.7241210938], [267131.9580078125, 3878932.4951171875], [267728.271484375, 3879001.7700195312], [268030.3955078125, 3879064.3310546875], [268357.5439453125, 3879060.9741210938], [268529.6630859375, 3879085.0830078125], [268747.55859375, 3879082.03125], [269160.7666015625, 3879116.8212890625], [269607.5439453125, 3879170.8374023438], [270155.94482421875, 3879260.8642578125]]]}	MXRA-Z43-031133232001	264843.75,3874843.75,270156.25,3879260.8642578125	22.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133232001/2022-09-14/10300100DAB84400-visual.tif
2022-09-14 05:57:25+00:00	WV02	0.56	0.0.1	10300100DAB84400	43	031133232002	25.2	42.5	61.5	149.3	54.8	32643	{'type': 'Polygon', 'coordinates': [[[259843.75, 3875156.25], [259843.75, 3869843.75], [265156.25, 3869843.75], [265156.25, 3875156.25], [259843.75, 3875156.25]]]}	MXRA-Z43-031133232002	259843.75,3869843.75,265156.25,3875156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133232002/2022-09-14/10300100DAB84400-visual.tif
2022-09-14 05:57:25+00:00	WV02	0.56	0.0.1	10300100DAB84400	43	031133232003	25.0	42.0	61.7	149.3	54.8	32643	{'type': 'Polygon', 'coordinates': [[[264843.75, 3875156.25], [264843.75, 3869843.75], [270156.25, 3869843.75], [270156.25, 3875156.25], [264843.75, 3875156.25]]]}	MXRA-Z43-031133232003	264843.75,3869843.75,270156.25,3875156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133232003/2022-09-14/10300100DAB84400-visual.tif
