datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-01 06:38:59+00:00	WV03	0.41	0.0.1	104001007A2B9F00	42	031313012202	31.6	303.9	54.9	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[265156.25, 3449843.75], [264564.02048397803, 3449843.75], [264883.99373066303, 3450784.379033334], [265156.25, 3450689.218660388], [265156.25, 3449843.75]]]}	MXRA-Z42-031313012202	264564.02048397803,3449843.75,265156.25,3450784.379033334	0.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012202/2022-09-01/104001007A2B9F00-visual.tif
2022-09-01 06:38:59+00:00	WV03	0.41	0.0.1	104001007A2B9F00	42	031313012203	31.9	303.7	54.6	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[264843.75, 3449843.75], [264843.75, 3450666.074075456], [264883.99373066303, 3450784.379033334], [267575.1575367452, 3449843.75], [264843.75, 3449843.75]]]}	MXRA-Z42-031313012203	264843.75,3449843.75,267575.1575367452,3450784.379033334	1.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012203/2022-09-01/104001007A2B9F00-visual.tif
2022-09-01 06:38:59+00:00	WV03	0.41	0.0.1	104001007A2B9F00	42	031313012220	31.7	303.9	54.8	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[265156.25, 3450156.25], [265156.25, 3444843.75], [262863.1733096629, 3444843.75], [264670.3234323727, 3450156.25], [265156.25, 3450156.25]]]}	MXRA-Z42-031313012220	262863.1733096629,3444843.75,265156.25,3450156.25	7.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012220/2022-09-01/104001007A2B9F00-visual.tif
2022-09-01 06:38:59+00:00	WV03	0.41	0.0.1	104001007A2B9F00	42	031313012221	32.0	303.7	54.5	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[270156.25, 3444843.75], [264843.75, 3444843.75], [264843.75, 3450156.25], [266681.0870162768, 3450156.25], [270156.25, 3448941.593652932], [270156.25, 3444843.75]]]}	MXRA-Z42-031313012221	264843.75,3444843.75,270156.25,3450156.25	26.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012221/2022-09-01/104001007A2B9F00-visual.tif
2022-09-01 06:39:00+00:00	WV03	0.41	0.0.1	104001007A2B9F00	42	031313012222	31.8	303.9	54.7	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[265156.25, 3445156.25], [265156.25, 3439843.75], [261162.3261353478, 3439843.75], [262969.4762580576, 3445156.25], [265156.25, 3445156.25]]]}	MXRA-Z42-031313012222	261162.3261353478,3439843.75,265156.25,3445156.25	16.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012222/2022-09-01/104001007A2B9F00-visual.tif
2022-09-01 06:39:00+00:00	WV03	0.41	0.0.1	104001007A2B9F00	42	031313012223	32.0	303.7	54.4	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[264843.75, 3445156.25], [264843.75, 3439843.75], [270156.25, 3439843.75], [270156.25, 3445156.25], [264843.75, 3445156.25]]]}	MXRA-Z42-031313012223	264843.75,3439843.75,270156.25,3445156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012223/2022-09-01/104001007A2B9F00-visual.tif
2022-09-01 06:38:59+00:00	WV03	0.42	0.0.1	104001007A2B9F00	42	031313012230	32.3	303.6	54.2	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[275156.25, 3444843.75], [269843.75, 3444843.75], [269843.75, 3449050.8202158976], [275156.25, 3447193.9686454753], [275156.25, 3444843.75]]]}	MXRA-Z42-031313012230	269843.75,3444843.75,275156.25,3449050.8202158976	17.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012230/2022-09-01/104001007A2B9F00-visual.tif
2022-09-01 06:38:59+00:00	WV03	0.42	0.0.1	104001007A2B9F00	42	031313012231	32.5	303.5	53.9	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[277774.658203125, 3445872.1923828125], [277733.7646484375, 3445700.9887695312], [277632.4462890625, 3445455.0170898438], [277464.599609375, 3445176.3916015625], [277443.84765625, 3444966.1254882812], [277406.31103515625, 3444843.75], [274843.75, 3444843.75], [274843.75, 3447303.1952084415], [277804.3657813693, 3446268.3859730433], [277774.658203125, 3445872.1923828125]]]}	MXRA-Z42-031313012231	274843.75,3444843.75,277804.3657813693,3447303.1952084415	5.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012231/2022-09-01/104001007A2B9F00-visual.tif
2022-09-01 06:38:59+00:00	WV03	0.42	0.0.1	104001007A2B9F00	42	031313012232	32.4	303.6	54.1	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[269843.75, 3445156.25], [269843.75, 3439843.75], [275156.25, 3439843.75], [275156.25, 3445156.25], [269843.75, 3445156.25]]]}	MXRA-Z42-031313012232	269843.75,3439843.75,275156.25,3445156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012232/2022-09-01/104001007A2B9F00-visual.tif
2022-09-01 06:38:59+00:00	WV03	0.42	0.0.1	104001007A2B9F00	42	031313012233	32.5	303.5	53.9	147.7	64.0	32642	{'type': 'Polygon', 'coordinates': [[[274843.75, 3445156.25], [274843.75, 3439843.75], [276047.66845703125, 3439843.75], [276158.14208984375, 3440245.9716796875], [276300.96435546875, 3440592.9565429688], [276357.72705078125, 3440788.8793945312], [276349.4873046875, 3441195.3735351562], [276451.416015625, 3441481.0180664062], [276454.4677734375, 3441743.4692382812], [276502.99072265625, 3441881.4086914062], [276536.865234375, 3442071.8383789062], [276600.64697265625, 3442223.8159179688], [276780.3955078125, 3442535.0952148438], [276844.482421875, 3442830.2001953125], [276896.66748046875, 3442956.2377929688], [277064.8193359375, 3443259.5825195312], [277185.05859375, 3443633.1176757812], [277204.89501953125, 3443767.08984375], [277191.162109375, 3443979.1870117188], [277230.224609375, 3444266.0522460938], [277281.18896484375, 3444445.80078125], [277324.52392578125, 3444530.9448242188], [277440.7958984375, 3444950.5615234375], [277457.8857421875, 3445156.25], [274843.75, 3445156.25]]]}	MXRA-Z42-031313012233	274843.75,3439843.75,277457.8857421875,3445156.25	10.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313012233/2022-09-01/104001007A2B9F00-visual.tif
