datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-07 06:35:43+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313021113	27.7	249.2	59.3	148.9	61.9	32642	{'type': 'Polygon', 'coordinates': [[[260156.25, 3429843.75], [257760.63178671757, 3429843.75], [258362.89427026408, 3431614.227949581], [260152.89306640625, 3431726.3793945312], [260156.25, 3429843.75]]]}	MXRA-Z42-031313021113	257760.63178671757,3429843.75,260156.25,3431726.3793945312	3.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313021113/2022-09-07/104001007C941100-visual.tif
2022-09-07 06:35:43+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313021131	27.8	249.2	59.3	148.9	61.9	32642	{'type': 'Polygon', 'coordinates': [[[260156.25, 3430156.25], [260156.25, 3424843.75], [256059.78461240247, 3424843.75], [257866.93473511227, 3430156.25], [260156.25, 3430156.25]]]}	MXRA-Z42-031313021131	256059.78461240247,3424843.75,260156.25,3430156.25	16.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313021131/2022-09-07/104001007C941100-visual.tif
2022-09-07 06:35:44+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313021132	27.5	249.1	59.6	148.8	62.0	32642	{'type': 'Polygon', 'coordinates': [[[255156.25, 3419843.75], [254358.93743808733, 3419843.75], [255156.25, 3422187.6189082507], [255156.25, 3419843.75]]]}	MXRA-Z42-031313021132	254358.93743808733,3419843.75,255156.25,3422187.6189082507	0.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313021132/2022-09-07/104001007C941100-visual.tif
2022-09-07 06:35:44+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313021133	27.9	249.4	59.2	148.8	62.0	32642	{'type': 'Polygon', 'coordinates': [[[260156.25, 3425156.25], [260156.25, 3419843.75], [254843.75, 3419843.75], [254843.75, 3421268.9590641474], [256166.08756079717, 3425156.25], [260156.25, 3425156.25]]]}	MXRA-Z42-031313021133	254843.75,3419843.75,260156.25,3425156.25	25.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313021133/2022-09-07/104001007C941100-visual.tif
2022-09-07 06:35:44+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313021310	27.6	249.2	59.5	148.8	62.0	32642	{'type': 'Polygon', 'coordinates': [[[255156.25, 3420156.25], [255156.25, 3418366.0888671875], [253827.75207462732, 3418282.218277804], [254465.24038648204, 3420156.25], [255156.25, 3420156.25]]]}	MXRA-Z42-031313021310	253827.75207462732,3418282.218277804,255156.25,3420156.25	1.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313021310/2022-09-07/104001007C941100-visual.tif
2022-09-07 06:35:44+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313021311	27.9	249.4	59.1	148.8	62.0	32642	{'type': 'Polygon', 'coordinates': [[[254843.75, 3420156.25], [254843.75, 3418346.5576171875], [260156.25, 3418674.9267578125], [260156.25, 3420156.25], [254843.75, 3420156.25]]]}	MXRA-Z42-031313021311	254843.75,3418346.5576171875,260156.25,3420156.25	8.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313021311/2022-09-07/104001007C941100-visual.tif
2022-09-07 06:35:43+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313030002	28.0	249.4	59.0	148.9	61.9	32642	{'type': 'Polygon', 'coordinates': [[[263669.43359375, 3431940.3076171875], [263674.01123046875, 3431924.7436523438], [263614.80712890625, 3429843.75], [259843.75, 3429843.75], [259843.75, 3431706.8481445312], [263669.43359375, 3431940.3076171875]]]}	MXRA-Z42-031313030002	259843.75,3429843.75,263674.01123046875,3431940.3076171875	7.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313030002/2022-09-07/104001007C941100-visual.tif
2022-09-07 06:35:43+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313030020	28.1	249.5	58.9	148.9	61.9	32642	{'type': 'Polygon', 'coordinates': [[[259843.75, 3430156.25], [259843.75, 3424843.75], [263487.548828125, 3424843.75], [263622.74169921875, 3430156.25], [259843.75, 3430156.25]]]}	MXRA-Z42-031313030020	259843.75,3424843.75,263622.74169921875,3430156.25	19.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313030020/2022-09-07/104001007C941100-visual.tif
2022-09-07 06:35:44+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313030022	28.1	249.6	58.8	148.8	62.0	32642	{'type': 'Polygon', 'coordinates': [[[259843.75, 3425156.25], [259843.75, 3419843.75], [263360.595703125, 3419843.75], [263459.16748046875, 3423193.359375], [263493.34716796875, 3425156.25], [259843.75, 3425156.25]]]}	MXRA-Z42-031313030022	259843.75,3419843.75,263493.34716796875,3425156.25	19.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313030022/2022-09-07/104001007C941100-visual.tif
2022-09-07 06:35:44+00:00	WV03	0.38	0.0.1	104001007C941100	42	031313030200	28.1	249.6	58.8	148.8	62.0	32642	{'type': 'Polygon', 'coordinates': [[[259843.75, 3420156.25], [259843.75, 3418656.3110351562], [263327.63671875, 3418862.3046875], [263368.5302734375, 3420156.25], [259843.75, 3420156.25]]]}	MXRA-Z42-031313030200	259843.75,3418656.3110351562,263368.5302734375,3420156.25	4.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031313030200/2022-09-07/104001007C941100-visual.tif
