datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-04-29 06:23:43+00:00	GE01	0.47	0.0.1	105001002B70AB00	42	031331320021	22.2	336.6	65.2	125.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[350156.25, 2944843.75], [345098.876953125, 2944843.75], [345130.88573186356, 2946426.7296030703], [350156.25, 2946527.7737763226], [350156.25, 2944843.75]]]}	MXRA-Z42-031331320021	345098.876953125,2944843.75,350156.25,2946527.7737763226	8.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320021/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:42+00:00	GE01	0.47	0.0.1	105001002B70AB00	42	031331320022	23.0	338.1	64.4	125.6	70.9	32642	{'type': 'Polygon', 'coordinates': [[[345104.98046875, 2945156.25], [345156.25, 2945156.25], [345156.25, 2939843.75], [344994.81201171875, 2939843.75], [344998.47412109375, 2939967.9565429688], [344999.08447265625, 2940054.3212890625], [345003.0517578125, 2940188.5986328125], [345004.8828125, 2940306.7016601562], [345008.23974609375, 2940429.9926757812], [345014.6484375, 2940782.1655273438], [345017.08984375, 2940849.3041992188], [345022.27783203125, 2941135.25390625], [345026.55029296875, 2941308.8989257812], [345029.9072265625, 2941516.11328125], [345035.400390625, 2941743.1640625], [345039.36767578125, 2941973.2666015625], [345043.3349609375, 2942125.5493164062], [345048.828125, 2942419.7387695312], [345050.96435546875, 2942487.79296875], [345057.373046875, 2942861.328125], [345061.6455078125, 2943010.5590820312], [345068.9697265625, 2943406.3720703125], [345072.32666015625, 2943523.5595703125], [345072.93701171875, 2943620.60546875], [345077.5146484375, 2943792.1142578125], [345079.9560546875, 2943964.2333984375], [345085.14404296875, 2944143.3715820312], [345087.890625, 2944350.8911132812], [345092.46826171875, 2944494.0185546875], [345093.07861328125, 2944581.6040039062], [345097.35107421875, 2944744.873046875], [345100.7080078125, 2944971.3134765625], [345104.98046875, 2945156.25]]]}	MXRA-Z42-031331320022	344994.81201171875,2939843.75,345156.25,2945156.25	0.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320022/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:42+00:00	GE01	0.47	0.0.1	105001002B70AB00	42	031331320023	22.9	337.8	64.4	125.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[345104.98046875, 2945156.25], [350156.25, 2945156.25], [350156.25, 2939843.75], [344994.81201171875, 2939843.75], [345104.98046875, 2945156.25]]]}	MXRA-Z42-031331320023	344994.81201171875,2939843.75,350156.25,2945156.25	27.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320023/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:43+00:00	GE01	0.47	0.0.1	105001002B70AB00	42	031331320030	22.3	335.7	65.1	125.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[355156.25, 2944843.75], [349843.75, 2944843.75], [349843.75, 2946521.4903901927], [355156.25, 2946628.3079544054], [355156.25, 2944843.75]]]}	MXRA-Z42-031331320030	349843.75,2944843.75,355156.25,2946628.3079544054	9.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320030/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:43+00:00	GE01	0.47	0.0.1	105001002B70AB00	42	031331320031	22.4	334.7	65.0	125.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[360156.25, 2944843.75], [354843.75, 2944843.75], [354843.75, 2946622.0245682755], [360156.25, 2946728.8421324883], [360156.25, 2944843.75]]]}	MXRA-Z42-031331320031	354843.75,2944843.75,360156.25,2946728.8421324883	9.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320031/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:42+00:00	GE01	0.47	0.0.1	105001002B70AB00	42	031331320032	23.0	336.9	64.3	125.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[349843.75, 2945156.25], [349843.75, 2939843.75], [355156.25, 2939843.75], [355156.25, 2945156.25], [349843.75, 2945156.25]]]}	MXRA-Z42-031331320032	349843.75,2939843.75,355156.25,2945156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320032/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:42+00:00	GE01	0.47	0.0.1	105001002B70AB00	42	031331320033	23.1	335.9	64.2	125.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[354843.75, 2945156.25], [354843.75, 2939843.75], [360156.25, 2939843.75], [360156.25, 2945156.25], [354843.75, 2945156.25]]]}	MXRA-Z42-031331320033	354843.75,2939843.75,360156.25,2945156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320033/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:43+00:00	GE01	0.47	0.0.1	105001002B70AB00	42	031331320120	22.5	334.0	65.0	125.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[362161.865234375, 2944843.75], [359843.75, 2944843.75], [359843.75, 2946722.558746358], [362166.2896545713, 2946769.2576694055], [362161.865234375, 2944843.75]]]}	MXRA-Z42-031331320120	359843.75,2944843.75,362166.2896545713,2946769.2576694055	4.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320120/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:42+00:00	GE01	0.47	0.0.1	105001002B70AB00	42	031331320122	23.2	335.3	64.2	125.8	70.9	32642	{'type': 'Polygon', 'coordinates': [[[359843.75, 2945156.25], [359843.75, 2939843.75], [362153.01513671875, 2939843.75], [362162.4755859375, 2945156.25], [359843.75, 2945156.25]]]}	MXRA-Z42-031331320122	359843.75,2939843.75,362162.4755859375,2945156.25	12.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320122/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:41+00:00	GE01	0.48	0.0.1	105001002B70AB00	42	031331320200	23.7	339.2	63.6	125.6	70.9	32642	{'type': 'Polygon', 'coordinates': [[[345002.13623046875, 2940156.25], [345156.25, 2940156.25], [345156.25, 2934843.75], [344889.83154296875, 2934843.75], [344919.12841796875, 2936167.9077148438], [344924.9267578125, 2936503.90625], [344956.35986328125, 2937936.4013671875], [344962.7685546875, 2938295.8984375], [344986.26708984375, 2939370.7275390625], [344994.5068359375, 2939837.646484375], [345002.13623046875, 2940156.25]]]}	MXRA-Z42-031331320200	344889.83154296875,2934843.75,345156.25,2940156.25	1.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320200/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:41+00:00	GE01	0.48	0.0.1	105001002B70AB00	42	031331320201	23.7	338.9	63.6	125.6	70.9	32642	{'type': 'Polygon', 'coordinates': [[[345002.13623046875, 2940156.25], [350156.25, 2940156.25], [350156.25, 2934843.75], [344889.83154296875, 2934843.75], [345002.13623046875, 2940156.25]]]}	MXRA-Z42-031331320201	344889.83154296875,2934843.75,350156.25,2940156.25	27.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320201/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:40+00:00	GE01	0.48	0.0.1	105001002B70AB00	42	031331320202	24.4	340.3	62.8	125.5	71.0	32642	{'type': 'Polygon', 'coordinates': [[[344896.8505859375, 2935156.25], [345156.25, 2935156.25], [345156.25, 2929843.75], [344782.71484375, 2929843.75], [344896.8505859375, 2935156.25]]]}	MXRA-Z42-031331320202	344782.71484375,2929843.75,345156.25,2935156.25	1.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320202/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:40+00:00	GE01	0.48	0.0.1	105001002B70AB00	42	031331320203	24.4	340.0	62.8	125.5	71.0	32642	{'type': 'Polygon', 'coordinates': [[[344896.8505859375, 2935156.25], [350156.25, 2935156.25], [350156.25, 2929843.75], [344843.75, 2929843.75], [344843.75, 2932693.4814453125], [344896.8505859375, 2935156.25]]]}	MXRA-Z42-031331320203	344843.75,2929843.75,350156.25,2935156.25	28.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320203/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:41+00:00	GE01	0.48	0.0.1	105001002B70AB00	42	031331320210	23.7	338.0	63.5	125.6	70.9	32642	{'type': 'Polygon', 'coordinates': [[[349843.75, 2940156.25], [349843.75, 2934843.75], [355156.25, 2934843.75], [355156.25, 2940156.25], [349843.75, 2940156.25]]]}	MXRA-Z42-031331320210	349843.75,2934843.75,355156.25,2940156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320210/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:41+00:00	GE01	0.48	0.0.1	105001002B70AB00	42	031331320211	23.8	337.1	63.4	125.6	70.9	32642	{'type': 'Polygon', 'coordinates': [[[354843.75, 2940156.25], [354843.75, 2934843.75], [360156.25, 2934843.75], [360156.25, 2940156.25], [354843.75, 2940156.25]]]}	MXRA-Z42-031331320211	354843.75,2934843.75,360156.25,2940156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320211/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:40+00:00	GE01	0.48	0.0.1	105001002B70AB00	42	031331320212	24.4	339.1	62.7	125.5	71.0	32642	{'type': 'Polygon', 'coordinates': [[[349843.75, 2935156.25], [349843.75, 2929843.75], [355156.25, 2929843.75], [355156.25, 2935156.25], [349843.75, 2935156.25]]]}	MXRA-Z42-031331320212	349843.75,2929843.75,355156.25,2935156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320212/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:40+00:00	GE01	0.48	0.0.1	105001002B70AB00	42	031331320213	24.5	338.2	62.6	125.5	71.0	32642	{'type': 'Polygon', 'coordinates': [[[354843.75, 2935156.25], [354843.75, 2929843.75], [360156.25, 2929843.75], [360156.25, 2935156.25], [354843.75, 2935156.25]]]}	MXRA-Z42-031331320213	354843.75,2929843.75,360156.25,2935156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320213/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:39+00:00	GE01	0.49	0.0.1	105001002B70AB00	42	031331320220	25.1	341.2	62.0	125.4	71.0	32642	{'type': 'Polygon', 'coordinates': [[[344789.73388671875, 2930156.25], [345156.25, 2930156.25], [345156.25, 2924843.75], [344671.32568359375, 2924843.75], [344789.73388671875, 2930156.25]]]}	MXRA-Z42-031331320220	344671.32568359375,2924843.75,345156.25,2930156.25	2.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320220/2022-04-29/105001002B70AB00-visual.tif
2022-04-29 06:23:39+00:00	GE01	0.49	0.0.1	105001002B70AB00	42	031331320221	25.1	341.0	62.0	125.4	71.0	32642	{'type': 'Polygon', 'coordinates': [[[344843.75, 2930156.25], [344843.75, 2924843.75], [350156.25, 2924843.75], [350156.25, 2930156.25], [344843.75, 2930156.25]]]}	MXRA-Z42-031331320221	344843.75,2924843.75,350156.25,2930156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/42/031331320221/2022-04-29/105001002B70AB00-visual.tif
