datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-10-11 06:17:52+00:00	GE01	0.52	0.0.1	105001002F4D9A00	43	031133213220	27.9	306.5	58.7	166.4	46.8	32643	{'type': 'Polygon', 'coordinates': [[[302326.35498046875, 3926715.087890625], [302156.982421875, 3926704.4067382812], [301671.142578125, 3926767.2729492188], [301449.27978515625, 3926821.8994140625], [301084.5947265625, 3926882.0190429688], [300821.83837890625, 3927026.6723632812], [300411.9873046875, 3927215.8813476562], [299843.75, 3927388.6108398438], [299843.75, 3930156.25], [302865.26724474924, 3930156.25], [302481.98129577364, 3926696.3394305385], [302326.35498046875, 3926715.087890625]]]}	MXRA-Z43-031133213220	299843.75,3926696.3394305385,302865.26724474924,3930156.25	9.1	6.1	67	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213220/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:53+00:00	GE01	0.51	0.0.1	105001002F4D9A00	43	031133212313	27.6	306.0	59.1	166.4	46.8	32643	{'type': 'Polygon', 'coordinates': [[[297237.85400390625, 3935156.25], [300156.25, 3935156.25], [300156.25, 3929843.75], [296580.2001953125, 3929843.75], [296593.017578125, 3929952.6977539062], [296778.25927734375, 3930230.712890625], [296882.01904296875, 3930456.2377929688], [296912.2314453125, 3930570.6787109375], [296891.78466796875, 3930828.5522460938], [296828.30810546875, 3930967.1020507812], [296709.5947265625, 3931163.9404296875], [296718.1396484375, 3931390.9912109375], [296660.7666015625, 3931559.7534179688], [296691.89453125, 3931700.7446289062], [296661.07177734375, 3931839.2944335938], [296738.8916015625, 3932038.2690429688], [296735.2294921875, 3932115.1733398438], [296708.3740234375, 3932204.2846679688], [296705.9326171875, 3932340.6982421875], [296741.3330078125, 3932458.49609375], [296745.30029296875, 3932600.09765625], [296798.40087890625, 3932742.3095703125], [296806.640625, 3932966.6137695312], [296846.61865234375, 3933043.8232421875], [296975.40283203125, 3933177.490234375], [297009.27734375, 3933296.2036132812], [297088.92822265625, 3933922.7294921875], [297131.04248046875, 3934036.2548828125], [297164.9169921875, 3934400.3295898438], [297124.32861328125, 3934627.685546875], [297165.83251953125, 3934737.8540039062], [297172.54638671875, 3934850.1586914062], [297212.21923828125, 3934962.158203125], [297237.85400390625, 3935156.25]]]}	MXRA-Z43-031133212313	296580.2001953125,3929843.75,300156.25,3935156.25	17.3	5.2	30	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212313/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:53+00:00	GE01	0.51	0.0.1	105001002F4D9A00	43	031133212331	27.8	306.6	58.9	166.4	46.8	32643	{'type': 'Polygon', 'coordinates': [[[296724.853515625, 3930156.25], [300156.25, 3930156.25], [300156.25, 3927297.9736328125], [299918.8232421875, 3927372.4365234375], [299321.2890625, 3927502.44140625], [298524.7802734375, 3927767.333984375], [297936.09619140625, 3927983.7036132812], [297002.86865234375, 3928203.125], [297015.9912109375, 3928486.6333007812], [296998.9013671875, 3928826.2939453125], [296873.47412109375, 3929163.2080078125], [296582.94677734375, 3929811.7065429688], [296592.10205078125, 3929950.5615234375], [296724.853515625, 3930156.25]]]}	MXRA-Z43-031133212331	296582.94677734375,3927297.9736328125,300156.25,3930156.25	7.8	5.2	66	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212331/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:53+00:00	GE01	0.51	0.0.1	105001002F4D9A00	43	031133213202	27.7	305.3	59.0	166.4	46.8	32643	{'type': 'Polygon', 'coordinates': [[[299843.75, 3929843.75], [299843.75, 3935156.25], [303419.16299043497, 3935156.25], [302830.64876064385, 3929843.75], [299843.75, 3929843.75]]]}	MXRA-Z43-031133213202	299843.75,3929843.75,303419.16299043497,3935156.25	17.4	8.9	51	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213202/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:54+00:00	GE01	0.51	0.0.1	105001002F4D9A00	43	031133212311	27.3	304.2	59.5	166.4	46.7	32643	{'type': 'Polygon', 'coordinates': [[[297272.3388671875, 3940156.25], [300156.25, 3940156.25], [300156.25, 3934843.75], [297171.93603515625, 3934843.75], [297212.82958984375, 3934965.2099609375], [297241.8212890625, 3935209.3505859375], [297240.6005859375, 3935809.326171875], [297189.02587890625, 3936010.4370117188], [297242.73681640625, 3936262.20703125], [297251.5869140625, 3936432.4951171875], [297199.0966796875, 3936798.7060546875], [297248.22998046875, 3937018.7377929688], [297282.71484375, 3937325.7446289062], [297265.93017578125, 3937609.5581054688], [297154.84619140625, 3937863.4643554688], [297145.69091796875, 3937921.4477539062], [297238.1591796875, 3938147.5830078125], [297275.390625, 3938482.9711914062], [297258.60595703125, 3938648.681640625], [297358.09326171875, 3939074.70703125], [297310.791015625, 3939438.7817382812], [297348.0224609375, 3939720.458984375], [297272.3388671875, 3940156.25]]]}	MXRA-Z43-031133212311	297145.69091796875,3934843.75,300156.25,3940156.25	15.3	0.6	4	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212311/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:54+00:00	GE01	0.51	0.0.1	105001002F4D9A00	43	031133213200	27.4	303.7	59.3	166.4	46.7	32643	{'type': 'Polygon', 'coordinates': [[[299843.75, 3934843.75], [299843.75, 3940156.25], [303973.05873612076, 3940156.25], [303384.54450632964, 3934843.75], [299843.75, 3934843.75]]]}	MXRA-Z43-031133213200	299843.75,3934843.75,303973.05873612076,3940156.25	20.3	5.6	27	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213200/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:55+00:00	GE01	0.51	0.0.1	105001002F4D9A00	43	031133212133	27.0	302.5	59.9	166.4	46.7	32643	{'type': 'Polygon', 'coordinates': [[[297852.1728515625, 3945156.25], [300156.25, 3945156.25], [300156.25, 3939843.75], [297323.6083984375, 3939844.3603515625], [297273.86474609375, 3940118.1030273438], [297282.71484375, 3940264.5874023438], [297433.16650390625, 3940592.041015625], [297496.337890625, 3940793.45703125], [297600.40283203125, 3941046.7529296875], [297650.45166015625, 3941115.1123046875], [297680.6640625, 3941189.2700195312], [297716.064453125, 3941468.505859375], [297784.11865234375, 3941809.08203125], [297813.1103515625, 3942586.0595703125], [297752.99072265625, 3942870.7885742188], [297654.11376953125, 3943045.654296875], [297597.35107421875, 3943273.3154296875], [297630.92041015625, 3943576.9653320312], [297694.091796875, 3943775.9399414062], [297736.51123046875, 3944041.748046875], [297777.099609375, 3944142.4560546875], [297772.216796875, 3944255.9814453125], [297839.35546875, 3944825.439453125], [297852.1728515625, 3945156.25]]]}	MXRA-Z43-031133212133	297273.86474609375,3939843.75,300156.25,3945156.25	13.2	1.8	14	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212133/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:55+00:00	GE01	0.51	0.0.1	105001002F4D9A00	43	031133213022	27.1	302.0	59.7	166.4	46.7	32643	{'type': 'Polygon', 'coordinates': [[[299843.75, 3939843.75], [299843.75, 3945156.25], [304526.9544818065, 3945156.25], [303938.44025201537, 3939843.75], [299843.75, 3939843.75]]]}	MXRA-Z43-031133213022	299843.75,3939843.75,304526.9544818065,3945156.25	23.3	1.5	6	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213022/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:56+00:00	GE01	0.51	0.0.1	105001002F4D9A00	43	031133212131	26.7	300.6	60.2	166.4	46.7	32643	{'type': 'Polygon', 'coordinates': [[[297482.2998046875, 3950156.25], [300156.25, 3950156.25], [300156.25, 3944843.75], [297840.88134765625, 3944843.75], [297846.0693359375, 3945192.87109375], [297622.0703125, 3945748.5961914062], [297546.38671875, 3946648.5595703125], [297414.85595703125, 3947105.4077148438], [297469.482421875, 3947889.0991210938], [297411.19384765625, 3948345.6420898438], [297564.697265625, 3949152.83203125], [297482.2998046875, 3950156.25]]]}	MXRA-Z43-031133212131	297411.19384765625,3944843.75,300156.25,3950156.25	13.8	6.6	48	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212131/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:56+00:00	GE01	0.51	0.0.1	105001002F4D9A00	43	031133213020	26.8	300.2	60.0	166.4	46.7	32643	{'type': 'Polygon', 'coordinates': [[[299843.75, 3944843.75], [299843.75, 3950156.25], [305080.8502274923, 3950156.25], [304492.33599770116, 3944843.75], [299843.75, 3944843.75]]]}	MXRA-Z43-031133213020	299843.75,3944843.75,305080.8502274923,3950156.25	26.2	8.3	31	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133213020/2022-10-11/105001002F4D9A00-visual.tif
2022-10-11 06:17:57+00:00	GE01	0.5	0.0.1	105001002F4D9A00	43	031133212113	26.4	298.7	60.5	166.5	46.6	32643	{'type': 'Polygon', 'coordinates': [[[297463.37890625, 3955156.25], [300156.25, 3955156.25], [300156.25, 3949843.75], [297495.1171875, 3949843.75], [297462.46337890625, 3949949.6459960938], [297458.19091796875, 3950030.2124023438], [297494.5068359375, 3950224.3041992188], [297500.6103515625, 3950594.7875976562], [297532.958984375, 3950784.912109375], [297520.1416015625, 3951155.0903320312], [297485.3515625, 3951293.3349609375], [297414.24560546875, 3951392.822265625], [297296.142578125, 3951686.7065429688], [297511.29150390625, 3952140.8081054688], [297606.201171875, 3952668.7622070312], [297642.2119140625, 3953043.8232421875], [297632.14111328125, 3953182.373046875], [297539.36767578125, 3953466.4916992188], [297595.21484375, 3953773.193359375], [297590.9423828125, 3954025.87890625], [297557.373046875, 3954226.6845703125], [297464.90478515625, 3954420.4711914062], [297432.2509765625, 3954533.69140625], [297438.96484375, 3954587.7075195312], [297482.91015625, 3954675.5981445312], [297516.78466796875, 3954981.3842773438], [297511.5966796875, 3955055.2368164062], [297482.2998046875, 3955113.525390625], [297424.01123046875, 3955100.09765625], [297427.67333984375, 3955137.939453125], [297457.58056640625, 3955133.056640625], [297463.37890625, 3955156.25]]]}	MXRA-Z43-031133212113	297296.142578125,3949843.75,300156.25,3955156.25	14.0	2.2	15	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212113/2022-10-11/105001002F4D9A00-visual.tif
