datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-10-11 06:18:37+00:00	GE01	0.5	0.0.1	105001002F4D9C00	43	031133203133	26.5	254.9	60.4	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[260154.4189453125, 3943841.8579101562], [260156.25, 3939843.75], [255618.2861328125, 3939843.75], [255740.05126953125, 3940160.2172851562], [255860.595703125, 3940338.134765625], [255894.775390625, 3940413.5131835938], [255915.83251953125, 3940509.9487304688], [255924.072265625, 3940710.1440429688], [255894.775390625, 3940906.3720703125], [255846.25244140625, 3941073.3032226562], [255691.22314453125, 3941439.8193359375], [255591.73583984375, 3941912.841796875], [255563.04931640625, 3942145.6909179688], [255487.060546875, 3942369.384765625], [255450.74462890625, 3942594.2993164062], [255367.431640625, 3942893.3715820312], [255364.07470703125, 3943044.43359375], [255294.49462890625, 3943378.6010742188], [255336.3037109375, 3943528.7475585938], [255345.458984375, 3943693.84765625], [256517.63916015625, 3943692.0166015625], [257083.43505859375, 3943759.765625], [257639.16015625, 3943793.3349609375], [260154.4189453125, 3943841.8579101562]]]}	MXRA-Z43-031133203133	255294.49462890625,3939843.75,260156.25,3943841.8579101562	17.8	6.6	36	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133203133/2022-10-11/105001002F4D9C00-visual.tif
2022-10-11 06:18:37+00:00	GE01	0.5	0.0.1	105001002F4D9C00	43	031133203311	26.2	256.4	60.7	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[255738.22021484375, 3940156.25], [260156.25, 3940156.25], [260156.25, 3934843.75], [255268.5546875, 3934843.75], [255207.82470703125, 3935053.7109375], [255270.99609375, 3935863.9526367188], [255180.6640625, 3936347.3510742188], [255308.53271484375, 3938118.5913085938], [255195.61767578125, 3938707.8857421875], [255738.22021484375, 3940156.25]]]}	MXRA-Z43-031133203311	255180.6640625,3934843.75,260156.25,3940156.25	25.7	0.8	3	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133203311/2022-10-11/105001002F4D9C00-visual.tif
2022-10-11 06:18:36+00:00	GE01	0.5	0.0.1	105001002F4D9C00	43	031133203313	25.9	258.4	61.1	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[260156.25, 3935156.25], [260156.25, 3929843.75], [256483.06494847866, 3929843.75], [256511.2488653435, 3929923.9561420763], [255793.12816567655, 3930904.588428015], [255790.4052734375, 3930960.9985351562], [255796.81396484375, 3931216.7358398438], [255613.09814453125, 3932179.8706054688], [255562.744140625, 3932679.443359375], [255592.34619140625, 3932981.2622070312], [255516.9677734375, 3933298.9501953125], [255530.70068359375, 3933529.3579101562], [255453.4912109375, 3933862.3046875], [255361.02294921875, 3934514.7705078125], [255209.65576171875, 3935021.6674804688], [255234.06982421875, 3935156.25], [260156.25, 3935156.25]]]}	MXRA-Z43-031133203313	255209.65576171875,3929843.75,260156.25,3935156.25	23.8	6.5	27	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133203313/2022-10-11/105001002F4D9C00-visual.tif
2022-10-11 06:18:35+00:00	GE01	0.5	0.0.1	105001002F4D9C00	43	031133203331	25.8	259.1	61.2	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[260156.25, 3930156.25], [260156.25, 3928636.1694335938], [259726.86767578125, 3928636.1694335938], [258856.201171875, 3928597.7172851562], [257218.017578125, 3928621.5209960938], [256145.93505859375, 3928611.1450195312], [256051.09832760604, 3928614.4540035618], [256511.2488653435, 3929923.9561420763], [256341.13920224912, 3930156.25], [260156.25, 3930156.25]]]}	MXRA-Z43-031133203331	256051.09832760604,3928597.7172851562,260156.25,3930156.25	5.9	2.0	34	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133203331/2022-10-11/105001002F4D9C00-visual.tif
2022-10-11 06:18:37+00:00	GE01	0.5	0.0.1	105001002F4D9C00	43	031133212022	26.7	255.1	60.2	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[265152.587890625, 3944271.240234375], [265156.25, 3939843.75], [259843.75, 3939843.75], [259843.75, 3943831.787109375], [260060.11962890625, 3943833.6181640625], [260851.74560546875, 3943894.3481445312], [261329.9560546875, 3943958.1298828125], [262006.53076171875, 3944014.2822265625], [262334.28955078125, 3944024.9633789062], [262512.8173828125, 3944014.892578125], [262847.59521484375, 3944049.3774414062], [263184.2041015625, 3944050.5981445312], [264592.8955078125, 3944219.970703125], [265152.587890625, 3944271.240234375]]]}	MXRA-Z43-031133212022	259843.75,3939843.75,265156.25,3944271.240234375	22.2	13.6	61	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212022/2022-10-11/105001002F4D9C00-visual.tif
2022-10-11 06:18:37+00:00	GE01	0.51	0.0.1	105001002F4D9C00	43	031133212023	27.0	255.3	59.8	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[265684.50927734375, 3944294.43359375], [268675.537109375, 3944236.1450195312], [270156.25, 3944287.7197265625], [270156.25, 3939843.75], [264843.75, 3939843.75], [264843.75, 3944247.1313476562], [265684.50927734375, 3944294.43359375]]]}	MXRA-Z43-031133212023	264843.75,3939843.75,270156.25,3944294.43359375	23.4	6.9	29	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212023/2022-10-11/105001002F4D9C00-visual.tif
2022-10-11 06:18:37+00:00	GE01	0.51	0.0.1	105001002F4D9C00	43	031133212032	27.3	255.5	59.4	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[275154.11376953125, 3944630.4321289062], [275156.25, 3939843.75], [269843.75, 3939843.75], [269843.75, 3944270.9350585938], [272423.095703125, 3944346.3134765625], [275154.11376953125, 3944630.4321289062]]]}	MXRA-Z43-031133212032	269843.75,3939843.75,275156.25,3944630.4321289062	24.2	9.4	38	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212032/2022-10-11/105001002F4D9C00-visual.tif
2022-10-11 06:18:37+00:00	GE01	0.51	0.0.1	105001002F4D9C00	43	031133212033	27.4	255.6	59.3	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[275500.18310546875, 3944653.0151367188], [275943.603515625, 3944638.0615234375], [276025.390625, 3944365.234375], [276026.91650390625, 3944306.640625], [275986.9384765625, 3944173.583984375], [275918.27392578125, 3944031.0668945312], [275894.1650390625, 3943862.9150390625], [275865.78369140625, 3943778.3813476562], [275871.27685546875, 3943722.8393554688], [275866.69921875, 3943660.888671875], [275894.47021484375, 3943495.1782226562], [275901.4892578125, 3943356.6284179688], [275923.15673828125, 3943245.849609375], [275896.91162109375, 3943127.1362304688], [275928.3447265625, 3942989.1967773438], [275936.58447265625, 3942766.11328125], [275957.03125, 3942680.6640625], [275948.79150390625, 3942594.9096679688], [275974.42626953125, 3942454.5288085938], [275976.86767578125, 3942369.6899414062], [276004.33349609375, 3942281.494140625], [276013.7939453125, 3942088.0126953125], [276050.72021484375, 3941837.158203125], [276099.853515625, 3941354.0649414062], [276107.7880859375, 3941162.7197265625], [276104.1259765625, 3941047.36328125], [276166.07666015625, 3940422.6684570312], [276154.1748046875, 3940377.5024414062], [276097.412109375, 3940256.9580078125], [276031.494140625, 3940144.6533203125], [275994.873046875, 3940060.7299804688], [275950.927734375, 3939920.3491210938], [275953.369140625, 3939843.75], [274843.75, 3939843.75], [274843.75, 3944591.3696289062], [275226.4404296875, 3944637.7563476562], [275500.18310546875, 3944653.0151367188]]]}	MXRA-Z43-031133212033	274843.75,3939843.75,276166.07666015625,3944653.0151367188	5.5	3.8	69	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212033/2022-10-11/105001002F4D9C00-visual.tif
2022-10-11 06:18:37+00:00	GE01	0.5	0.0.1	105001002F4D9C00	43	031133212200	26.5	256.6	60.4	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[259843.75, 3940156.25], [259843.75, 3934843.75], [265156.25, 3934843.75], [265156.25, 3940156.25], [259843.75, 3940156.25]]]}	MXRA-Z43-031133212200	259843.75,3934843.75,265156.25,3940156.25	28.2	5.2	18	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212200/2022-10-11/105001002F4D9C00-visual.tif
2022-10-11 06:18:37+00:00	GE01	0.51	0.0.1	105001002F4D9C00	43	031133212201	26.8	256.8	60.1	166.0	46.7	32643	{'type': 'Polygon', 'coordinates': [[[264843.75, 3940156.25], [264843.75, 3934843.75], [270156.25, 3934843.75], [270156.25, 3940156.25], [264843.75, 3940156.25]]]}	MXRA-Z43-031133212201	264843.75,3934843.75,270156.25,3940156.25	28.2	6.4	22	https://maxar-opendata.s3.amazonaws.com/events/pakistan-flooding22/ard/43/031133212201/2022-10-11/105001002F4D9C00-visual.tif
