datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323120	12.4	77.8	76.3	40.5	43.8	32736	404317.93212890625,6824843.75,405156.25,6827010.803222656	1.7	1.7	98	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323120/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323121	12.3	77.6	76.3	40.5	43.8	32736	404843.75,6824843.75,410156.25,6827109.680175781	11.7	9.1	77	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323121/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323122	12.3	78.3	76.3	40.5	43.8	32736	404339.29443359375,6819843.75,405156.25,6825156.25	4.2	3.8	91	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323122/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323123	12.2	78.2	76.5	40.5	43.8	32736	404843.75,6819843.75,410156.25,6825156.25	28.2	26.6	94	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323123/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323130	11.9	77.2	76.8	40.5	43.8	32736	409843.75,6824843.75,415156.25,6827204.284667969	12.2	6.7	55	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323130/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323131	11.5	76.7	77.2	40.5	43.8	32736	414843.75,6824843.75,420156.25,6827298.889160156	12.7	4.0	31	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323131/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323132	11.8	77.8	76.9	40.5	43.8	32736	409843.75,6819843.75,415156.25,6825156.25	28.2	21.0	74	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323132/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323133	11.4	77.4	77.3	40.5	43.8	32736	414843.75,6819843.75,420156.25,6825156.25	28.2	11.3	40	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323133/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113332020	11.4	76.7	77.3	40.5	43.8	32736	419843.75,6824843.75,420627.13623046875,6827307.7392578125	1.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113332020/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113332022	11.3	77.2	77.5	40.5	43.8	32736	419843.75,6819843.75,420644.83642578125,6825156.25	4.2	0.1	4	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113332022/2022-04-12/105001002B1CF100-visual.tif
