datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323120	12.4	77.8	76.3	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[405147.39990234375, 6827010.803222656], [405156.25, 6827010.803222656], [405156.25, 6824843.75], [404340.8203125, 6824843.75], [404337.158203125, 6825438.537597656], [404321.59423828125, 6826127.014160156], [404317.93212890625, 6826994.323730469], [405147.39990234375, 6827010.803222656]]]}	404317.93212890625,6824843.75,405156.25,6827010.803222656	1.7	1.7	98	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323120/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323121	12.3	77.6	76.3	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[410142.822265625, 6827109.680175781], [410156.25, 6827109.680175781], [410156.25, 6824843.75], [404843.75, 6824843.75], [404843.75, 6827005.0048828125], [410142.822265625, 6827109.680175781]]]}	404843.75,6824843.75,410156.25,6827109.680175781	11.7	9.1	77	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323121/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323122	12.3	78.3	76.3	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[404339.29443359375, 6825156.25], [405156.25, 6825156.25], [405156.25, 6819843.75], [404389.34326171875, 6819843.75], [404380.4931640625, 6820821.533203125], [404379.57763671875, 6821098.6328125], [404373.779296875, 6821560.05859375], [404373.779296875, 6821794.43359375], [404367.98095703125, 6822273.254394531], [404364.6240234375, 6822377.014160156], [404365.234375, 6822734.9853515625], [404361.572265625, 6823074.951171875], [404359.130859375, 6823172.912597656], [404357.91015625, 6823533.630371094], [404346.3134765625, 6824416.809082031], [404340.8203125, 6824621.276855469], [404341.4306640625, 6824781.799316406], [404339.29443359375, 6825156.25]]]}	404339.29443359375,6819843.75,405156.25,6825156.25	4.2	3.8	91	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323122/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323123	12.2	78.2	76.5	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[404843.75, 6825156.25], [404843.75, 6819843.75], [410156.25, 6819843.75], [410156.25, 6825156.25], [404843.75, 6825156.25]]]}	404843.75,6819843.75,410156.25,6825156.25	28.2	26.6	94	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323123/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323130	11.9	77.2	76.8	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[415144.6533203125, 6827204.284667969], [415156.25, 6827204.284667969], [415156.25, 6824843.75], [409843.75, 6824843.75], [409843.75, 6827103.8818359375], [415144.6533203125, 6827204.284667969]]]}	409843.75,6824843.75,415156.25,6827204.284667969	12.2	6.7	55	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323130/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323131	11.5	76.7	77.2	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[420140.9912109375, 6827298.889160156], [420156.25, 6827298.889160156], [420156.25, 6824843.75], [414843.75, 6824843.75], [414843.75, 6827198.486328125], [420140.9912109375, 6827298.889160156]]]}	414843.75,6824843.75,420156.25,6827298.889160156	12.7	4.0	31	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323131/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323132	11.8	77.8	76.9	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[409843.75, 6825156.25], [409843.75, 6819843.75], [415156.25, 6819843.75], [415156.25, 6825156.25], [409843.75, 6825156.25]]]}	409843.75,6819843.75,415156.25,6825156.25	28.2	21.0	74	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323132/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113323133	11.4	77.4	77.3	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[414843.75, 6825156.25], [414843.75, 6819843.75], [420156.25, 6819843.75], [420156.25, 6825156.25], [414843.75, 6825156.25]]]}	414843.75,6819843.75,420156.25,6825156.25	28.2	11.3	40	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113323133/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113332020	11.4	76.7	77.3	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[420610.9619140625, 6827307.7392578125], [420613.70849609375, 6827307.7392578125], [420616.14990234375, 6827146.911621094], [420617.0654296875, 6826655.578613281], [420620.42236328125, 6826484.680175781], [420619.20166015625, 6826274.4140625], [420622.86376953125, 6825784.3017578125], [420622.55859375, 6825391.2353515625], [420625.30517578125, 6825256.34765625], [420624.69482421875, 6825095.520019531], [420627.13623046875, 6824981.689453125], [420627.13623046875, 6824843.75], [419843.75, 6824843.75], [419843.75, 6827293.0908203125], [420610.9619140625, 6827307.7392578125]]]}	419843.75,6824843.75,420627.13623046875,6827307.7392578125	1.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113332020/2022-04-12/105001002B1CF100-visual.tif
2022-04-12 07:59:11+00:00	GE01	0.43	0.0.1	105001002B1CF100	36	213113332022	11.3	77.2	77.5	40.5	43.8	32736	{'type': 'Polygon', 'coordinates': [[[419843.75, 6825156.25], [419843.75, 6819843.75], [420644.83642578125, 6819843.75], [420632.9345703125, 6822085.876464844], [420643.9208984375, 6823748.1689453125], [420625.0, 6825156.25], [419843.75, 6825156.25]]]}	419843.75,6819843.75,420644.83642578125,6825156.25	4.2	0.1	4	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213113332022/2022-04-12/105001002B1CF100-visual.tif
