datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-04-15 08:10:10+00:00	GE01	0.74	0.0.1	105001002B2C3300	36	213131013031	42.2	193.5	41.9	36.9	43.5	32736	{'type': 'Polygon', 'coordinates': [[[320154.72412109375, 6746914.367675781], [320156.25, 6746914.367675781], [320156.25, 6744843.75], [319082.03125, 6744843.75], [319070.73974609375, 6745138.5498046875], [319068.90869140625, 6745386.657714844], [319066.7724609375, 6745480.041503906], [319035.64453125, 6746082.763671875], [319035.94970703125, 6746143.798828125], [319041.1376953125, 6746315.612792969], [319041.1376953125, 6746518.249511719], [319039.61181640625, 6746612.854003906], [319104.91943359375, 6746640.625], [319144.59228515625, 6746653.4423828125], [319221.8017578125, 6746674.499511719], [319305.72509765625, 6746702.575683594], [319364.31884765625, 6746718.1396484375], [319480.5908203125, 6746761.779785156], [319568.78662109375, 6746789.855957031], [319623.4130859375, 6746802.062988281], [319656.06689453125, 6746806.640625], [319685.36376953125, 6746807.556152344], [319740.90576171875, 6746802.673339844], [319770.81298828125, 6746805.114746094], [319798.88916015625, 6746809.997558594], [319832.45849609375, 6746819.763183594], [319910.58349609375, 6746848.14453125], [319943.54248046875, 6746858.5205078125], [320061.03515625, 6746891.174316406], [320154.72412109375, 6746914.367675781]]]}	319035.64453125,6744843.75,320156.25,6746914.367675781	2.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013031/2022-04-15/105001002B2C3300-visual.tif
2022-04-15 08:10:10+00:00	GE01	0.74	0.0.1	105001002B2C3300	36	213131013033	42.2	193.5	41.9	36.8	43.5	32736	{'type': 'Polygon', 'coordinates': [[[319070.4345703125, 6745156.25], [320156.25, 6745156.25], [320156.25, 6739843.75], [319172.05810546875, 6739843.75], [319171.142578125, 6740572.814941406], [319161.07177734375, 6741113.586425781], [319147.94921875, 6741352.844238281], [319149.47509765625, 6741677.8564453125], [319132.6904296875, 6741979.3701171875], [319138.7939453125, 6742161.2548828125], [319125.9765625, 6742557.373046875], [319125.3662109375, 6742887.268066406], [319092.4072265625, 6743628.234863281], [319100.03662109375, 6743984.069824219], [319082.6416015625, 6744253.845214844], [319085.693359375, 6744642.333984375], [319070.4345703125, 6745156.25]]]}	319070.4345703125,6739843.75,320156.25,6745156.25	5.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013033/2022-04-15/105001002B2C3300-visual.tif
2022-04-15 08:10:10+00:00	GE01	0.75	0.0.1	105001002B2C3300	36	213131013112	42.4	194.3	41.6	36.9	43.5	32736	{'type': 'Polygon', 'coordinates': [[[335155.33447265625, 6751589.050292969], [335156.25, 6749843.75], [329843.75, 6749843.75], [329844.3603515625, 6750010.3759765625], [330245.361328125, 6750103.454589844], [330559.6923828125, 6750189.514160156], [330817.56591796875, 6750249.938964844], [330998.84033203125, 6750283.203125], [331281.73828125, 6750394.287109375], [331538.6962890625, 6750455.627441406], [331804.19921875, 6750548.7060546875], [332004.39453125, 6750631.103515625], [332438.04931640625, 6750776.672363281], [333391.7236328125, 6751068.7255859375], [333591.30859375, 6751108.093261719], [333722.5341796875, 6751153.869628906], [333913.26904296875, 6751192.0166015625], [334053.955078125, 6751242.67578125], [334178.466796875, 6751265.2587890625], [334406.1279296875, 6751358.337402344], [334812.31689453125, 6751478.271484375], [334983.5205078125, 6751541.442871094], [335155.33447265625, 6751589.050292969]]]}	329843.75,6749843.75,335156.25,6751589.050292969	4.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013112/2022-04-15/105001002B2C3300-visual.tif
2022-04-15 08:10:10+00:00	GE01	0.75	0.0.1	105001002B2C3300	36	213131013113	42.5	194.7	41.5	36.9	43.5	32736	{'type': 'Polygon', 'coordinates': [[[340155.6396484375, 6753031.005859375], [340156.25, 6749843.75], [334843.75, 6749843.75], [334844.05517578125, 6751489.2578125], [335362.548828125, 6751664.123535156], [335594.17724609375, 6751703.4912109375], [335939.63623046875, 6751808.4716796875], [336572.57080078125, 6751968.688964844], [337068.17626953125, 6752128.90625], [337502.74658203125, 6752238.1591796875], [337758.48388671875, 6752281.188964844], [338020.32470703125, 6752373.046875], [338251.3427734375, 6752425.231933594], [338395.3857421875, 6752496.337890625], [338651.42822265625, 6752590.637207031], [339028.62548828125, 6752688.5986328125], [339377.44140625, 6752807.922363281], [339727.1728515625, 6752866.516113281], [340016.78466796875, 6752964.4775390625], [340155.6396484375, 6753031.005859375]]]}	334843.75,6749843.75,340156.25,6753031.005859375	12.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013113/2022-04-15/105001002B2C3300-visual.tif
2022-04-15 08:10:10+00:00	GE01	0.74	0.0.1	105001002B2C3300	36	213131013120	42.2	193.6	41.8	36.9	43.5	32736	{'type': 'Polygon', 'coordinates': [[[325155.94482421875, 6748469.543457031], [325156.25, 6744843.75], [319843.75, 6744843.75], [319844.05517578125, 6746824.035644531], [320157.470703125, 6746914.978027344], [320346.98486328125, 6746935.729980469], [320465.6982421875, 6746990.966796875], [320869.140625, 6747038.57421875], [321330.26123046875, 6747261.657714844], [321560.05859375, 6747267.761230469], [321771.8505859375, 6747331.54296875], [322111.2060546875, 6747494.812011719], [322604.67529296875, 6747671.203613281], [322980.65185546875, 6747788.0859375], [323327.94189453125, 6747849.12109375], [323545.22705078125, 6747937.316894531], [324183.65478515625, 6748148.193359375], [324630.43212890625, 6748274.230957031], [324836.12060546875, 6748315.124511719], [325155.94482421875, 6748469.543457031]]]}	319843.75,6744843.75,325156.25,6748469.543457031	14.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013120/2022-04-15/105001002B2C3300-visual.tif
2022-04-15 08:10:10+00:00	GE01	0.75	0.0.1	105001002B2C3300	36	213131013121	42.3	194.0	41.7	36.9	43.5	32736	{'type': 'Polygon', 'coordinates': [[[330155.94482421875, 6750084.533691406], [330156.25, 6744843.75], [324843.75, 6744843.75], [324843.75, 6748317.87109375], [325148.62060546875, 6748466.796875], [325296.93603515625, 6748520.812988281], [325932.92236328125, 6748682.2509765625], [326107.48291015625, 6748750.6103515625], [326326.59912109375, 6748801.26953125], [326687.01171875, 6748958.435058594], [326886.5966796875, 6748991.394042969], [327057.80029296875, 6749059.143066406], [327254.638671875, 6749102.783203125], [327463.07373046875, 6749193.420410156], [327608.0322265625, 6749233.3984375], [327893.98193359375, 6749365.234375], [328068.84765625, 6749389.6484375], [328345.64208984375, 6749481.506347656], [328620.91064453125, 6749544.0673828125], [328849.4873046875, 6749654.846191406], [328997.1923828125, 6749701.5380859375], [329518.4326171875, 6749919.128417969], [330155.94482421875, 6750084.533691406]]]}	324843.75,6744843.75,330156.25,6750084.533691406	23.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013121/2022-04-15/105001002B2C3300-visual.tif
2022-04-15 08:10:10+00:00	GE01	0.74	0.0.1	105001002B2C3300	36	213131013122	42.2	193.6	41.9	36.8	43.5	32736	{'type': 'Polygon', 'coordinates': [[[319843.75, 6745156.25], [319843.75, 6739843.75], [325156.25, 6739843.75], [325156.25, 6745156.25], [319843.75, 6745156.25]]]}	319843.75,6739843.75,325156.25,6745156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013122/2022-04-15/105001002B2C3300-visual.tif
2022-04-15 08:10:10+00:00	GE01	0.75	0.0.1	105001002B2C3300	36	213131013123	42.3	194.0	41.7	36.8	43.5	32736	{'type': 'Polygon', 'coordinates': [[[324843.75, 6745156.25], [324843.75, 6739843.75], [330156.25, 6739843.75], [330156.25, 6745156.25], [324843.75, 6745156.25]]]}	324843.75,6739843.75,330156.25,6745156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013123/2022-04-15/105001002B2C3300-visual.tif
2022-04-15 08:10:10+00:00	GE01	0.75	0.0.1	105001002B2C3300	36	213131013130	42.4	194.3	41.6	36.9	43.5	32736	{'type': 'Polygon', 'coordinates': [[[330434.87548828125, 6750156.25], [335156.25, 6750156.25], [335156.25, 6744843.75], [329843.75, 6744843.75], [329843.75, 6750010.070800781], [330434.87548828125, 6750156.25]]]}	329843.75,6744843.75,335156.25,6750156.25	28.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013130/2022-04-15/105001002B2C3300-visual.tif
2022-04-15 08:10:10+00:00	GE01	0.75	0.0.1	105001002B2C3300	36	213131013131	42.5	194.7	41.5	36.8	43.5	32736	{'type': 'Polygon', 'coordinates': [[[334843.75, 6750156.25], [334843.75, 6744843.75], [340156.25, 6744843.75], [340156.25, 6750156.25], [334843.75, 6750156.25]]]}	334843.75,6744843.75,340156.25,6750156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131013131/2022-04-15/105001002B2C3300-visual.tif
