datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-04-20 07:51:28+00:00	GE01	0.55	0.0.1	105001002B445D00	36	213131030323	30.9	112.5	55.3	40.5	39.0	32736	{'type': 'Polygon', 'coordinates': [[[286355.89599609375, 6684049.6826171875], [287783.8134765625, 6683889.465332031], [290156.25, 6683676.7578125], [290156.25, 6679843.75], [286523.74267578125, 6679843.75], [286502.0751953125, 6681405.944824219], [286477.35595703125, 6681640.0146484375], [286408.0810546875, 6681897.888183594], [286368.71337890625, 6682132.263183594], [286436.1572265625, 6682798.767089844], [286367.1875, 6683230.5908203125], [286401.3671875, 6683490.6005859375], [286351.9287109375, 6683719.482421875], [286355.89599609375, 6684049.6826171875]]]}	286351.9287109375,6679843.75,290156.25,6684049.6826171875	14.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131030323/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:28+00:00	GE01	0.55	0.0.1	105001002B445D00	36	213131030332	30.7	112.6	55.6	40.5	39.0	32736	{'type': 'Polygon', 'coordinates': [[[289843.75, 6683700.5615234375], [289843.75, 6679843.75], [295156.25, 6679843.75], [295156.25, 6683193.054199219], [289843.75, 6683700.5615234375]]]}	289843.75,6679843.75,295156.25,6683700.5615234375	19.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131030332/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:28+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131030333	30.4	112.7	55.9	40.5	39.0	32736	{'type': 'Polygon', 'coordinates': [[[294843.75, 6683224.4873046875], [294843.75, 6679843.75], [300156.25, 6679843.75], [300156.25, 6682717.590332031], [294843.75, 6683224.4873046875]]]}	294843.75,6679843.75,300156.25,6683224.4873046875	16.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131030333/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:28+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131031222	30.1	112.9	56.2	40.5	39.0	32736	{'type': 'Polygon', 'coordinates': [[[299843.75, 6682749.6337890625], [299843.75, 6679843.75], [305156.25, 6679843.75], [305156.25, 6682233.88671875], [299843.75, 6682749.6337890625]]]}	299843.75,6679843.75,305156.25,6682749.6337890625	14.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131031222/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:28+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131031223	29.9	113.0	56.4	40.5	39.0	32736	{'type': 'Polygon', 'coordinates': [[[304843.75, 6682264.709472656], [304843.75, 6679843.75], [308046.2646484375, 6679843.75], [308015.7470703125, 6681952.209472656], [304843.75, 6682264.709472656]]]}	304843.75,6679843.75,308046.2646484375,6682264.709472656	7.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131031223/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:28+00:00	GE01	0.55	0.0.1	105001002B445D00	36	213131032101	30.8	112.7	55.4	40.4	39.0	32736	{'type': 'Polygon', 'coordinates': [[[286522.52197265625, 6680156.25], [290156.25, 6680156.25], [290156.25, 6674843.75], [286499.0234375, 6674844.055175781], [286492.3095703125, 6675000.305175781], [286533.50830078125, 6675151.672363281], [286531.06689453125, 6675364.3798828125], [286583.55712890625, 6675831.9091796875], [286571.044921875, 6676098.0224609375], [286584.47265625, 6676747.131347656], [286560.6689453125, 6678289.794921875], [286567.9931640625, 6678671.2646484375], [286526.18408203125, 6679537.353515625], [286522.52197265625, 6680156.25]]]}	286492.3095703125,6674843.75,290156.25,6680156.25	19.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131032101/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:28+00:00	GE01	0.55	0.0.1	105001002B445D00	36	213131032110	30.6	112.8	55.6	40.4	39.0	32736	{'type': 'Polygon', 'coordinates': [[[289843.75, 6680156.25], [289843.75, 6674843.75], [295156.25, 6674843.75], [295156.25, 6680156.25], [289843.75, 6680156.25]]]}	289843.75,6674843.75,295156.25,6680156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131032110/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:28+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131032111	30.3	112.9	55.9	40.5	39.0	32736	{'type': 'Polygon', 'coordinates': [[[294843.75, 6680156.25], [294843.75, 6674843.75], [300156.25, 6674843.75], [300156.25, 6680156.25], [294843.75, 6680156.25]]]}	294843.75,6674843.75,300156.25,6680156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131032111/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:28+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131033000	30.1	113.1	56.2	40.5	39.0	32736	{'type': 'Polygon', 'coordinates': [[[299843.75, 6680156.25], [299843.75, 6674843.75], [305156.25, 6674843.75], [305156.25, 6680156.25], [299843.75, 6680156.25]]]}	299843.75,6674843.75,305156.25,6680156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131033000/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:28+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131033001	29.9	113.2	56.5	40.5	39.0	32736	{'type': 'Polygon', 'coordinates': [[[304843.75, 6680156.25], [304843.75, 6674843.75], [308119.81201171875, 6674843.75], [308041.68701171875, 6680156.25], [304843.75, 6680156.25]]]}	304843.75,6674843.75,308119.81201171875,6680156.25	17.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131033001/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:29+00:00	GE01	0.55	0.0.1	105001002B445D00	36	213131032103	30.8	113.0	55.4	40.3	39.0	32736	{'type': 'Polygon', 'coordinates': [[[286533.8134765625, 6675156.25], [290156.25, 6675156.25], [290156.25, 6669843.75], [286556.396484375, 6669843.75], [286641.2353515625, 6672000.732421875], [286624.1455078125, 6672532.958984375], [286516.11328125, 6672946.472167969], [286533.8134765625, 6675156.25]]]}	286516.11328125,6669843.75,290156.25,6675156.25	19.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131032103/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:29+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131032112	30.6	113.1	55.7	40.3	39.0	32736	{'type': 'Polygon', 'coordinates': [[[289843.75, 6675156.25], [289843.75, 6669843.75], [295156.25, 6669843.75], [295156.25, 6675156.25], [289843.75, 6675156.25]]]}	289843.75,6669843.75,295156.25,6675156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131032112/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:29+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131032113	30.3	113.2	56.0	40.3	39.0	32736	{'type': 'Polygon', 'coordinates': [[[294843.75, 6675156.25], [294843.75, 6669843.75], [300156.25, 6669843.75], [300156.25, 6675156.25], [294843.75, 6675156.25]]]}	294843.75,6669843.75,300156.25,6675156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131032113/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:29+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131033002	30.0	113.4	56.3	40.4	39.0	32736	{'type': 'Polygon', 'coordinates': [[[299843.75, 6675156.25], [299843.75, 6669843.75], [305156.25, 6669843.75], [305156.25, 6675156.25], [299843.75, 6675156.25]]]}	299843.75,6669843.75,305156.25,6675156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131033002/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:29+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131033003	29.8	113.5	56.6	40.4	39.0	32736	{'type': 'Polygon', 'coordinates': [[[304843.75, 6675156.25], [304843.75, 6669843.75], [308194.27490234375, 6669843.75], [308115.234375, 6675156.25], [304843.75, 6675156.25]]]}	304843.75,6669843.75,308194.27490234375,6675156.25	17.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131033003/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:30+00:00	GE01	0.55	0.0.1	105001002B445D00	36	213131032121	30.7	113.3	55.5	40.3	39.0	32736	{'type': 'Polygon', 'coordinates': [[[286577.45361328125, 6670156.25], [290156.25, 6670156.25], [290156.25, 6664843.75], [286751.0986328125, 6664843.75], [286747.4365234375, 6665140.380859375], [286702.880859375, 6665506.591796875], [286703.4912109375, 6665830.993652344], [286674.8046875, 6666031.494140625], [286690.97900390625, 6666380.0048828125], [286666.56494140625, 6666554.5654296875], [286721.19140625, 6667212.829589844], [286690.97900390625, 6667565.91796875], [286694.64111328125, 6668081.359863281], [286654.6630859375, 6668654.1748046875], [286612.548828125, 6668883.6669921875], [286611.328125, 6669230.651855469], [286559.14306640625, 6669662.4755859375], [286552.734375, 6669832.458496094], [286589.9658203125, 6670006.7138671875], [286577.45361328125, 6670156.25]]]}	286552.734375,6664843.75,290156.25,6670156.25	18.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131032121/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:30+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131032130	30.5	113.4	55.7	40.3	39.0	32736	{'type': 'Polygon', 'coordinates': [[[289843.75, 6670156.25], [289843.75, 6664843.75], [295156.25, 6664843.75], [295156.25, 6670156.25], [289843.75, 6670156.25]]]}	289843.75,6664843.75,295156.25,6670156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131032130/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:30+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131032131	30.2	113.5	56.1	40.3	39.0	32736	{'type': 'Polygon', 'coordinates': [[[294843.75, 6670156.25], [294843.75, 6664843.75], [300156.25, 6664843.75], [300156.25, 6670156.25], [294843.75, 6670156.25]]]}	294843.75,6664843.75,300156.25,6670156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131032131/2022-04-20/105001002B445D00-visual.tif
2022-04-20 07:51:30+00:00	GE01	0.54	0.0.1	105001002B445D00	36	213131033020	30.0	113.7	56.4	40.3	39.0	32736	{'type': 'Polygon', 'coordinates': [[[299843.75, 6670156.25], [299843.75, 6664843.75], [305156.25, 6664843.75], [305156.25, 6670156.25], [299843.75, 6670156.25]]]}	299843.75,6664843.75,305156.25,6670156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/southafrica-flooding22/ard/36/213131033020/2022-04-20/105001002B445D00-visual.tif
