datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-01-18 21:43:48+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120001	33.7	119.1	52.5	94.7	60.1	32701	{'type': 'Polygon', 'coordinates': [[[668443.9086914062, 7675021.3623046875], [668442.6879882812, 7674843.75], [669423.5229492188, 7674843.75], [668447.8759765625, 7675021.057128906], [668443.9086914062, 7675021.3623046875]]]}	668442.6879882812,7674843.75,669423.5229492188,7675021.3623046875	0.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120001/2022-01-18/10400100718A2000-visual.tif
2022-01-18 21:43:48+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120003	33.7	119.1	52.5	94.7	60.1	32701	{'type': 'Polygon', 'coordinates': [[[668443.9086914062, 7675021.3623046875], [668409.423828125, 7669843.75], [670156.25, 7669843.75], [670156.25, 7674710.998535156], [668443.9086914062, 7675021.3623046875]]]}	668409.423828125,7669843.75,670156.25,7675021.3623046875	8.6	1.1	12	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120003/2022-01-18/10400100718A2000-visual.tif
2022-01-18 21:43:48+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120012	33.6	119.2	52.7	94.7	60.1	32701	{'type': 'Polygon', 'coordinates': [[[669843.75, 7674767.761230469], [669843.75, 7669843.75], [675156.25, 7669843.75], [675156.25, 7673804.626464844], [669843.75, 7674767.761230469]]]}	669843.75,7669843.75,675156.25,7674767.761230469	23.6	14.5	61	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120012/2022-01-18/10400100718A2000-visual.tif
2022-01-18 21:43:48+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120013	33.3	119.4	53.0	94.7	60.1	32701	{'type': 'Polygon', 'coordinates': [[[674843.75, 7673861.389160156], [674843.75, 7669843.75], [680156.25, 7669843.75], [680156.25, 7672899.475097656], [674843.75, 7673861.389160156]]]}	674843.75,7669843.75,680156.25,7673861.389160156	18.7	9.2	49	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120013/2022-01-18/10400100718A2000-visual.tif
2022-01-18 21:43:48+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120021	33.6	119.0	52.6	94.7	60.1	32701	{'type': 'Polygon', 'coordinates': [[[668411.5600585938, 7670156.25], [668373.1079101562, 7664843.75], [670156.25, 7664843.75], [670156.25, 7670156.25], [668411.5600585938, 7670156.25]]]}	668373.1079101562,7664843.75,670156.25,7670156.25	9.3	7.8	84	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120021/2022-01-18/10400100718A2000-visual.tif
2022-01-18 21:43:49+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120023	33.6	119.0	52.7	94.6	60.2	32701	{'type': 'Polygon', 'coordinates': [[[668375.8544921875, 7665156.25], [668333.740234375, 7659843.75], [670156.25, 7659843.75], [670156.25, 7665156.25], [668375.8544921875, 7665156.25]]]}	668333.740234375,7659843.75,670156.25,7665156.25	9.5	8.9	93	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120023/2022-01-18/10400100718A2000-visual.tif
2022-01-18 21:43:48+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120030	33.5	119.2	52.7	94.7	60.1	32701	{'type': 'Polygon', 'coordinates': [[[669843.75, 7670156.25], [669843.75, 7664843.75], [675156.25, 7664843.75], [675156.25, 7670156.25], [669843.75, 7670156.25]]]}	669843.75,7664843.75,675156.25,7670156.25	28.2	24.0	85	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120030/2022-01-18/10400100718A2000-visual.tif
2022-01-18 21:43:48+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120031	33.2	119.4	53.0	94.7	60.1	32701	{'type': 'Polygon', 'coordinates': [[[674843.75, 7670156.25], [674843.75, 7664843.75], [680156.25, 7664843.75], [680156.25, 7670156.25], [674843.75, 7670156.25]]]}	674843.75,7664843.75,680156.25,7670156.25	28.2	10.4	37	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120031/2022-01-18/10400100718A2000-visual.tif
2022-01-18 21:43:49+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120032	33.4	119.1	52.8	94.6	60.2	32701	{'type': 'Polygon', 'coordinates': [[[669843.75, 7665156.25], [669843.75, 7659843.75], [675156.25, 7659843.75], [675156.25, 7665156.25], [669843.75, 7665156.25]]]}	669843.75,7659843.75,675156.25,7665156.25	28.2	24.5	86	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120032/2022-01-18/10400100718A2000-visual.tif
2022-01-18 21:43:49+00:00	WV03	0.43	0.0.1	10400100718A2000	1	300222120033	33.1	119.4	53.1	94.6	60.2	32701	{'type': 'Polygon', 'coordinates': [[[674843.75, 7665156.25], [674843.75, 7659843.75], [680156.25, 7659843.75], [680156.25, 7665156.25], [674843.75, 7665156.25]]]}	674843.75,7659843.75,680156.25,7665156.25	28.2	13.5	48	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120033/2022-01-18/10400100718A2000-visual.tif
