datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-01-14 22:05:09+00:00	WV02	0.52	0.0.1	10300100CCD4E100	1	300222120321	20.4	229.9	67.0	95.0	65.6	32701	{'type': 'Polygon', 'coordinates': [[[684843.75, 7650156.25], [684843.75, 7646356.506347656], [690156.25, 7646719.970703125], [690156.25, 7650156.25], [684843.75, 7650156.25]]]}	684843.75,7646356.506347656,690156.25,7650156.25	19.2	4.5	23	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120321/2022-01-14/10300100CCD4E100-visual.tif
2022-01-14 22:05:09+00:00	WV02	0.53	0.0.1	10300100CCD4E100	1	300222120330	20.6	230.5	66.7	95.0	65.6	32701	{'type': 'Polygon', 'coordinates': [[[689843.75, 7650156.25], [689843.75, 7646698.6083984375], [695156.25, 7647054.748535156], [695156.25, 7650156.25], [689843.75, 7650156.25]]]}	689843.75,7646698.6083984375,695156.25,7650156.25	17.4	7.6	43	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120330/2022-01-14/10300100CCD4E100-visual.tif
2022-01-14 22:05:09+00:00	WV02	0.53	0.0.1	10300100CCD4E100	1	300222120331	20.9	231.0	66.4	95.0	65.6	32701	{'type': 'Polygon', 'coordinates': [[[694843.75, 7650156.25], [694843.75, 7647031.25], [695680.5419921875, 7647099.609375], [700156.25, 7647407.531738281], [700156.25, 7650156.25], [694843.75, 7650156.25]]]}	694843.75,7647031.25,700156.25,7650156.25	15.5	9.2	59	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120331/2022-01-14/10300100CCD4E100-visual.tif
2022-01-14 22:05:09+00:00	WV02	0.53	0.0.1	10300100CCD4E100	1	300222121220	21.0	231.2	66.2	95.0	65.6	32701	{'type': 'Polygon', 'coordinates': [[[699843.75, 7650156.25], [699843.75, 7647386.169433594], [702324.5239257812, 7647557.067871094], [702368.7744140625, 7650156.25], [699843.75, 7650156.25]]]}	699843.75,7647386.169433594,702368.7744140625,7650156.25	6.7	1.4	21	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222121220/2022-01-14/10300100CCD4E100-visual.tif
2022-01-14 22:05:10+00:00	WV02	0.53	0.0.1	10300100CCD4E100	1	300222120300	20.9	227.6	66.4	95.1	65.6	32701	{'type': 'Polygon', 'coordinates': [[[683694.4580078125, 7660156.25], [683683.4716796875, 7657641.906738281], [683656.005859375, 7654843.75], [685156.25, 7654843.75], [685156.25, 7660156.25], [683694.4580078125, 7660156.25]]]}	683656.005859375,7654843.75,685156.25,7660156.25	7.8	3.0	39	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120300/2022-01-14/10300100CCD4E100-visual.tif
2022-01-14 22:05:10+00:00	WV02	0.53	0.0.1	10300100CCD4E100	1	300222120301	21.0	227.9	66.3	95.1	65.6	32701	{'type': 'Polygon', 'coordinates': [[[684843.75, 7660156.25], [684843.75, 7654843.75], [690156.25, 7654843.75], [690156.25, 7660156.25], [684843.75, 7660156.25]]]}	684843.75,7654843.75,690156.25,7660156.25	28.2	11.6	41	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120301/2022-01-14/10300100CCD4E100-visual.tif
2022-01-14 22:05:10+00:00	WV02	0.53	0.0.1	10300100CCD4E100	1	300222120302	20.6	228.7	66.8	95.0	65.6	32701	{'type': 'Polygon', 'coordinates': [[[683657.8369140625, 7655156.25], [683653.8696289062, 7654492.1875], [683660.5834960938, 7654028.015136719], [683634.3383789062, 7649843.75], [685156.25, 7649843.75], [685156.25, 7655156.25], [683657.8369140625, 7655156.25]]]}	683634.3383789062,7649843.75,685156.25,7655156.25	8.0	4.7	58	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120302/2022-01-14/10300100CCD4E100-visual.tif
2022-01-14 22:05:10+00:00	WV02	0.53	0.0.1	10300100CCD4E100	1	300222120303	20.7	229.0	66.7	95.0	65.6	32701	{'type': 'Polygon', 'coordinates': [[[684843.75, 7655156.25], [684843.75, 7649843.75], [690156.25, 7649843.75], [690156.25, 7655156.25], [684843.75, 7655156.25]]]}	684843.75,7649843.75,690156.25,7655156.25	28.2	14.3	50	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120303/2022-01-14/10300100CCD4E100-visual.tif
2022-01-14 22:05:10+00:00	WV02	0.53	0.0.1	10300100CCD4E100	1	300222120310	21.3	228.5	66.0	95.1	65.6	32701	{'type': 'Polygon', 'coordinates': [[[689843.75, 7660156.25], [689843.75, 7654843.75], [695156.25, 7654843.75], [695156.25, 7660156.25], [689843.75, 7660156.25]]]}	689843.75,7654843.75,695156.25,7660156.25	28.2	9.3	33	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120310/2022-01-14/10300100CCD4E100-visual.tif
2022-01-14 22:05:10+00:00	WV02	0.53	0.0.1	10300100CCD4E100	1	300222120311	21.5	229.2	65.7	95.1	65.6	32701	{'type': 'Polygon', 'coordinates': [[[694843.75, 7660156.25], [694843.75, 7654843.75], [700156.25, 7654843.75], [700156.25, 7660156.25], [694843.75, 7660156.25]]]}	694843.75,7654843.75,700156.25,7660156.25	28.2	11.7	41	https://maxar-opendata.s3.amazonaws.com/events/tonga-volcano21/ard/01/300222120311/2022-01-14/10300100CCD4E100-visual.tif
