datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2019-05-18 02:46:44+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020302111	27.0	148.6	59.8	41.5	53.7	32749	696205.4443359375,9154843.75,700156.25,9156796.875	6.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020302111/2019-05-18/10500100164C2D00-visual.tif
2019-05-18 02:46:44+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020302113	27.0	148.7	59.8	41.5	53.7	32749	696196.5942382812,9149843.75,700156.25,9155156.25	21.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020302113/2019-05-18/10500100164C2D00-visual.tif
2019-05-18 02:46:44+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020303000	26.8	149.1	60.0	41.5	53.7	32749	699843.75,9154843.75,705156.25,9156300.048828125	5.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020303000/2019-05-18/10500100164C2D00-visual.tif
2019-05-18 02:46:44+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020303001	26.6	149.7	60.3	41.5	53.7	32749	704843.75,9154843.75,710156.25,9155616.149902344	2.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020303001/2019-05-18/10500100164C2D00-visual.tif
2019-05-18 02:46:44+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020303002	26.8	149.2	60.0	41.5	53.7	32749	699843.75,9149843.75,705156.25,9155156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020303002/2019-05-18/10500100164C2D00-visual.tif
2019-05-18 02:46:44+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020303003	26.6	149.8	60.2	41.5	53.7	32749	704843.75,9149843.75,710156.25,9155156.25	27.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020303003/2019-05-18/10500100164C2D00-visual.tif
2019-05-18 02:46:44+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020303012	26.5	150.4	60.4	41.5	53.7	32749	709843.75,9149843.75,714232.177734375,9154933.776855469	20.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020303012/2019-05-18/10500100164C2D00-visual.tif
2019-05-18 02:46:45+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020302131	27.1	149.1	59.8	41.3	53.7	32749	696194.1528320312,9144843.75,700156.25,9150156.25	21.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020302131/2019-05-18/10500100164C2D00-visual.tif
2019-05-18 02:46:45+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020303020	26.9	149.5	60.0	41.4	53.7	32749	699843.75,9144843.75,705156.25,9150156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020303020/2019-05-18/10500100164C2D00-visual.tif
2019-05-18 02:46:45+00:00	GE01	0.5	0.0.1	10500100164C2D00	49	300020303021	26.7	150.2	60.2	41.4	53.7	32749	704843.75,9144843.75,710156.25,9150156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020303021/2019-05-18/10500100164C2D00-visual.tif
