datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2021-07-12 02:50:51+00:00	WV02	0.59	0.0.1	10300100C2996600	49	300020321011	28.4	185.3	57.8	39.5	51.0	32749	{'type': 'Polygon', 'coordinates': [[[720155.6396484375, 9116627.197265625], [720053.7109375, 9116598.510742188], [719827.5756835938, 9116577.1484375], [719584.0454101562, 9116519.470214844], [719245.60546875, 9116600.341796875], [719078.6743164062, 9116574.096679688], [719067.0776367188, 9115440.063476562], [719085.0830078125, 9114843.75], [720156.25, 9114843.75], [720155.6396484375, 9116627.197265625]]]}	719067.0776367188,9114843.75,720156.25,9116627.197265625	1.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321011/2021-07-12/10300100C2996600-visual.tif
2021-07-12 02:50:51+00:00	WV02	0.58	0.0.1	10300100C2996600	49	300020321013	28.2	185.3	58.0	39.5	51.0	32749	{'type': 'Polygon', 'coordinates': [[[719074.4018554688, 9115156.25], [719112.8540039062, 9113497.924804688], [719121.3989257812, 9109843.75], [720156.25, 9109843.75], [720156.25, 9115156.25], [719074.4018554688, 9115156.25]]]}	719074.4018554688,9109843.75,720156.25,9115156.25	5.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321013/2021-07-12/10300100C2996600-visual.tif
2021-07-12 02:50:51+00:00	WV02	0.58	0.0.1	10300100C2996600	49	300020321031	27.8	185.3	58.5	39.5	50.9	32749	{'type': 'Polygon', 'coordinates': [[[719120.1782226562, 9110156.25], [719139.7094726562, 9107108.154296875], [719149.7802734375, 9106760.559082031], [719151.3061523438, 9104843.75], [720156.25, 9104843.75], [720156.25, 9110156.25], [719120.1782226562, 9110156.25]]]}	719120.1782226562,9104843.75,720156.25,9110156.25	5.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321031/2021-07-12/10300100C2996600-visual.tif
2021-07-12 02:50:50+00:00	WV02	0.58	0.0.1	10300100C2996600	49	300020321033	27.3	185.3	59.0	39.5	50.8	32749	{'type': 'Polygon', 'coordinates': [[[719150.0854492188, 9105156.25], [719162.59765625, 9099843.75], [720156.25, 9099843.75], [720156.25, 9105156.25], [719150.0854492188, 9105156.25]]]}	719150.0854492188,9099843.75,720156.25,9105156.25	5.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321033/2021-07-12/10300100C2996600-visual.tif
2021-07-12 02:50:52+00:00	WV02	0.59	0.0.1	10300100C2996600	49	300020321100	28.4	185.5	57.7	39.5	51.0	32749	{'type': 'Polygon', 'coordinates': [[[724609.6801757812, 9117030.029296875], [724552.9174804688, 9117019.04296875], [724368.2861328125, 9116933.59375], [724275.2075195312, 9116918.640136719], [723933.7158203125, 9116955.56640625], [723783.5693359375, 9116927.795410156], [723630.0659179688, 9116951.599121094], [723510.1318359375, 9116924.133300781], [723384.7045898438, 9116927.185058594], [723235.1684570312, 9116882.019042969], [723107.91015625, 9116885.070800781], [722988.5864257812, 9116865.844726562], [722707.51953125, 9116883.544921875], [722526.5502929688, 9116919.555664062], [722405.7006835938, 9116878.662109375], [722218.017578125, 9116852.416992188], [722154.2358398438, 9116849.365234375], [722067.87109375, 9116877.136230469], [722003.173828125, 9116878.356933594], [721789.8559570312, 9116821.899414062], [721606.4453125, 9116807.250976562], [721393.4326171875, 9116840.209960938], [721145.3247070312, 9116747.436523438], [720685.7299804688, 9116743.469238281], [720071.4111328125, 9116601.257324219], [719843.75, 9116579.895019531], [719843.75, 9114843.75], [725156.25, 9114843.75], [725156.25, 9117012.939453125], [724774.4750976562, 9117000.427246094], [724609.6801757812, 9117030.029296875]]]}	719843.75,9114843.75,725156.25,9117030.029296875	10.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321100/2021-07-12/10300100C2996600-visual.tif
2021-07-12 02:50:52+00:00	WV02	0.59	0.0.1	10300100C2996600	49	300020321101	28.5	186.2	57.7	39.5	51.0	32749	{'type': 'Polygon', 'coordinates': [[[730103.4545898438, 9117360.534667969], [729918.212890625, 9117316.589355469], [729690.2465820312, 9117292.785644531], [729343.8720703125, 9117291.564941406], [729031.0668945312, 9117259.521484375], [728570.2514648438, 9117255.554199219], [728294.677734375, 9117173.767089844], [728169.2504882812, 9117173.767089844], [727980.0415039062, 9117221.374511719], [727838.4399414062, 9117230.224609375], [727434.6923828125, 9117155.76171875], [727283.6303710938, 9117142.333984375], [727009.5825195312, 9117157.592773438], [726756.2866210938, 9117119.750976562], [726604.6142578125, 9117145.080566406], [726209.1064453125, 9117074.279785156], [726085.5102539062, 9117076.721191406], [725929.2602539062, 9117105.102539062], [725665.283203125, 9117075.1953125], [725471.4965820312, 9117032.165527344], [724843.75, 9117001.342773438], [724843.75, 9114843.75], [730156.25, 9114843.75], [730156.25, 9117359.619140625], [730103.4545898438, 9117360.534667969]]]}	724843.75,9114843.75,730156.25,9117360.534667969	12.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321101/2021-07-12/10300100C2996600-visual.tif
2021-07-12 02:50:51+00:00	WV02	0.58	0.0.1	10300100C2996600	49	300020321102	28.2	185.5	58.0	39.5	51.0	32749	{'type': 'Polygon', 'coordinates': [[[719843.75, 9115156.25], [719843.75, 9109843.75], [725156.25, 9109843.75], [725156.25, 9115156.25], [719843.75, 9115156.25]]]}	719843.75,9109843.75,725156.25,9115156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321102/2021-07-12/10300100C2996600-visual.tif
2021-07-12 02:50:51+00:00	WV02	0.59	0.0.1	10300100C2996600	49	300020321103	28.2	186.2	58.0	39.5	51.0	32749	{'type': 'Polygon', 'coordinates': [[[724843.75, 9115156.25], [724843.75, 9109843.75], [730156.25, 9109843.75], [730156.25, 9115156.25], [724843.75, 9115156.25]]]}	724843.75,9109843.75,730156.25,9115156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321103/2021-07-12/10300100C2996600-visual.tif
2021-07-12 02:50:52+00:00	WV02	0.59	0.0.1	10300100C2996600	49	300020321110	28.5	186.8	57.6	39.5	51.0	32749	{'type': 'Polygon', 'coordinates': [[[735150.7568359375, 9117686.157226562], [734982.6049804688, 9117676.086425781], [734739.0747070312, 9117565.002441406], [734458.0078125, 9117508.544921875], [734060.9741210938, 9117537.231445312], [733420.41015625, 9117525.939941406], [732897.3388671875, 9117488.403320312], [732379.7607421875, 9117419.738769531], [732103.5766601562, 9117424.011230469], [731764.5263671875, 9117397.4609375], [731423.0346679688, 9117404.479980469], [731303.7109375, 9117422.790527344], [730832.8247070312, 9117406.311035156], [730476.9897460938, 9117366.943359375], [730076.5991210938, 9117358.703613281], [729843.75, 9117309.265136719], [729843.75, 9114843.75], [735156.25, 9114843.75], [735150.7568359375, 9117686.157226562]]]}	729843.75,9114843.75,735156.25,9117686.157226562	13.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321110/2021-07-12/10300100C2996600-visual.tif
2021-07-12 02:50:51+00:00	WV02	0.59	0.0.1	10300100C2996600	49	300020321111	28.5	187.3	57.7	39.5	51.0	32749	{'type': 'Polygon', 'coordinates': [[[738195.1904296875, 9117943.420410156], [735014.9536132812, 9117682.800292969], [734844.0551757812, 9117604.98046875], [734843.75, 9114843.75], [738154.9072265625, 9114843.75], [738195.1904296875, 9117943.420410156]]]}	734843.75,9114843.75,738195.1904296875,9117943.420410156	9.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321111/2021-07-12/10300100C2996600-visual.tif
