datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2021-12-10 03:13:41+00:00	GE01	0.64	0.0.1	1050010028AC8900	49	300020320113	38.4	257.8	46.6	134.6	68.0	32749	{'type': 'Polygon', 'coordinates': [[[700154.1137695312, 9113243.713378906], [699458.0078125, 9113189.697265625], [698092.6513671875, 9113053.283691406], [698126.8310546875, 9112944.030761719], [698135.3759765625, 9112761.535644531], [698131.103515625, 9112665.100097656], [698082.5805664062, 9112513.427734375], [698105.46875, 9112357.788085938], [698075.5615234375, 9112179.260253906], [698067.0166015625, 9111372.0703125], [698077.392578125, 9111101.684570312], [698121.337890625, 9110714.111328125], [698096.3134765625, 9110578.002929688], [698095.0927734375, 9109843.75], [700156.25, 9109843.75], [700154.1137695312, 9113243.713378906]]]}	698067.0166015625,9109843.75,700156.25,9113243.713378906	6.8	0.5	8	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020320113/2021-12-10/1050010028AC8900-visual.tif
2021-12-10 03:13:40+00:00	GE01	0.63	0.0.1	1050010028AC8900	49	300020320131	38.3	258.5	46.7	134.6	68.0	32749	{'type': 'Polygon', 'coordinates': [[[698094.482421875, 9110156.25], [698100.2807617188, 9108861.999511719], [698118.896484375, 9108684.997558594], [698102.1118164062, 9108528.442382812], [698106.689453125, 9107453.308105469], [698122.8637695312, 9107267.761230469], [698097.2290039062, 9107083.740234375], [698119.5068359375, 9106896.362304688], [698094.7875976562, 9106596.984863281], [698105.46875, 9106313.171386719], [698090.2099609375, 9106194.152832031], [698090.5151367188, 9105700.073242188], [698073.1201171875, 9105547.790527344], [698080.4443359375, 9105369.262695312], [698130.1879882812, 9105178.22265625], [698115.8447265625, 9105024.719238281], [698138.427734375, 9104843.75], [700156.25, 9104843.75], [700156.25, 9110156.25], [698094.482421875, 9110156.25]]]}	698073.1201171875,9104843.75,700156.25,9110156.25	10.9	1.5	14	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020320131/2021-12-10/1050010028AC8900-visual.tif
2021-12-10 03:13:39+00:00	GE01	0.63	0.0.1	1050010028AC8900	49	300020320133	38.1	259.7	46.9	134.5	68.0	32749	{'type': 'Polygon', 'coordinates': [[[698132.0190429688, 9105156.25], [698115.8447265625, 9105024.719238281], [698138.7329101562, 9104845.886230469], [698110.6567382812, 9104691.467285156], [698143.6157226562, 9104482.116699219], [698125.0, 9104355.773925781], [698144.2260742188, 9104146.728515625], [698128.3569335938, 9103773.193359375], [698174.7436523438, 9103522.94921875], [698150.3295898438, 9103345.947265625], [698165.8935546875, 9103158.264160156], [698204.0405273438, 9103034.973144531], [698197.3266601562, 9102968.139648438], [698147.8881835938, 9102818.298339844], [698154.9072265625, 9102298.278808594], [698222.9614257812, 9102054.138183594], [698174.4384765625, 9101893.920898438], [698216.8579101562, 9101653.747558594], [698191.2231445312, 9101502.685546875], [698198.2421875, 9101395.568847656], [698234.5581054688, 9101254.8828125], [698195.4956054688, 9101009.826660156], [698222.65625, 9100148.010253906], [698230.5908203125, 9100055.847167969], [698279.4189453125, 9099907.2265625], [698270.8740234375, 9099843.75], [700156.25, 9099843.75], [700156.25, 9105156.25], [698132.0190429688, 9105156.25]]]}	698110.6567382812,9099843.75,700156.25,9105156.25	10.5	2.3	22	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020320133/2021-12-10/1050010028AC8900-visual.tif
2021-12-10 03:13:38+00:00	GE01	0.63	0.0.1	1050010028AC8900	49	300020320311	38.0	260.8	47.1	134.5	68.0	32749	{'type': 'Polygon', 'coordinates': [[[698222.3510742188, 9100156.25], [698230.5908203125, 9100055.236816406], [698279.4189453125, 9099906.616210938], [698272.0947265625, 9099846.801757812], [698229.98046875, 9099748.840332031], [698236.6943359375, 9099689.636230469], [698284.912109375, 9099566.650390625], [698249.2065429688, 9099382.019042969], [698283.0810546875, 9099195.861816406], [698273.6206054688, 9099045.41015625], [698306.884765625, 9098923.950195312], [698265.380859375, 9098770.446777344], [698251.3427734375, 9098311.462402344], [698274.5361328125, 9097908.020019531], [698276.3671875, 9097541.50390625], [698325.1953125, 9097269.287109375], [698328.2470703125, 9096987.3046875], [698307.4951171875, 9096833.801269531], [698307.4951171875, 9096188.659667969], [698369.7509765625, 9095804.138183594], [698334.6557617188, 9095388.18359375], [698345.947265625, 9095305.480957031], [698390.8081054688, 9095206.604003906], [698367.919921875, 9094995.1171875], [698394.1650390625, 9094843.75], [700156.25, 9094843.75], [700156.25, 9100156.25], [698222.3510742188, 9100156.25]]]}	698222.3510742188,9094843.75,700156.25,9100156.25	9.8	6.9	70	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020320311/2021-12-10/1050010028AC8900-visual.tif
2021-12-10 03:13:38+00:00	GE01	0.63	0.0.1	1050010028AC8900	49	300020320313	37.9	261.6	47.2	134.4	68.1	32749	{'type': 'Polygon', 'coordinates': [[[698391.4184570312, 9095156.25], [698368.2250976562, 9095028.381347656], [698396.6064453125, 9094812.316894531], [698369.4458007812, 9094567.87109375], [698369.140625, 9094394.836425781], [698389.2822265625, 9094165.954589844], [698413.0859375, 9093341.369628906], [698469.8486328125, 9092971.496582031], [698438.4155273438, 9092328.186035156], [698451.2329101562, 9092143.5546875], [698478.3935546875, 9092020.568847656], [698469.5434570312, 9091936.340332031], [700156.25, 9092030.334472656], [700156.25, 9095156.25], [698391.4184570312, 9095156.25]]]}	698368.2250976562,9091936.340332031,700156.25,9095156.25	5.5	5.1	94	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020320313/2021-12-10/1050010028AC8900-visual.tif
2021-12-10 03:13:41+00:00	GE01	0.64	0.0.1	1050010028AC8900	49	300020321002	38.5	257.8	46.4	134.6	68.0	32749	{'type': 'Polygon', 'coordinates': [[[705155.3344726562, 9113719.787597656], [703508.9111328125, 9113547.973632812], [699843.75, 9113217.468261719], [699843.75, 9109843.75], [705156.25, 9109843.75], [705155.3344726562, 9113719.787597656]]]}	699843.75,9109843.75,705156.25,9113719.787597656	19.2	15.3	79	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321002/2021-12-10/1050010028AC8900-visual.tif
2021-12-10 03:13:41+00:00	GE01	0.65	0.0.1	1050010028AC8900	49	300020321003	38.8	257.9	46.1	134.6	68.0	32749	{'type': 'Polygon', 'coordinates': [[[710154.4189453125, 9114104.614257812], [709463.1958007812, 9114047.241210938], [708816.5283203125, 9114035.034179688], [707372.4365234375, 9113897.399902344], [706545.41015625, 9113845.520019531], [704844.0551757812, 9113691.101074219], [704843.75, 9109843.75], [710156.25, 9109843.75], [710154.4189453125, 9114104.614257812]]]}	704843.75,9109843.75,710156.25,9114104.614257812	21.6	19.6	90	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321003/2021-12-10/1050010028AC8900-visual.tif
2021-12-10 03:13:41+00:00	GE01	0.66	0.0.1	1050010028AC8900	49	300020321011	39.3	257.9	45.5	134.6	68.0	32749	{'type': 'Polygon', 'coordinates': [[[720154.7241210938, 9115163.879394531], [719985.0463867188, 9115142.211914062], [719790.0390625, 9115105.285644531], [719368.2861328125, 9115057.678222656], [719093.017578125, 9115015.869140625], [718903.80859375, 9114999.084472656], [718600.7690429688, 9114987.79296875], [718237.9150390625, 9114934.08203125], [717919.6166992188, 9114900.817871094], [717770.99609375, 9114892.883300781], [717492.9809570312, 9114852.600097656], [717367.2485351562, 9114843.75], [720156.25, 9114843.75], [720154.7241210938, 9115163.879394531]]]}	717367.2485351562,9114843.75,720156.25,9115163.879394531	0.4	0.2	54	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321011/2021-12-10/1050010028AC8900-visual.tif
2021-12-10 03:13:41+00:00	GE01	0.65	0.0.1	1050010028AC8900	49	300020321012	39.0	258.0	45.9	134.6	68.0	32749	{'type': 'Polygon', 'coordinates': [[[715155.3344726562, 9114620.666503906], [709843.75, 9114076.538085938], [709843.75, 9109843.75], [715156.25, 9109843.75], [715155.3344726562, 9114620.666503906]]]}	709843.75,9109843.75,715156.25,9114620.666503906	23.9	21.7	90	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321012/2021-12-10/1050010028AC8900-visual.tif
2021-12-10 03:13:41+00:00	GE01	0.66	0.0.1	1050010028AC8900	49	300020321013	39.2	258.1	45.6	134.6	68.0	32749	{'type': 'Polygon', 'coordinates': [[[720089.4165039062, 9115156.25], [719084.7778320312, 9115014.953613281], [718600.7690429688, 9114987.79296875], [717466.1254882812, 9114849.548339844], [717128.6010742188, 9114831.237792969], [715958.8623046875, 9114697.570800781], [715559.3872070312, 9114671.325683594], [714843.75, 9114579.772949219], [714843.75, 9109843.75], [720156.25, 9109843.75], [720156.25, 9115156.25], [720089.4165039062, 9115156.25]]]}	714843.75,9109843.75,720156.25,9115156.25	26.6	20.9	78	https://maxar-opendata.s3.amazonaws.com/events/volcano-indonesia21/ard/49/300020321013/2021-12-10/1050010028AC8900-visual.tif
