datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-06-15 18:28:32+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022030	11.9	15.0	76.6	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[514499.51171875, 4988091.125488281], [514796.142578125, 4988082.275390625], [515156.25, 4988058.776855469], [515156.25, 4984843.75], [514528.80859375, 4984843.75], [514509.8876953125, 4986336.364746094], [514512.939453125, 4986887.512207031], [514499.51171875, 4987535.705566406], [514499.51171875, 4988091.125488281]]]}	MXRA-Z12-120000022030	514499.51171875,4984843.75,515156.25,4988091.125488281	2.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022030/2022-06-15/10300100D4769200-visual.tif
2022-06-15 18:28:32+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022031	11.9	14.7	76.7	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[514843.75, 4988079.2236328125], [514843.75, 4984843.75], [520156.25, 4984843.75], [520156.25, 4988047.790527344], [517960.8154296875, 4988025.5126953125], [517516.78466796875, 4988040.1611328125], [517114.2578125, 4988076.171875], [516194.76318359375, 4988029.479980469], [514843.75, 4988079.2236328125]]]}	MXRA-Z12-120000022031	514843.75,4984843.75,520156.25,4988079.2236328125	17.0	0.3	1	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022031/2022-06-15/10300100D4769200-visual.tif
2022-06-15 18:28:32+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022120	11.8	13.1	76.8	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[524904.1748046875, 4988193.054199219], [525156.25, 4988192.443847656], [525156.25, 4984843.75], [519843.75, 4984843.75], [519843.75, 4988046.2646484375], [520934.75341796875, 4988069.152832031], [522351.98974609375, 4988147.888183594], [524904.1748046875, 4988193.054199219]]]}	MXRA-Z12-120000022120	519843.75,4984843.75,525156.25,4988193.054199219	17.4	1.4	8	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022120/2022-06-15/10300100D4769200-visual.tif
2022-06-15 18:28:32+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022121	11.7	11.4	76.9	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[530153.1982421875, 4988369.140625], [530156.25, 4984843.75], [524843.75, 4984843.75], [524843.75, 4988191.833496094], [525333.251953125, 4988195.80078125], [525797.119140625, 4988223.2666015625], [526148.0712890625, 4988233.642578125], [526683.9599609375, 4988226.623535156], [527010.498046875, 4988207.3974609375], [528348.388671875, 4988283.69140625], [529251.0986328125, 4988320.007324219], [530153.1982421875, 4988369.140625]]]}	MXRA-Z12-120000022121	524843.75,4984843.75,530156.25,4988369.140625	18.1	4.6	25	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022121/2022-06-15/10300100D4769200-visual.tif
2022-06-15 18:28:32+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022130	11.7	10.8	76.9	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[531291.8090820312, 4988434.143066406], [531304.3212890625, 4987955.627441406], [531303.7109375, 4986026.611328125], [531282.3486328125, 4984843.75], [529843.75, 4984843.75], [529843.75, 4988353.576660156], [531291.8090820312, 4988434.143066406]]]}	MXRA-Z12-120000022130	529843.75,4984843.75,531304.3212890625,4988434.143066406	5.1	5.1	100	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022130/2022-06-15/10300100D4769200-visual.tif
2022-06-15 18:28:33+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022032	12.0	14.9	76.6	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[514524.84130859375, 4985156.25], [515156.25, 4985156.25], [515156.25, 4979843.75], [514548.9501953125, 4979843.75], [514545.59326171875, 4980151.3671875], [514546.20361328125, 4980443.420410156], [514542.236328125, 4980756.530761719], [514542.54150390625, 4980886.23046875], [514544.98291015625, 4980998.53515625], [514545.59326171875, 4981224.9755859375], [514542.54150390625, 4981500.549316406], [514543.45703125, 4981807.556152344], [514541.93115234375, 4982009.582519531], [514538.57421875, 4982142.333984375], [514541.32080078125, 4982722.7783203125], [514539.1845703125, 4983095.0927734375], [514540.10009765625, 4983301.3916015625], [514537.353515625, 4983482.971191406], [514537.353515625, 4983686.218261719], [514533.38623046875, 4983804.626464844], [514532.470703125, 4984162.292480469], [514533.69140625, 4984482.421875], [514524.84130859375, 4985156.25]]]}	MXRA-Z12-120000022032	514524.84130859375,4979843.75,515156.25,4985156.25	3.2	0.4	13	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022032/2022-06-15/10300100D4769200-visual.tif
2022-06-15 18:28:33+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022033	11.9	14.4	76.6	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[514843.75, 4985156.25], [514843.75, 4979843.75], [520156.25, 4979843.75], [520156.25, 4985156.25], [514843.75, 4985156.25]]]}	MXRA-Z12-120000022033	514843.75,4979843.75,520156.25,4985156.25	28.2	5.8	20	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022033/2022-06-15/10300100D4769200-visual.tif
2022-06-15 18:28:33+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022122	11.9	12.7	76.7	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[519843.75, 4985156.25], [519843.75, 4979843.75], [525156.25, 4979843.75], [525156.25, 4985156.25], [519843.75, 4985156.25]]]}	MXRA-Z12-120000022122	519843.75,4979843.75,525156.25,4985156.25	28.2	2.4	8	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022122/2022-06-15/10300100D4769200-visual.tif
2022-06-15 18:28:33+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022123	11.8	11.0	76.8	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[524843.75, 4985156.25], [524843.75, 4979843.75], [530156.25, 4979843.75], [530156.25, 4985156.25], [524843.75, 4985156.25]]]}	MXRA-Z12-120000022123	524843.75,4979843.75,530156.25,4985156.25	28.2	4.7	16	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022123/2022-06-15/10300100D4769200-visual.tif
2022-06-15 18:28:33+00:00	WV02	0.48	0.0.1	10300100D4769200	12	120000022132	11.7	10.3	76.8	147.9	65.8	32612	{'type': 'Polygon', 'coordinates': [[[529843.75, 4985156.25], [529843.75, 4979843.75], [531316.8334960938, 4979843.75], [531317.138671875, 4982169.189453125], [531282.0434570312, 4984702.453613281], [531288.1469726562, 4985156.25], [529843.75, 4985156.25]]]}	MXRA-Z12-120000022132	529843.75,4979843.75,531317.138671875,4985156.25	7.7	7.1	92	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000022132/2022-06-15/10300100D4769200-visual.tif
