datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-06-15 18:27:58+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020201	25.2	17.0	61.5	147.8	65.5	32612	{'type': 'Polygon', 'coordinates': [[[509971.61865234375, 5016825.866699219], [510156.25, 5016814.5751953125], [510156.25, 5014843.75], [506058.9599609375, 5014843.75], [506059.26513671875, 5015024.4140625], [505984.80224609375, 5015897.521972656], [505958.55712890625, 5016626.5869140625], [506094.05517578125, 5016619.873046875], [506275.634765625, 5016658.630371094], [506636.962890625, 5016646.423339844], [507138.0615234375, 5016669.006347656], [507719.42138671875, 5016762.390136719], [509240.72265625, 5016776.123046875], [509593.20068359375, 5016820.983886719], [509971.61865234375, 5016825.866699219]]]}	MXRA-Z12-120000020201	505958.55712890625,5014843.75,510156.25,5016825.866699219	7.8	0.5	7	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020201/2022-06-15/10300100D5B65A00-visual.tif
2022-06-15 18:27:58+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020203	25.2	16.9	61.4	147.8	65.5	32612	{'type': 'Polygon', 'coordinates': [[[506047.36328125, 5015156.25], [510156.25, 5015156.25], [510156.25, 5009843.75], [506014.70947265625, 5009843.75], [506019.8974609375, 5010280.1513671875], [505982.666015625, 5010994.567871094], [506032.1044921875, 5012144.1650390625], [505992.431640625, 5012814.94140625], [506026.91650390625, 5013234.86328125], [506016.2353515625, 5013695.983886719], [506061.09619140625, 5014942.932128906], [506047.36328125, 5015156.25]]]}	MXRA-Z12-120000020203	505982.666015625,5009843.75,510156.25,5015156.25	21.9	2.5	11	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020203/2022-06-15/10300100D5B65A00-visual.tif
2022-06-15 18:27:58+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020210	25.1	16.4	61.6	147.8	65.5	32612	{'type': 'Polygon', 'coordinates': [[[515152.28271484375, 5017183.837890625], [515156.25, 5014843.75], [509843.75, 5014843.75], [509844.05517578125, 5016821.2890625], [510205.38330078125, 5016813.3544921875], [510555.72509765625, 5016838.073730469], [510868.5302734375, 5016888.122558594], [511672.66845703125, 5016903.991699219], [512979.43115234375, 5016987.9150390625], [514790.0390625, 5017128.601074219], [515152.28271484375, 5017183.837890625]]]}	MXRA-Z12-120000020210	509843.75,5014843.75,515156.25,5017183.837890625	11.2	4.2	37	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020210/2022-06-15/10300100D5B65A00-visual.tif
2022-06-15 18:27:58+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020211	25.0	15.7	61.7	147.8	65.5	32612	{'type': 'Polygon', 'coordinates': [[[520155.029296875, 5017588.806152344], [520156.25, 5014843.75], [514843.75, 5014843.75], [514843.75, 5017134.704589844], [515148.01025390625, 5017183.532714844], [516261.29150390625, 5017243.65234375], [517010.498046875, 5017339.4775390625], [517856.14013671875, 5017380.065917969], [519194.03076171875, 5017482.91015625], [520155.029296875, 5017588.806152344]]]}	MXRA-Z12-120000020211	514843.75,5014843.75,520156.25,5017588.806152344	13.3	4.1	30	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020211/2022-06-15/10300100D5B65A00-visual.tif
2022-06-15 18:27:58+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020212	25.2	16.3	61.5	147.8	65.5	32612	{'type': 'Polygon', 'coordinates': [[[509843.75, 5015156.25], [509843.75, 5009843.75], [515156.25, 5009843.75], [515156.25, 5015156.25], [509843.75, 5015156.25]]]}	MXRA-Z12-120000020212	509843.75,5009843.75,515156.25,5015156.25	28.2	4.9	17	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020212/2022-06-15/10300100D5B65A00-visual.tif
2022-06-15 18:27:58+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020213	25.1	15.6	61.6	147.8	65.5	32612	{'type': 'Polygon', 'coordinates': [[[514843.75, 5015156.25], [514843.75, 5009843.75], [520156.25, 5009843.75], [520156.25, 5015156.25], [514843.75, 5015156.25]]]}	MXRA-Z12-120000020213	514843.75,5009843.75,520156.25,5015156.25	28.2	3.4	12	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020213/2022-06-15/10300100D5B65A00-visual.tif
2022-06-15 18:27:58+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020300	24.9	15.1	61.8	147.8	65.5	32612	{'type': 'Polygon', 'coordinates': [[[524506.2255859375, 5018164.367675781], [524506.8359375, 5018158.264160156], [524498.9013671875, 5018010.25390625], [524483.3374023438, 5017774.0478515625], [524498.5961914062, 5017333.679199219], [524495.5444335938, 5017126.159667969], [524472.9614257812, 5016857.91015625], [524472.65625, 5016686.706542969], [524486.083984375, 5016303.405761719], [524512.939453125, 5015964.35546875], [524512.0239257812, 5015500.183105469], [524551.6967773438, 5014843.75], [519843.75, 5014843.75], [519843.75, 5017559.2041015625], [521486.81640625, 5017716.979980469], [522298.27880859375, 5017803.649902344], [522688.29345703125, 5017874.450683594], [522926.33056640625, 5017901.611328125], [522985.2294921875, 5017901.0009765625], [523142.39501953125, 5017929.6875], [523382.87353515625, 5017923.889160156], [523563.232421875, 5017908.935546875], [523699.3408203125, 5017911.376953125], [523757.62939453125, 5017928.466796875], [523970.64208984375, 5018034.66796875], [524027.099609375, 5018055.419921875], [524074.70703125, 5018067.932128906], [524238.58642578125, 5018086.853027344], [524506.2255859375, 5018164.367675781]]]}	MXRA-Z12-120000020300	519843.75,5014843.75,524551.6967773438,5018164.367675781	13.7	1.6	11	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020300/2022-06-15/10300100D5B65A00-visual.tif
2022-06-15 18:27:59+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020221	25.4	16.7	61.3	147.7	65.5	32612	{'type': 'Polygon', 'coordinates': [[[506019.8974609375, 5010156.25], [510156.25, 5010156.25], [510156.25, 5004843.75], [505936.58447265625, 5004843.75], [505943.90869140625, 5006383.972167969], [505928.03955078125, 5007024.5361328125], [505960.0830078125, 5008061.828613281], [505968.32275390625, 5008973.388671875], [506019.8974609375, 5010156.25]]]}	MXRA-Z12-120000020221	505928.03955078125,5004843.75,510156.25,5010156.25	22.3	0.1	0	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020221/2022-06-15/10300100D5B65A00-visual.tif
2022-06-15 18:27:59+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020223	25.5	16.5	61.2	147.7	65.5	32612	{'type': 'Polygon', 'coordinates': [[[505939.63623046875, 5005156.25], [510156.25, 5005156.25], [510156.25, 4999843.75], [506045.5322265625, 4999843.75], [506048.27880859375, 5000639.0380859375], [505968.6279296875, 5002323.303222656], [505965.88134765625, 5002868.65234375], [505921.32568359375, 5004318.84765625], [505939.63623046875, 5005156.25]]]}	MXRA-Z12-120000020223	505921.32568359375,4999843.75,510156.25,5005156.25	22.1	0.4	2	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020223/2022-06-15/10300100D5B65A00-visual.tif
2022-06-15 18:27:59+00:00	WV02	0.56	0.0.1	10300100D5B65A00	12	120000020230	25.3	16.1	61.4	147.7	65.5	32612	{'type': 'Polygon', 'coordinates': [[[509843.75, 5010156.25], [509843.75, 5004843.75], [515156.25, 5004843.75], [515156.25, 5010156.25], [509843.75, 5010156.25]]]}	MXRA-Z12-120000020230	509843.75,5004843.75,515156.25,5010156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/yellowstone-flooding22/ard/12/120000020230/2022-06-15/10300100D5B65A00-visual.tif
